,https://roic.ai/company/WFCF,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,71300000,62984097,57114414,32264283,- -,451305,957894,1539933,2307808,2402830,2660530,3274566,4232749,5261367,5533464,8764932,10395469,11615033,15448492,17803559,20774416,20076000,21932000
2,COGS,45500000,44430094,41902799,26865821,- -,160832,534158,781494,968475,1073328,1314683,1474881,1884391,2431422,2827067,5001628,5540716,6202145,8627732,10059808,11695001,11148000,12195000
3,Gross Profit,25800000,18554003,15211615,5398462,- -,290473,423736,758439,1339333,1329502,1345847,1799685,2348358,2829945,2706397,3763304,4854753,5412888,6820760,7743751,9079415,8928000,9737000
4,Gross Profit Ratio,0.3619,0.2946,0.2663,0.1673,- -,0.6436,0.4424,0.4925,0.5803,0.5533,0.5059,0.5496,0.5548,0.5379,0.4891,0.4294,0.4670,0.4660,0.4415,0.4350,0.4370,0.4447,0.4440
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",14200000,13090358,8272931,7868527,- -,238061,1414007,2302248,2069770,1440541,1468537,1440229,1671835,2341665,2679089,3418578,4059520,4778389,6738578,6869198,7527044,7241000,7434000
9,Other Expenses,5500000,5342099,2973454,2835477,- -,- -,- -,- -,- -,-357802,-4000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,19700000,18432457,11246385,10704004,- -,238061,1414007,2302248,2069770,1082739,1464537,1440229,1671835,2341665,2679089,3418578,4059520,4778389,6738578,6869198,7527044,7241000,7434000
11,COGS and Expenses,65200000,62862551,53149184,37569825,- -,398893,1948165,3083742,3038245,2156067,2779220,2915110,3556226,4773087,5506156,8420206,9600236,10980534,15366310,16929006,19222045,18389000,19629000
12,Interest Income ,- -,288715,282601,955343,- -,168,3173,9068,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,33098,35507,33388,29539,25929,33588,9818,1585,1517,1591,4837,10057,13000,6000
14,Depreciation and Amortization,-5500000,-5342099,-2984912,-2835477,- -,13233,37449,38984,30110,44615,56389,81766,74880,94111,119696,225638,256272,267645,854180,942418,1096460,997000,799000
15,EBITDA,200000,-5002082,844752,-7189115,- -,53732,-990523,-1520058,-729450,227371,-61295,442911,744521,598920,117946,605427,1089924,937880,1264310,2056999,2911682,2857000,4425000
16,EBITDA ratio,0.0028,-0.0794,0.0148,-0.2228,- -,0.1191,-1.0341,-0.9871,-0.3161,0.0946,-0.0230,0.1353,0.1759,0.1138,0.0213,0.0691,0.1048,0.0807,0.0818,0.1155,0.1402,0.1423,0.2018
17,Operating Income,- -,- -,3965230,-5305542,- -,52412,-990271,-1543809,-730437,246763,-118690,359456,676523,488280,27308,344726,795233,634499,82182,874553,1552371,1687000,2303000
18,Operating Income ratio,- -,- -,0.0694,-0.1644,- -,0.1161,-1.0338,-1.0025,-0.3165,0.1027,-0.0446,0.1098,0.1598,0.0928,0.0049,0.0393,0.0765,0.0546,0.0053,0.0491,0.0747,0.0840,0.1050
19,Total Other Income Expenses (Gains),-400000,218471,276865,951904,- -,-11913,-37701,-15233,-29123,-29372,-34501,-31699,-36421,-6590,-32119,-6614,-815,2614,12987,109433,-69401,160000,1317000
20,Income Before Tax,5700000,340017,4242095,-4353638,- -,40499,-1027972,-1559042,-759560,217391,-153191,327757,640102,481690,-4811,338112,794418,637113,95169,983986,1482970,1847000,3620000
21,Income Before Tax Ratio,0.0799,0.0054,0.0743,-0.1349,- -,0.0897,-1.0732,-1.0124,-0.3291,0.0905,-0.0576,0.1001,0.1512,0.0916,-0.0009,0.0386,0.0764,0.0549,0.0062,0.0553,0.0714,0.0920,0.1651
22,Income Tax expense (Gain),2500000,849383,1375968,-1331139,- -,- -,- -,- -,- -,- -,- -,- -,-224350,-391478,-1778,140876,298150,235547,266225,309008,460000,462000,659000
23,Net Income,3200000,-509366,2453696,-3022499,- -,40499,-1027972,-1559042,-759560,149658,-153191,327757,864452,870358,-33560,229095,533917,433171,142314,800736,1345165,1385000,2961000
24,Net Income ratio,0.0449,-0.0081,0.0430,-0.0937,- -,0.0897,-1.0732,-1.0124,-0.3291,0.0623,-0.0576,0.1001,0.2042,0.1654,-0.0061,0.0261,0.0514,0.0373,0.0092,0.0450,0.0648,0.0690,0.1350
25,EPS,1.04,-0.16,0.76,-1.00,- -,13.48,-0.16,-0.32,-0.16,0.04,-0.04,0.08,0.16,0.16,-0.01,0.04,0.08,0.08,0.04,0.12,0.20,0.23,0.49
26,EPS Diluted,1.04,-0.16,0.76,-1.00,- -,13.48,-0.16,-0.32,-0.16,0.04,-0.04,0.08,0.16,0.16,-0.01,0.04,0.08,0.08,0.04,0.12,0.20,0.22,0.48
27,Weighted Average Shares Outstanding,3076923,3198488,3198629,3068029,- -,3000,5825017,4721295,4878100,5156038,5216787,5211827,5168684,5235991,5473448,5792518,5949309,5954690,6168478,6206483,6212602,6118000,6098000
28,Weighted Average Shares Outstanding Diluted,3076923,3198488,3198629,3068029,- -,3000,5825017,4721295,4878100,5170230,5216787,5215961,5252137,5419714,5473448,5850017,5993593,5991006,6210561,6247364,6256811,6221000,6185000
29,SEC Link,- -,- -,- -,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1360565/000138713113000623/0001387131-13-000623-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1360565/000138713116004244/0001387131-16-004244-index.htm,https://www.sec.gov/Archives/edgar/data/1360565/000138713117001106/0001387131-17-001106-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1360565/000138713119002315/0001387131-19-002315-index.htm,https://www.sec.gov/Archives/edgar/data/1360565/000138713120002583/0001387131-20-002583-index.htm,https://www.sec.gov/Archives/edgar/data/1360565/000149315221004235/0001493152-21-004235-index.htm,https://www.sec.gov/Archives/edgar/data/1360565/000149315222005648/0001493152-22-005648-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,4700000,5192161,20095808,13109540,- -,12,684833,230539,170882,154044,214329,513076,969020,1403489,1067537,2583058,3781397,2489985,2705778,1482391,2637665,4374000,5414000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,283511,- -,- -,- -,- -,733104,743206,245597,258097,- -,- -
33,Cash and Short-Term Investments,4700000,5192161,20095808,13109540,- -,12,684833,230539,170882,154044,214329,513076,1252531,1403489,1067537,2583058,3781397,3223089,3448984,1727988,2895762,4374000,5414000
34,Net Receivables,6500000,6404987,10618010,12567925,- -,67633,241304,178159,193737,458715,204596,222480,226760,377072,683800,979532,1110052,1344646,1898749,2205162,2515244,2508000,2178000
35,Inventory,- -,- -,- -,- -,- -,- -,9771,14185,18759,14350,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,767000
36,Other Current Assets,1600000,1573037,883729,2367339,- -,55914,- -,33435,43495,33073,65695,34580,261126,323133,333760,544743,154912,203744,245073,439424,450346,592000,325000
37,Total Current Assets,12800000,13170185,31597547,28044804,- -,123559,935908,456318,426873,660182,484620,770136,1740417,2103694,2085097,4107333,5046361,4771479,5592806,4372574,5861352,7474000,8684000
38,PP&E,7200000,9116552,3942712,2277715,- -,35362,33775,31617,54134,78275,134035,114544,57354,146563,253206,231886,157950,1229350,1068087,1675472,4813637,4646000,4118000
39,Goodwill,- -,- -,- -,- -,- -,- -,418208,418208,418208,- -,- -,- -,- -,532997,1279762,1279762,1279762,2652250,2652250,3143734,2945734,2946000,2946000
40,Intangible Assets,16300000,15352001,2250409,2250409,- -,- -,67564,46633,28395,1093,655,14724,9205,303810,1716115,1902678,1746654,4214683,3934985,3831795,3227369,2927000,2558000
41,Intangible Assets,16300000,15352001,2250409,2250409,- -,- -,485772,464841,446603,1093,655,14724,9205,836807,2995877,3182440,3026416,6866933,6587235,6975529,6173103,5873000,5504000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1244114,991115,991000,991000
43,Tax Assets,- -,- -,429329,478714,- -,- -,- -,- -,- -,- -,- -,- -,- -,277177,480294,361797,231452,- -,79622,175923,377928,443000,464000
44,Other Non-Current Assets,3200000,3126810,2779483,1939780,- -,- -,471664,50000,- -,- -,- -,- -,- -,- -,- -,50000,13545,13545,13545,20326,20326,21000,23000
45,Total Non-Current Assets,26700000,27595363,9401933,6946618,- -,35362,991211,546458,500737,79368,134690,129268,66559,1260547,3729377,3826123,3429363,8109828,7748489,10091364,12376109,11974000,11100000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,39500000,40765548,40999480,34991422,- -,158921,1927119,1002776,927610,739550,619310,899404,1806976,3364241,5814474,7933456,8475724,12881307,13341295,14463938,18237461,19448000,19784000
48,Accounts Payable,1000000,2370825,1272921,625863,- -,12623,178847,206466,259104,218843,161049,172324,148384,134913,277633,401131,417836,333784,457307,533925,1022835,649000,447000
49,Short-Term Debt,500000,219857,- -,- -,- -,172670,100000,156622,420000,- -,8467,9130,25644,28379,28955,11822,12480,4067,16973,21482,247836,744000,326000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,255099,19978,170850,168000,185000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,46556,10820,5750,- -,- -,- -,- -,166500,188794,247814,271871,524396,851185,727854,859338,1163000,1589000
52,Other Current Liabilities,4200000,4259700,5316980,2965812,- -,5695,11183,8287,40406,53438,51115,33608,42960,58808,56091,65849,92574,480047,555129,419619,611463,568000,634000
53,Total Current Liabilities,5700000,6850382,6589901,3591675,- -,190988,336586,382195,725260,272281,220631,215062,216988,388600,551473,726616,794761,1342294,1880594,1702880,2741472,3124000,2996000
54,Long-Term Debt,200000,- -,- -,- -,- -,- -,350000,350000,300000,300000,360871,331687,426201,406087,176563,22655,10141,173760,215060,427055,3546867,3860000,3039000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49440,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1018396,974019,936370,1888135,1574765,1568194,- -,- -,- -
58,Total Non-Current Liabilities,200000,- -,- -,- -,- -,- -,350000,350000,300000,300000,360871,331687,426201,406087,1194959,996674,946511,2111335,1789825,1995249,3546867,3860000,3039000
59,Other Liabilities,1100000,802578,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20487,14981,10807,6410,177827,180135,406144,3794703,3569000,3365000
61,Total Liabilities,6600000,7652960,6589901,3591675,- -,190988,686586,732195,1025260,572281,581502,546749,643189,794687,1746432,1723290,1741272,3453629,3670419,3698129,6288339,6984000,6035000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,100000,128002,122760,122460,- -,120,25405,27024,28245,20929,20929,21039,21049,21837,23233,24266,23822,24890,24972,25473,25802,6000,6000
64,Retained Earnings,5900000,5438685,7892381,4869882,- -,-33067,-1027972,-2587014,-3346574,-3196916,-3350107,-3022350,-2157898,-1287540,-1321100,-1092005,-558088,-124917,17397,818133,2163298,3548000,5595000
65,Other Comprehensive Income/Loss,-7500000,-10403181,-9097495,-10094125,- -,-51626,-65739,-83792,-95644,-111553,-129845,-164697,-6693,- -,-530231,-570419,-641190,-665299,-977852,-1343716,-1736378,-2043000,- -
66,Other Total Stockholders Equity,34400000,37949082,35491933,36501530,- -,52506,2308839,2914363,3316323,3454809,3496831,3518663,3307329,3547262,5595709,7848324,7909908,10193004,10606359,11265919,11496400,10953000,8148000
67,Total Stockholders Equity,32900000,33112588,34409579,31399747,- -,-32067,1240533,270581,-97650,167269,37808,352655,1163787,2281559,3767611,6210166,6734452,9427678,9670876,10765809,11949122,12464000,13749000
68,Total Liabilities And Stockholders Equity,39500000,40765548,40999480,34991422,- -,158921,1927119,1002776,927610,739550,619310,899404,1806976,3076246,5514043,7933456,8475724,12881307,13341295,14463938,18237461,19448000,19784000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,287995,300431,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,39500000,40765548,40999480,34991422,- -,158921,1927119,1002776,927610,739550,619310,899404,1806976,3364241,5814474,7933456,8475724,12881307,13341295,14463938,18237461,19448000,19784000
