,https://roic.ai/company/DLTH,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,163089000,231867092,304157000,376116000,471447000,568102000,615624000,638783000,698584000
2,COGS,71088000,100877240,130636000,161970000,210428000,257700000,287475000,307257000,321260000
3,Gross Profit,92001000,130989852,173521000,214146000,261019000,310402000,328149000,331526000,377324000
4,Gross Profit Ratio,0.5641,0.5649,0.5705,0.5694,0.5537,0.5464,0.5330,0.5190,0.5401
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,144371000,179145000,223947000,273221000,298679000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,144371000,179145000,223947000,273221000,298679000,- -,333225000
9,Other Expenses,75786000,106964224,- -,- -,- -,0,1362000,307311000,- -
10,Operating Expenses,75786000,106964224,144371000,179145000,223947000,273221000,300041000,307311000,333225000
11,COGS and Expenses,146874000,207841464,275007000,341115000,434375000,530921000,587516000,614568000,654485000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),248000,341086,306000,194000,1988000,5949000,4471000,6263000,4717000
14,Depreciation and Amortization,1247000,1820683,2837000,4698000,7330000,12594000,22083000,28520000,29225000
15,EBITDA,17011000,25809083,31921000,39732000,44547000,50149000,50904000,52997000,73379000
16,EBITDA ratio,0.1043,0.1113,0.1049,0.1056,0.0945,0.0883,0.0827,0.0830,0.1050
17,Operating Income,16215000,24025628,29150000,35001000,37072000,37181000,28108000,24215000,44099000
18,Operating Income ratio,0.0994,0.1036,0.0958,0.0931,0.0786,0.0654,0.0457,0.0379,0.0631
19,Total Other Income Expenses (Gains),-162000,81031,-125000,53000,-1567000,-5566000,-4180000,-6198000,-4662000
20,Income Before Tax,16053000,24106659,29025000,35054000,35505000,31615000,23928000,18017000,39437000
21,Income Before Tax Ratio,0.0984,0.1040,0.0954,0.0932,0.0753,0.0557,0.0389,0.0282,0.0565
22,Income Tax expense (Gain),- -,- -,1339000,13525000,11878000,8450000,5429000,4637000,9887000
23,Net Income,15516000,23647314,27439000,21315000,23351000,23156000,18921000,13577000,29550000
24,Net Income ratio,0.0951,0.1020,0.0902,0.0567,0.0495,0.0408,0.0307,0.0213,0.0423
25,EPS,0.50,0.76,1.09,0.68,0.73,0.73,0.59,0.42,0.91
26,EPS Diluted,0.50,0.76,1.06,0.66,0.72,0.72,0.58,0.42,0.90
27,Weighted Average Shares Outstanding,31292611,31292611,25250000,31527000,31853000,32086000,32309000,32447000,32649000
28,Weighted Average Shares Outstanding Diluted,31292611,31292611,25978000,32249000,32285000,32317000,32371000,32580000,32761000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1649744/000164974416000023/0001649744-16-000023-index.html,https://www.sec.gov/Archives/edgar/data/1649744/000164974417000010/0001649744-17-000010-index.html,https://www.sec.gov/Archives/edgar/data/1649744/000164974418000009/0001649744-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/1649744/000164974419000010/0001649744-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/1649744/000164974420000008/0001649744-20-000008-index.html,https://www.sec.gov/Archives/edgar/data/1649744/000164974421000007/0001649744-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1649744/000164974422000008/0001649744-22-000008-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,7500030,7880883,37873000,24042000,2865000,731000,487000,47221000,77051000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,7500030,7880883,37873000,24042000,2865000,731000,487000,47221000,77051000
34,Net Receivables,469240,91685,96000,394000,325000,4639000,5053000,2820000,5455000
35,Inventory,30808648,41362970,55303000,70368000,89548000,97685000,147849000,149052000,122672000
36,Other Current Assets,2958965,4015853,5118000,6442000,9088000,15143000,8803000,11217000,17343000
37,Total Current Assets,41736883,53351391,98390000,101246000,101826000,118198000,162192000,210310000,222521000
38,PP&E,13043324,16879567,21529000,52432000,109705000,167109000,304179000,295195000,230989000
39,Goodwill,402011,402011,402000,402000,402000,402000,400000,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,306000,500000,- -,- -
41,Intangible Assets,402011,402011,402000,402000,402000,708000,900000,- -,- -
42,Investments,- -,- -,- -,- -,6323000,6295000,6432000,6111000,- -
43,Tax Assets,- -,- -,- -,1567000,2100000,9722000,8505000,- -,- -
44,Other Non-Current Assets,280295,316515,299000,320000,2746000,-6727000,-8158000,3961000,62040000
45,Total Non-Current Assets,13725630,17598093,22230000,54721000,121276000,177107000,311858000,305267000,293029000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,55462513,70949484,120620000,155967000,223102000,295305000,474050000,515577000,515550000
48,Accounts Payable,9929856,14199353,10611000,9330000,17320000,25363000,33053000,33647000,45402000
49,Short-Term Debt,898840,1428374,722000,742000,84000,500000,12831000,16802000,16276000
50,Tax Payable,- -,- -,1308000,5225000,7631000,218000,3427000,7579000,6814000
51,Deferred Revenue,2388127,4028721,2744000,5590000,7285000,10485000,9946000,9944000,- -
52,Other Current Liabilities,6485186,7981055,10613000,19457000,25607000,16263000,22945000,35321000,54318000
53,Total Current Liabilities,19702009,27637503,24690000,35119000,50296000,52611000,78775000,95714000,115996000
54,Long-Term Debt,4162634,4184874,4301000,3384000,28002000,67859000,104544000,220565000,133702000
55,Deferred Revenue,- -,- -,- -,2109000,3355000,5003000,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,31000,1567000,2100000,9722000,8505000,8200000,2867000
57,Other Non-Current Liabilities,369083,865234,1112000,2609000,3279000,-239000,103954000,- -,40267000
58,Total Non-Current Liabilities,4531717,5050108,5444000,9669000,36736000,82345000,217003000,228765000,176836000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,55506,331133,- -,3349000,26578000,23034000,155828000,161265000,- -
61,Total Liabilities,24233726,32687611,30134000,44788000,87032000,134956000,295778000,324479000,292832000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,727488,802060,85389000,86446000,88043000,89849000,90902000,92875000,- -
64,Retained Earnings,29508273,36024959,3443000,24733000,48084000,70592000,87589000,101166000,130868000
65,Other Comprehensive Income/Loss,- -,-45000,-27000,- -,-22739000,- -,188000,48000,489000
66,Other Total Stockholders Equity,- -,- -,- -,- -,22682000,-92000,-407000,-628000,91361000
67,Total Stockholders Equity,30235761,36782019,88805000,111179000,136070000,160349000,178272000,193461000,222718000
68,Total Liabilities And Stockholders Equity,54469487,69469630,118939000,155967000,223102000,295305000,474050000,517940000,515550000
69,Minority Interest,993026,1479854,1681000,- -,- -,- -,- -,-2363000,- -
70,Total Liabilities & Equity,55462513,70949484,120620000,155967000,223102000,295305000,474050000,515577000,515550000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1649744/000164974416000023/0001649744-16-000023-index.html,https://www.sec.gov/Archives/edgar/data/1649744/000164974417000010/0001649744-17-000010-index.html,https://www.sec.gov/Archives/edgar/data/1649744/000164974418000009/0001649744-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/1649744/000164974419000010/0001649744-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/1649744/000164974420000008/0001649744-20-000008-index.html,https://www.sec.gov/Archives/edgar/data/1649744/000164974421000007/0001649744-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1649744/000164974422000008/0001649744-22-000008-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,15516000,23647314,27439000,21315000,23351000,23156000,18921000,13577000,29550000
74,Depreciation and Amortization,1247000,1820683,2837000,4698000,7330000,12594000,22083000,28520000,29225000
75,Deferred Income Tax,- -,- -,31000,1536000,533000,7999000,-1151000,-255000,-5483000
76,Stock Based Compensation,76000,74572,720000,1224000,1597000,1668000,647000,1629000,2198000
77,Change in Working Capital,-1036000,3679014,47986112,-7573000,-14597000,14057000,17830000,31179000,-8071000
78,Accounts Receivable,9000,-15531,-3000,-25000,-7000,9000,1518000,-1350000,- -
79,Inventory,-7952000,-10554322,-13623000,-14446000,-17553000,-11013000,-50164000,-1203000,26380000
80,Accounts Payable,4119000,4239145,-5544000,-2962000,6363000,10282000,7564000,-1464000,10481000
81,Other Working Capital,22034874,25713888,73700000,66127000,51530000,65587000,83417000,114596000,106525000
82,Other Non-Cash Items,567000,-6592951,-64799112,-947000,11654000,-28379000,-51634000,-23899000,44562000
83,Cash Provided by Operating Activities,16370000,22628632,14214000,20253000,29868000,31095000,6696000,50751000,91981000
84,CAPEX,-3952000,-5268790,-7306000,-28672000,-46464000,-53036000,-24435000,-12263000,-10352000
85,Acquisitions Net,- -,-1772793,- -,- -,- -,-289000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-6323000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,131000,- -
88,Other Investing Activites,-262000,-105800,-56000,-234000,-235000,-410000,-6252000,-520000,202000
89,Cash Used for Investing Activites,-4214000,-7147383,-7362000,-28906000,-53022000,-53735000,-30687000,-12132000,-10150000
90,Debt Repayment,-34431000,-56988905,-150622000,-4226000,-54000,-416000,-495000,-118911000,-623000
91,Common Stock Issued,- -,- -,83923000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-4434000,-15078000,-60077000,-192000,- -,- -,- -,- -,- -
94,Other Financing Activites,33967000,56966509,149916000,675000,4814000,19058000,21990000,125273000,-50741000
95,Cash Used/Provided by Financing Activities,-4898000,-15100396,23140000,-3743000,4760000,18642000,21495000,6362000,-51364000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,7258000,380853,29992000,-12396000,-18394000,-3998000,-2496000,44981000,29830000
98,Cash at the End of Period,7500000,7880883,37873000,25477000,5648000,-1133000,-1765000,47221000,77051000
99,Cash at the Beginning of Period,242000,7500030,7881000,37873000,24042000,2865000,731000,2240000,47221000
100,Free Cash Flow,12418000,17359842,6908000,-8419000,-16596000,-21941000,-17739000,38488000,81629000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1649744/000164974416000023/0001649744-16-000023-index.html,https://www.sec.gov/Archives/edgar/data/1649744/000164974417000010/0001649744-17-000010-index.html,https://www.sec.gov/Archives/edgar/data/1649744/000164974418000009/0001649744-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/1649744/000164974419000010/0001649744-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/1649744/000164974420000008/0001649744-20-000008-index.html,https://www.sec.gov/Archives/edgar/data/1649744/000164974421000007/0001649744-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1649744/000164974422000008/0001649744-22-000008-index.htm
102,false,,,,,,,,,
