,https://roic.ai/company/BCLI,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,22900,82889,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,- -,17300,71700,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,5600,11189,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,0.2445,0.1350,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,16350493,741923,1925000,1639000,181000,1045000,1689000,1770000,2917000,4772000,4949000,2250000,977000,8293000,17204000,22329000,- -
6,General and Administrative Exp.,- -,23801,36424,- -,- -,- -,2990000,1629000,1569000,1544000,2205000,1748000,2101000,2649000,3587000,2833000,4022000,5770000,5797000,9355000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,23801,36424,47233,2476553,2139637,2990000,1629000,1569000,1544000,2205000,1748000,2101000,2649000,3587000,2833000,4022000,5770000,5797000,9355000,- -
9,Other Expenses,- -,14488,21571,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,38289,57995,- -,18827046,2881560,4915000,3268000,1750000,2589000,3894000,3518000,5018000,7421000,8536000,5083000,4999000,14063000,23001000,31684000,- -
11,COGS and Expenses,- -,55589,129695,70947,18827046,2881560,4915000,3268000,1750000,2589000,3894000,3518000,5018000,7421000,8536000,5083000,4999000,14063000,23001000,31684000,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,189000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
