,https://roic.ai/company/AMAM,2019,2020
0,INCOME STATEMENT, , 
1,Revenue,10311000,13671000
2,COGS,- -,- -
3,Gross Profit,- -,- -
4,Gross Profit Ratio,- -,- -
5,Research and Development Exp.,26383000,20433000
6,General and Administrative Exp.,6400000,6353000
7,Selling and Marketing Exp.,- -,- -
8,"Selling, General and Administrative Exp.",6400000,6353000
9,Other Expenses,- -,- -
10,Operating Expenses,32783000,26786000
11,COGS and Expenses,32783000,26786000
12,Interest Income ,- -,- -
13,Interest Expense (Gain),- -,- -
14,Depreciation and Amortization,2053000,1943000
15,EBITDA,-18011000,-14599000
16,EBITDA ratio,-1.7468,-1.0679
17,Operating Income,-22472000,-13115000
18,Operating Income ratio,-2.1794,-0.9593
19,Total Other Income Expenses (Gains),157000,-4723000
20,Income Before Tax,-22315000,-17838000
21,Income Before Tax Ratio,-2.1642,-1.3048
22,Income Tax expense (Gain),-2000,1000
23,Net Income,-20062000,-16543000
24,Net Income ratio,-1.9457,-1.2101
25,EPS,-0.53,-0.44
26,EPS Diluted,-0.53,-0.44
27,Weighted Average Shares Outstanding,37669456,37669456
28,Weighted Average Shares Outstanding Diluted,37669456,37669456
29,SEC Link,- -,- -
30,BALANCE SHEET, , 
31,Cash and Cash Equivalents,15493000,90462000
32,Short-Term Investments,- -,- -
33,Cash and Short-Term Investments,15493000,90462000
34,Net Receivables,1391000,982000
35,Inventory,- -,- -
36,Other Current Assets,1273000,1633000
37,Total Current Assets,18157000,93077000
38,PP&E,4971000,3491000
39,Goodwill,- -,- -
40,Intangible Assets,38280000,36829000
41,Intangible Assets,38280000,36829000
42,Investments,- -,- -
43,Tax Assets,- -,- -
44,Other Non-Current Assets,319000,624000
45,Total Non-Current Assets,43570000,40944000
46,Other Assets,- -,- -
47,Total Assets,61727000,134021000
48,Accounts Payable,5390000,2820000
49,Short-Term Debt,1453000,1595000
50,Tax Payable,- -,- -
51,Deferred Revenue,4214000,6470000
52,Other Current Liabilities,3885000,2375000
53,Total Current Liabilities,14942000,13260000
54,Long-Term Debt,3193000,1598000
55,Deferred Revenue,6797000,3261000
56,Deferred Tax Liabilities,808000,880000
57,Other Non-Current Liabilities,2563000,254456000
58,Total Non-Current Liabilities,13361000,260195000
59,Other Liabilities,- -,- -
60,Capital Lease Obligations,- -,- -
61,Total Liabilities,28303000,273455000
62,Preferred Stock,- -,- -
63,Common Stock,14000,- -
64,Retained Earnings,-129010000,-145553000
65,Other Comprehensive Income/Loss,-843000,-686000
66,Other Total Stockholders Equity,- -,- -
67,Total Stockholders Equity,33424000,-139434000
68,Total Liabilities And Stockholders Equity,61727000,134021000
69,Minority Interest,- -,- -
70,Total Liabilities & Equity,61727000,134021000
71,SEC Link,- -,- -
72,CASH FLOW STATEMENT, , 
73,Net Income,-20062000,-16543000
74,Depreciation and Amortization,2053000,1943000
75,Deferred Income Tax,- -,- -
76,Stock Based Compensation,1831000,1217000
77,Change in Working Capital,14176000,-7375000
78,Accounts Receivable,-762000,415000
79,Inventory,- -,- -
80,Accounts Payable,3776000,-3247000
81,Other Working Capital,11011000,-1280000
82,Other Non-Cash Items,-763000,182000
83,Cash Provided by Operating Activities,-2765000,-20576000
84,CAPEX,-48000,-252000
85,Acquisitions Net,- -,- -
86,Purchases of Investments,- -,- -
87,Sales/Maturities of Investments,- -,- -
88,Other Investing Activites,- -,- -
89,Cash Used for Investing Activites,-48000,-252000
90,Debt Repayment,- -,-1339000
91,Common Stock Issued,- -,- -
92,Common Stock Repurchased,- -,- -
93,Dividends Paid,- -,- -
94,Other Financing Activites,- -,97017000
95,Cash Used/Provided by Financing Activities,- -,95678000
96,Effect of Forex Changes on Cash,-38000,165000
97,Net Change In Cash,-2851000,75015000
98,Cash at the End of Period,16263000,91278000
99,Cash at the Beginning of Period,19114000,16263000
100,Free Cash Flow,-2813000,-20828000
101,SEC Link,- -,- -
102,false,,
