,https://roic.ai/company/APRDP,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,3007609000,2935142000,3024774000,3120775000,3149111000,3386373000,3385474000,3667461000,3586390000,3710533000,3960161000,4235991000,4647824000,5014728000,5359993000,6076931000,5528574000,5976000000,5702000000,5520000000,5618000000,5942000000,5768000000,5889000000,6039000000,6032000000,21419000000,20375000000,6413000000
2,COGS,877099000,801948000,791819000,877076000,896014000,900309000,1129399000,1312170000,1293786000,1218640000,1383059000,1599356000,1914785000,2098898000,2200807000,2722319000,2130175000,2131000000,1950000000,3045000000,3149000000,3458000000,3194000000,3141000000,3205000000,3402000000,11792000000,1299000000,3338000000
3,Gross Profit,2130510000,2133194000,2232955000,2243699000,2253097000,2486064000,2256075000,2355291000,2292604000,2491893000,2577102000,2636635000,2733039000,2915830000,3159186000,3354612000,3398399000,3845000000,3752000000,2475000000,2469000000,2484000000,2574000000,2748000000,2834000000,2630000000,9627000000,19076000000,3075000000
4,Gross Profit Ratio,0.7084,0.7268,0.7382,0.7190,0.7155,0.7341,0.6664,0.6422,0.6393,0.6716,0.6508,0.6224,0.5880,0.5815,0.5894,0.5520,0.6147,0.6434,0.6580,0.4484,0.4395,0.4180,0.4463,0.4666,0.4693,0.4360,0.4495,0.9362,0.4795
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
9,Other Expenses,2412497000,2339138000,2399456000,2504137000,2521908000,2729334000,2491038000,2726036000,2675698000,2688372000,2945261000,1616152000,1719500000,1806131000,1944350000,2085859000,2078442000,2356000000,2238000000,979000000,993000000,959000000,1011000000,1083000000,1120000000,1153000000,4292000000,15490000000,1269000000
10,Operating Expenses,2412497000,2339138000,2399456000,2504137000,2521908000,2729334000,2491038000,2726036000,2675698000,2688372000,2945261000,1616152000,1719500000,1806131000,1944350000,2085859000,2078442000,2356000000,2238000000,979000000,993000000,959000000,1011000000,1083000000,1120000000,1153000000,4292000000,15490000000,1269000000
11,COGS and Expenses,3289596000,3141086000,3191275000,3381213000,3417922000,3629643000,3620437000,4038206000,3969484000,3907012000,4328320000,3215508000,3634285000,3905029000,4145157000,4808178000,4208617000,4487000000,4188000000,4024000000,4142000000,4417000000,4205000000,4224000000,4325000000,4555000000,16084000000,16789000000,4607000000
12,Interest Income ,20775000,16944000,13768000,28318000,37844000,68553000,55896000,289830000,- -,13991000,15220000,15677000,17144000,20897000,19545000,19394000,16906000,17000000,18000000,16000000,16000000,15000000,15000000,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,225706000,214302000,209781000,213604000,252282000,273737000,278917000,298495000,303000000,299000000,287000000,259000000,255000000,274000000,302000000,305000000,323000000,1736000000,1821000000,340000000
14,Depreciation and Amortization,356499000,359791000,371382000,383438000,394572000,425167000,403332000,412998000,437490000,465325000,467085000,497010000,498914000,524313000,548959000,599767000,636788000,694000000,749000000,767000000,816000000,724000000,780000000,844000000,888000000,917000000,951000000,3905000000,1005000000
