,https://roic.ai/company/OBCI,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,3700000,4500000,4600000,5400000,6200000,7100000,8300000,9500000,9700000,12400000,12800000,12700000,14300000,16139256,19876095,20585898,19997702,21657083,17651905,20427132,21312256,20918067,24632890,27403733,31681063,31038894,32703478,33926988,33987487,36205444,38933458,41799545,42259487,55561169,64298595
2,COGS,3300000,4100000,2700000,2900000,3600000,4200000,5100000,5700000,5900000,8200000,9400000,8700000,9600000,11441580,13744703,15961692,15131775,16675780,14640883,14719006,14470397,14918333,16763401,18022215,20996824,20412022,21814739,21797093,22647516,22331761,24436780,27402356,26659427,32059747,40001908
3,Gross Profit,400000,400000,1900000,2500000,2600000,2900000,3200000,3800000,3800000,4200000,3400000,4000000,4700000,4697676,6131392,4624206,4865927,4981303,3011022,5708126,6841859,5999734,7869489,9381518,10684239,10626872,10888739,12129895,11339971,13873683,14496678,14397189,15600060,23501422,24296687
4,Gross Profit Ratio,0.1081,0.0889,0.4130,0.4630,0.4194,0.4085,0.3855,0.4000,0.3918,0.3387,0.2656,0.3150,0.3287,0.2911,0.3085,0.2246,0.2433,0.2300,0.1706,0.2794,0.3210,0.2868,0.3195,0.3423,0.3372,0.3424,0.3330,0.3575,0.3337,0.3832,0.3723,0.3444,0.3691,0.4230,0.3779
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,2900000,3300000,3300000,3300000,3400000,4112107,2947489,3284652,3329904,3428873,3775848,3510715,4018150,3988028,4216824,4497059,4989846,5126467,5928830,6540961,7579682,7660377,7297538,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,663922,769275,742167,942991,1110258,1143420,1562423,1331568,1661948,1635163,1979800,7544212,8576798,9106639,10590440,10777541,10821248,10689016,10986700,11337860,- -
8,"Selling, General and Administrative Exp.",- -,- -,1600000,2000000,1900000,2300000,2300000,2500000,2900000,3300000,3300000,3300000,3400000,4112107,3611411,4053927,4072071,4371864,4886106,4654135,5580573,5319596,5878772,6132222,6969646,12670679,14505628,15647600,18170122,18437918,18118786,10689016,10986700,11337860,- -
9,Other Expenses,- -,100000,100000,100000,100000,100000,- -,100000,100000,200000,200000,300000,300000,410855,511382,386109,290856,307840,499433,680572,354622,257020,- -,- -,- -,-5126467,-5928830,-6540961,-7579682,-7660377,-7297538,- -,- -,- -,13437822
10,Operating Expenses,- -,100000,1700000,2100000,2000000,2400000,2300000,2600000,3000000,3500000,3500000,3600000,3700000,4522962,4122793,4440036,4362927,4679704,5385539,5334707,5935195,5576616,5878772,6132222,6969646,7544212,8576798,9106639,10590440,10777541,10821248,10689016,10986700,11337860,13437822
11,COGS and Expenses,3300000,4200000,4400000,5000000,5600000,6600000,7400000,8300000,8900000,11700000,12900000,12300000,13300000,15964542,17867496,20401728,19494702,21355484,20026422,20053713,20405592,20494949,22642173,24154437,27966470,27956234,30391537,30903732,33237956,33109302,35258028,38091372,37646127,43397607,53439730
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14345,897,8848,19871,955,26824,18638,18597,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,100000,100000,100000,100000,100000,100000,100000,100000,300000,- -,400000,- -,573882,511292,386109,290856,307840,499433,680572,354622,257020,205626,115592,150142,97964,67180,43454,33639,17820,2065,- -,- -,132466,148580
14,Depreciation and Amortization,- -,100000,100000,100000,100000,100000,- -,100000,100000,200000,200000,300000,300000,410855,494901,601064,674955,735103,762943,780753,785064,787460,709855,689379,754854,701569,782962,843116,916317,974587,955161,1175267,1289531,1373337,1489215
15,EBITDA,400000,500000,500000,500000,800000,500000,1000000,1300000,1000000,1100000,-100000,800000,1000000,599914,1099542,1180191,1488682,1345497,-1085317,1853382,2064947,1489530,2724277,4070515,4577525,3816899,3126946,3883521,1653326,4070729,4634721,4761546,5784249,13738109,7735446
16,EBITDA ratio,0.1081,0.1111,0.1087,0.0926,0.1290,0.0704,0.1205,0.1368,0.1031,0.0887,-0.0078,0.0630,0.0699,0.0372,0.0553,0.0573,0.0744,0.0621,-0.0615,0.0907,0.0969,0.0712,0.1106,0.1485,0.1445,0.1230,0.0956,0.1145,0.0486,0.1124,0.1190,0.1139,0.1369,0.2473,0.1203
17,Operating Income,400000,300000,200000,400000,600000,500000,900000,1200000,800000,700000,-100000,400000,1000000,174714,145897,184170,503000,301599,-2374517,373419,906664,423118,1785091,3249296,3714593,3082660,2311941,3023256,749531,3096142,3675430,3708173,4613360,12163562,10858865
18,Operating Income ratio,0.1081,0.0667,0.0435,0.0741,0.0968,0.0704,0.1084,0.1263,0.0825,0.0565,-0.0078,0.0315,0.0699,0.0108,0.0073,0.0089,0.0252,0.0139,-0.1345,0.0183,0.0425,0.0202,0.0725,0.1186,0.1172,0.0993,0.0707,0.0891,0.0221,0.0855,0.0944,0.0887,0.1092,0.2189,0.1689
19,Total Other Income Expenses (Gains),-300000,- -,100000,-100000,- -,-200000,- -,-100000,- -,-100000,-200000,100000,-300000,-559537,987,8848,19871,955,26824,18638,18597,21932,23705,-60713,-99643,-93475,-60861,-43454,-46161,-17820,2065,-121894,-118642,68744,-148580
20,Income Before Tax,- -,300000,300000,300000,600000,300000,900000,1100000,800000,600000,-300000,- -,700000,-384823,146884,193018,522871,302554,-2347693,392057,925261,445050,1808796,3188583,3614950,2989185,2251080,2979802,703370,3078322,3677495,3586279,4494718,12232306,10710285
21,Income Before Tax Ratio,- -,0.0667,0.0652,0.0556,0.0968,0.0423,0.1084,0.1158,0.0825,0.0484,-0.0234,- -,0.0490,-0.0238,0.0074,0.0094,0.0261,0.0140,-0.1330,0.0192,0.0434,0.0213,0.0734,0.1164,0.1141,0.0963,0.0688,0.0878,0.0207,0.0850,0.0945,0.0858,0.1064,0.2202,0.1666
22,Income Tax expense (Gain),- -,100000,100000,100000,200000,100000,300000,400000,300000,200000,-100000,- -,300000,-140000,40500,58500,177800,168000,-534500,- -,200260,291132,755318,1247420,1279892,1055078,815812,948874,242676,983151,1073961,791030,996004,2615623,-2306317
23,Net Income,- -,200000,200000,200000,400000,200000,600000,700000,500000,400000,-200000,100000,400000,-244823,52849,134518,345071,134554,-1813193,392057,725001,153918,1053478,2018124,2392637,1962288,1460992,2048077,460694,2095171,2603534,2795249,3498714,9616683,8403968
24,Net Income ratio,- -,0.0444,0.0435,0.0370,0.0645,0.0282,0.0723,0.0737,0.0515,0.0323,-0.0156,0.0079,0.0280,-0.0152,0.0027,0.0065,0.0173,0.0062,-0.1027,0.0192,0.0340,0.0074,0.0428,0.0736,0.0755,0.0632,0.0447,0.0604,0.0136,0.0579,0.0669,0.0669,0.0828,0.1731,0.1307
25,EPS,0.02,0.06,0.05,0.05,0.09,0.06,0.15,0.18,0.13,0.08,-0.04,0.02,0.10,-0.05,0.03,0.03,0.07,0.03,-0.32,0.06,0.09,0.02,0.14,0.26,0.30,0.24,0.17,0.23,0.05,0.23,0.28,0.30,0.37,1.02,0.89
26,EPS Diluted,0.02,0.06,0.05,0.05,0.09,0.06,0.15,0.18,0.13,0.08,-0.04,0.02,0.10,-0.05,0.03,0.03,0.07,0.02,-0.32,0.05,0.08,0.02,0.14,0.24,0.28,0.23,0.17,0.23,0.05,0.23,0.28,0.30,0.37,1.02,0.89
27,Weighted Average Shares Outstanding,3374037,3143171,3667033,3667033,3143171,3143171,4125413,3850385,3789844,5133333,4620000,2750275,4000000,4488422,4325915,4483933,4929586,4485133,5666228,6534283,7690191,7814466,7673438,7789699,7953329,8229720,8542686,8834951,8940593,9059966,9190429,9279872,9391264,9460659,9460659
28,Weighted Average Shares Outstanding Diluted,3374037,3143171,3667033,3667033,3143171,3143171,4125413,3850385,3928964,5133333,4620000,2750275,4000000,4488422,4325915,4483933,4929586,6727700,5849010,7841140,8826259,7814466,7697100,8443797,8395347,8556107,8787668,8946202,9027106,9116516,9253802,9319103,9399434,9464346,9464346
