,https://roic.ai/company/FOXF,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,170983000,197739000,235869000,272746000,306734000,366798000,403077000,475633000,619225000,- -,751020000,1299064000
2,COGS,122373000,140849000,173040000,192617000,212314000,254756000,276689000,321143000,413729000,- -,508285000,866732000
3,Gross Profit,48610000,56890000,62829000,80129000,94420000,112042000,126388000,154490000,205496000,- -,242735000,432332000
4,Gross Profit Ratio,0.2843,0.2877,0.2664,0.2938,0.3078,0.3055,0.3136,0.3248,0.3319,- -,0.3232,0.3328
5,Research and Development Exp.,7321000,9750000,9727000,10409000,13642000,17001000,18459000,20178000,25847000,- -,31789000,46567000
6,General and Administrative Exp.,6202000,7588000,9063000,11408000,17683000,21053000,27693000,34933000,41756000,- -,48999000,97241000
7,Selling and Marketing Exp.,10293000,11748000,12570000,14153000,19192000,23182000,25796000,27905000,37296000,- -,42794000,70925000
8,"Selling, General and Administrative Exp.",16495000,19336000,21633000,25561000,36875000,44235000,53489000,62838000,79052000,- -,91793000,168166000
9,Other Expenses,5217000,5217000,5315000,5378000,6424000,8525000,8899000,4433000,6065000,- -,6344000,20685000
10,Operating Expenses,29033000,34303000,36675000,41348000,56941000,69761000,80847000,87449000,110964000,- -,129926000,235418000
11,COGS and Expenses,151406000,175152000,209715000,233965000,269255000,324517000,357536000,408592000,524693000,- -,638211000,1102150000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),2637000,1982000,3486000,4125000,999000,1549000,2088000,2396000,3059000,- -,3173000,8162000
14,Depreciation and Amortization,6150000,6598000,7204000,7759000,9730000,13063000,8754000,10280000,14729000,- -,17736000,45111000
15,EBITDA,25766000,29172000,33081000,46552000,45046000,48856000,53932000,76906000,107351000,- -,128041000,241654000
16,EBITDA ratio,0.1507,0.1475,0.1403,0.1707,0.1469,0.1332,0.1338,0.1617,0.1734,- -,0.1705,0.1860
17,Operating Income,19577000,22587000,26154000,38781000,34623000,35344000,45541000,67041000,94532000,- -,112809000,196914000
18,Operating Income ratio,0.1145,0.1142,0.1109,0.1422,0.1129,0.0964,0.1130,0.1410,0.1527,- -,0.1502,0.1516
19,Total Other Income Expenses (Gains),-2598000,-1995000,-3763000,-4113000,-306000,-1100000,-2451000,-2756000,-3642000,- -,-4240000,-8533000
20,Income Before Tax,16979000,20592000,22391000,34668000,34317000,34244000,43090000,64285000,90890000,- -,108569000,188381000
21,Income Before Tax Ratio,0.0993,0.1041,0.0949,0.1271,0.1119,0.0934,0.1069,0.1352,0.1468,- -,0.1446,0.1450
22,Income Tax expense (Gain),6210000,7054000,8181000,10566000,6631000,9290000,7415000,21102000,5523000,- -,14099000,24563000
23,Net Income,10769000,13538000,14210000,24102000,27686000,24954000,35675000,43128000,84040000,- -,93033000,163818000
24,Net Income ratio,0.0630,0.0685,0.0602,0.0884,0.0903,0.0680,0.0885,0.0907,0.1357,- -,0.1239,0.1261
25,EPS,0.34,0.40,0.44,0.70,0.75,0.67,0.97,1.15,2.22,- -,2.43,3.90
26,EPS Diluted,0.33,0.40,0.44,0.68,0.73,0.66,0.94,1.11,2.16,- -,2.38,3.87
27,Weighted Average Shares Outstanding,32059000,33460000,32059000,34571000,36756000,36989000,36799000,37373000,37805000,- -,38333000,42022000
28,Weighted Average Shares Outstanding Diluted,32515000,34149000,32515000,35705000,37807000,37894000,37801000,38738000,38956000,- -,39155000,42366000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1424929/000119312514093860/0001193125-14-093860-index.htm,https://www.sec.gov/Archives/edgar/data/1424929/000142492915000006/0001424929-15-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1424929/000142492916000069/0001424929-16-000069-index.htm,https://www.sec.gov/Archives/edgar/data/1424929/000142492917000009/0001424929-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1424929/000142492918000006/0001424929-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1424929/000142492919000015/0001424929-19-000015-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1424929/000142492920000014/0001424929-20-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1424929/000142492922000013/0001424929-22-000013-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,114000,15000,1683000,4212000,6944000,35280000,35947000,27958000,- -,43736000,179686000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,114000,15000,1683000,4212000,6944000,35280000,35947000,27958000,- -,43736000,179686000
34,Net Receivables,- -,18472000,25224000,33781000,39221000,43660000,61617000,61060000,78882000,- -,91632000,142040000
35,Inventory,- -,29531000,34255000,42783000,59191000,68202000,71243000,84841000,107140000,- -,128505000,279837000
36,Other Current Assets,- -,4373000,5647000,6138000,9985000,13135000,14772000,18055000,17967000,- -,17940000,123107000
