,https://roic.ai/company/SCYX,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,16837000,16857000,19024000,257000,257000,257000,257000,121000,- -,13163000
2,COGS,14364000,16305000,15446000,- -,- -,- -,- -,- -,- -,312000
3,Gross Profit,2473000,552000,3578000,- -,- -,- -,- -,- -,- -,12851000
4,Gross Profit Ratio,0.1469,0.0327,0.1881,- -,- -,- -,- -,- -,- -,0.9763
5,Research and Development Exp.,8927000,4363000,8287000,16440000,20076000,18326000,21560000,38394000,36522000,23773000
6,General and Administrative Exp.,- -,- -,7568000,12166000,7998000,8251000,8680000,10648000,14627000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,7568000,12166000,7998000,8251000,8680000,10648000,14627000,49916000
9,Other Expenses,4742000,4381000,- -,- -,- -,- -,- -,- -,-334000,312000
10,Operating Expenses,13669000,8744000,15855000,28606000,28074000,26577000,30240000,49042000,50815000,74001000
11,COGS and Expenses,28033000,25049000,31301000,28606000,28074000,26577000,30240000,49042000,50815000,74313000
12,Interest Income ,- -,- -,- -,- -,185000,386000,967000,805000,189000,-24000
13,Interest Expense (Gain),972000,11886000,48000,11000,351000,1855000,2054000,986000,1181000,2660000
14,Depreciation and Amortization,1489000,1329000,1238000,447000,26000,41000,53000,111000,111000,379000
15,EBITDA,-9016000,-17246000,-4114000,-32165000,-29612000,-23164000,-17097000,-52613000,-52318000,-26739000
16,EBITDA ratio,-0.5355,-1.0231,-0.2163,-125.1556,-115.2218,-90.1323,-66.5253,-434.8182,-Infinity,-2.0314
17,Operating Income,-7784000,-7204000,-12112000,-28349000,-27817000,-26320000,-29983000,-48921000,-51149000,-60838000
18,Operating Income ratio,-0.4623,-0.4274,-0.6367,-110.3074,-108.2374,-102.4125,-116.6654,-404.3058,-Infinity,-4.6219
19,Total Other Income Expenses (Gains),-3693000,-23257000,7878000,11000,-2172000,1260000,10779000,-4789000,-7184000,31060000
20,Income Before Tax,-11477000,-30461000,-4234000,-28338000,-29989000,-25060000,-19204000,-53710000,-58333000,-29778000
21,Income Before Tax Ratio,-0.6817,-1.8070,-0.2226,-110.2646,-116.6887,-97.5097,-74.7237,-443.8843,-Infinity,-2.2623
22,Income Tax expense (Gain),- -,- -,-1166000,- -,- -,- -,-6736000,- -,-3148000,3088000
23,Net Income,-11477000,-30461000,-4234000,-32623000,-29989000,-25060000,-12468000,-53710000,-55185000,-32866000
24,Net Income ratio,-0.6817,-1.8070,-0.2226,-126.9377,-116.6887,-97.5097,-48.5136,-443.8843,-Infinity,-2.4968
25,EPS,-72.58,-142.00,-10.40,-26.80,-15.80,-9.40,-2.80,-9.60,-5.15,-3.09
26,EPS Diluted,-72.58,-142.00,-26.90,-26.80,-15.80,-9.40,-2.80,-9.60,-5.15,-3.09
27,Weighted Average Shares Outstanding,158125,158125,566331,1216355,1903529,2674632,4388399,5608138,10720211,10627618
28,Weighted Average Shares Outstanding Diluted,158125,158125,593708,1216355,1903529,2674632,4388399,5608138,10720211,10627618
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1178253/000117825315000034/0001178253-15-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1178253/000117825316000144/0001178253-16-000144-index.htm,https://www.sec.gov/Archives/edgar/data/1178253/000117825317000001/0001178253-17-000001-index.htm,https://www.sec.gov/Archives/edgar/data/1178253/000156459018005461/0001564590-18-005461-index.htm,https://www.sec.gov/Archives/edgar/data/1178253/000156459019007834/0001564590-19-007834-index.htm,https://www.sec.gov/Archives/edgar/data/1178253/000156459020009875/0001564590-20-009875-index.htm,https://www.sec.gov/Archives/edgar/data/1178253/000156459021015962/0001564590-21-015962-index.htm,https://www.sec.gov/Archives/edgar/data/1178253/000156459022012199/0001564590-22-012199-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,2385000,1454000,32243000,46985000,35656000,11469000,11439000,41920000,93041000,104484000
32,Short-Term Investments,- -,- -,- -,- -,22930000,32424000,32718000,6494000,- -,- -
33,Cash and Short-Term Investments,2385000,1454000,32243000,46985000,58586000,43893000,44157000,48414000,93041000,104484000
34,Net Receivables,2418000,1062000,1727000,930000,233000,251000,6732000,- -,2876000,861000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,463000
36,Other Current Assets,421000,489000,766000,522000,508000,816000,574000,3988000,2289000,3569000
37,Total Current Assets,5224000,3005000,34736000,48437000,59327000,44960000,51463000,52402000,98206000,109377000
38,PP&E,6284000,5401000,4835000,- -,- -,- -,516000,3596000,3297000,2914000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1056000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1056000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,610000,4033000,101000,836000,465000,890000,1191000,1155000,1033000,6490000
45,Total Non-Current Assets,6894000,9434000,4936000,836000,465000,890000,1707000,4751000,4330000,10460000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,12118000,12439000,39672000,49273000,59792000,45850000,53170000,57153000,102536000,119837000
48,Accounts Payable,1018000,1932000,855000,619000,2192000,3833000,3653000,7177000,4639000,7848000
49,Short-Term Debt,- -,- -,- -,- -,- -,4349000,- -,- -,52000,11677000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,182000,487000,449000,257000,257000,257000,121000,- -,- -,- -
52,Other Current Liabilities,13031000,16058000,2497000,5788000,1268000,1705000,2103000,3837000,21705000,-5909000
53,Total Current Liabilities,14231000,18477000,3801000,6664000,3717000,10144000,5877000,11014000,26396000,13616000
54,Long-Term Debt,15000000,- -,- -,- -,14252000,10303000,15082000,11522000,16516000,3204000
55,Deferred Revenue,- -,1144000,1146000,635000,378000,121000,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,2216000,1518000,1294000,25000,6626000,3872000,986000,21722000,36866000,61759000
58,Total Non-Current Liabilities,17216000,2662000,2440000,660000,21256000,14296000,16068000,33244000,53382000,64963000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,3362000,3326000,- -
61,Total Liabilities,31447000,21139000,6241000,7324000,24973000,24440000,21945000,44258000,79778000,78579000
62,Preferred Stock,46086000,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,2000,8000,14000,24000,29000,48000,97000,20000,32000
64,Retained Earnings,-82816000,-113277000,-117511000,-150134000,-180123000,-205250000,-217718000,-271428000,-326613000,-359479000
65,Other Comprehensive Income/Loss,-16895000,-17669000,-17285000,- -,- -,- -,-61000,-172000,- -,- -
66,Other Total Stockholders Equity,80382000,122244000,168219000,192069000,214918000,226631000,248956000,284398000,349351000,400705000
67,Total Stockholders Equity,-19329000,-8700000,33431000,41949000,34819000,21410000,31225000,12895000,22758000,41258000
68,Total Liabilities And Stockholders Equity,12118000,12439000,39672000,49273000,59792000,45850000,53170000,57153000,102536000,119837000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,12118000,12439000,39672000,49273000,59792000,45850000,53170000,57153000,102536000,119837000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1178253/000117825315000034/0001178253-15-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1178253/000117825316000144/0001178253-16-000144-index.htm,https://www.sec.gov/Archives/edgar/data/1178253/000117825317000001/0001178253-17-000001-index.htm,https://www.sec.gov/Archives/edgar/data/1178253/000156459018005461/0001564590-18-005461-index.htm,https://www.sec.gov/Archives/edgar/data/1178253/000156459019007834/0001564590-19-007834-index.htm,https://www.sec.gov/Archives/edgar/data/1178253/000156459020009875/0001564590-20-009875-index.htm,https://www.sec.gov/Archives/edgar/data/1178253/000156459021015962/0001564590-21-015962-index.htm,https://www.sec.gov/Archives/edgar/data/1178253/000156459022012199/0001564590-22-012199-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-11477000,-30461000,-4234000,-32623000,-29989000,-25060000,-12468000,-53710000,-55185000,-32866000
74,Depreciation and Amortization,1489000,1329000,1238000,447000,26000,41000,53000,111000,111000,379000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,358000,180000,1201000,3023000,1210000,1662000,1816000,1828000,2220000,2088000
77,Change in Working Capital,-57000,-6465000,46407000,10838000,13837000,-20794000,10770000,-4198000,30422000,23951000
78,Accounts Receivable,-430000,1366000,-439000,31000,- -,- -,- -,- -,- -,-861000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5292000
80,Accounts Payable,-408000,-82000,1575000,1066000,-309000,2078000,223000,5215000,- -,2763000
81,Other Working Capital,-9007000,-15472000,30935000,41773000,55610000,34816000,45586000,41388000,71810000,95761000
82,Other Non-Cash Items,-909000,31110000,-54084000,-6230000,-14437000,19595000,-28494000,17850000,-26922000,-48112000
83,Cash Provided by Operating Activities,-10596000,-4307000,-9472000,-24545000,-29353000,-24556000,-28323000,-38119000,-49354000,-54560000
84,CAPEX,-361000,-431000,-704000,-589000,-27000,-2000,-565000,- -,-4000,- -
85,Acquisitions Net,- -,- -,- -,2549000,500000,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-300000,-35545000,-78437000,-85112000,-39500000,-14235000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,12600000,68819000,84874000,65740000,20713000,- -
88,Other Investing Activites,3412000,988000,216000,-74000,- -,- -,- -,- -,- -,-1172000
89,Cash Used for Investing Activites,3051000,557000,-488000,1586000,-22472000,-9620000,-803000,26240000,6474000,-1172000
90,Debt Repayment,- -,- -,-15000000,- -,- -,- -,- -,-17226000,-494000,- -
91,Common Stock Issued,- -,- -,62000000,41400000,28077000,10287000,31657000,46337000,90554000,38552000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-208000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,5954000,2767000,-6199000,-3699000,12419000,-298000,-2233000,13194000,4149000,28568000
95,Cash Used/Provided by Financing Activities,5954000,2767000,40801000,37701000,40496000,9989000,29424000,42305000,94001000,67120000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-1591000,-983000,30841000,14742000,-11329000,-24187000,298000,30426000,51121000,11388000
98,Cash at the End of Period,2385000,1402000,32243000,46985000,35656000,11469000,11767000,42193000,93314000,104702000
99,Cash at the Beginning of Period,3976000,2385000,1402000,32243000,46985000,35656000,11469000,11767000,42193000,93314000
100,Free Cash Flow,-10957000,-4738000,-10176000,-25134000,-29380000,-24558000,-28888000,-38119000,-49358000,-54560000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1178253/000117825315000034/0001178253-15-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1178253/000117825316000144/0001178253-16-000144-index.htm,https://www.sec.gov/Archives/edgar/data/1178253/000117825317000001/0001178253-17-000001-index.htm,https://www.sec.gov/Archives/edgar/data/1178253/000156459018005461/0001564590-18-005461-index.htm,https://www.sec.gov/Archives/edgar/data/1178253/000156459019007834/0001564590-19-007834-index.htm,https://www.sec.gov/Archives/edgar/data/1178253/000156459020009875/0001564590-20-009875-index.htm,https://www.sec.gov/Archives/edgar/data/1178253/000156459021015962/0001564590-21-015962-index.htm,https://www.sec.gov/Archives/edgar/data/1178253/000156459022012199/0001564590-22-012199-index.htm
102,false,,,,,,,,,,
