,https://roic.ai/company/MMX,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,1747638,15525249,25000184,34244069,51681000,57532000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,1213451,8380119,15302159,17378490,23019000,26736000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,534186,7145129,9698024,16865579,28662000,30796000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,0.3057,0.4602,0.3879,0.4925,0.5546,0.5353
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,968263,421194,282520,311750,565840,218126,105356,116625,1483521,3832207,4157030,6691572,4784000,5443000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",968263,421194,282520,311750,565840,218126,105356,116625,1483521,3832207,4157030,6691572,4784000,5443000
9,Other Expenses,-13896,-13984,1565,-10383,689466,83566,-55612,96498,- -,- -,44052,123252,3502000,4005000
10,Operating Expenses,954367,407209,284085,301367,1255306,301692,49744,213123,1483521,3832207,4201082,6814824,8286000,9448000
11,COGS and Expenses,954367,407209,284085,301367,1255306,301692,49744,213123,2696972,12212326,19503241,24193314,31305000,36184000
12,Interest Income ,111870,4924,- -,1187,- -,- -,- -,- -,13392,50895,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,512922,2032995,1841886,2456000,1151000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,1113000,8556000,17520000,17651000,- -,17814000
15,EBITDA,1812916,721192,139091,-435094,-1244004,-301134,-50969,-214287,-5025680,11834728,22509611,12903130,32235000,53533000
16,EBITDA ratio,Infinity,Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2.8757,0.7623,0.9004,0.3768,0.6237,0.9305
17,Operating Income,3891763,1452080,-284085,-301367,-1255306,-301692,-49744,-213123,-949334,2944732,5496942,-4414861,20376000,22658000
