,https://roic.ai/company/BLDE,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,- -,- -,- -,- -,50526000
2,COGS,- -,- -,- -,- -,39721000
3,Gross Profit,- -,- -,- -,- -,10805000
4,Gross Profit Ratio,- -,- -,- -,- -,0.2139
5,Research and Development Exp.,- -,- -,- -,- -,1514000
6,General and Administrative Exp.,- -,- -,- -,678487,29922000
7,Selling and Marketing Exp.,- -,- -,- -,- -,3462000
8,"Selling, General and Administrative Exp.",- -,- -,- -,678487,33384000
9,Other Expenses,- -,- -,- -,- -,- -
10,Operating Expenses,- -,- -,- -,- -,34898000
11,COGS and Expenses,- -,- -,- -,678487,74619000
12,Interest Income ,- -,- -,- -,- -,460000
13,Interest Expense (Gain),- -,- -,- -,- -,- -
14,Depreciation and Amortization,- -,- -,- -,- -,596000
15,EBITDA,- -,- -,-268206000,-678487,-43099000
16,EBITDA ratio,- -,- -,-Infinity,-Infinity,-0.8530
17,Operating Income,- -,- -,-268206000,-678487,-24093000
18,Operating Income ratio,- -,- -,-Infinity,-Infinity,-0.4768
19,Total Other Income Expenses (Gains),- -,- -,268414612,1016670,-19602000
20,Income Before Tax,- -,- -,208612,338183,-43695000
21,Income Before Tax Ratio,- -,- -,Infinity,Infinity,-0.8648
22,Income Tax expense (Gain),- -,- -,208612,210465,-3643000
23,Net Income,- -,- -,784778000,127718,-40052000
24,Net Income ratio,- -,- -,Infinity,Infinity,-0.7927
25,EPS,- -,- -,95.77,0.01,-0.93
26,EPS Diluted,- -,- -,95.77,0.01,-0.93
27,Weighted Average Shares Outstanding,- -,- -,8194073,25210559,42883615
28,Weighted Average Shares Outstanding Diluted,- -,- -,8194073,25210559,42883615
29,SEC Link,undefined,undefined,https://www.sec.gov/Archives/edgar/data/1779128/000110465920036828/0001104659-20-036828-index.htm,https://www.sec.gov/Archives/edgar/data/1779128/000110465921034054/0001104659-21-034054-index.htm,https://www.sec.gov/Archives/edgar/data/1779128/000177912821000025/0001779128-21-000025-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,- -,- -,1305608,846068,6952000
32,Short-Term Investments,- -,- -,- -,276943,297175000
33,Cash and Short-Term Investments,- -,- -,1305608,1123011,304127000
34,Net Receivables,- -,- -,- -,- -,3765000
35,Inventory,- -,- -,- -,- -,- -
