,https://roic.ai/company/OZON,2017,2018,2019,2020
0,INCOME STATEMENT, , , , 
1,Revenue,- -,37220000000,60104000000,104350000000
2,COGS,- -,27662000000,48845000000,72859000000
3,Gross Profit,- -,9558000000,11259000000,31491000000
4,Gross Profit Ratio,- -,0.2568,0.1873,0.3018
5,Research and Development Exp.,- -,2123000000,3520000000,4394000000
6,General and Administrative Exp.,- -,1592000000,1443000000,2456000000
7,Selling and Marketing Exp.,- -,11567000000,23961000000,40691000000
8,"Selling, General and Administrative Exp.",- -,13159000000,25404000000,43147000000
9,Other Expenses,- -,150000000,947000000,1273000000
10,Operating Expenses,- -,15432000000,29871000000,48814000000
11,COGS and Expenses,- -,43094000000,78716000000,121673000000
12,Interest Income ,- -,195000000,179000000,311000000
13,Interest Expense (Gain),- -,66000000,980000000,2115000000
14,Depreciation and Amortization,- -,487000000,2590000000,4963000000
15,EBITDA,- -,-5035000000,-16009000000,-14956000000
16,EBITDA ratio,- -,-0.1353,-0.2664,-0.1433
17,Operating Income,- -,-5874000000,-18612000000,-17323000000
18,Operating Income ratio,- -,-0.1578,-0.3097,-0.1660
19,Total Other Income Expenses (Gains),- -,286000000,-967000000,-4711000000
20,Income Before Tax,- -,-5588000000,-19579000000,-22034000000
21,Income Before Tax Ratio,- -,-0.1501,-0.3258,-0.2112
22,Income Tax expense (Gain),- -,73000000,-216000000,230000000
23,Net Income,- -,-5661000000,-19363000000,-22264000000
24,Net Income ratio,- -,-0.1521,-0.3222,-0.2134
25,EPS,- -,-31.42,-107.95,-109.28
26,EPS Diluted,- -,-31.42,-107.95,-109.28
27,Weighted Average Shares Outstanding,- -,179230154,179230154,203729958
28,Weighted Average Shares Outstanding Diluted,- -,179230154,179230154,203729958
29,SEC Link,undefined,- -,- -,- -
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,- -,2684000000,3003000000,103702000000
32,Short-Term Investments,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,2684000000,3003000000,103702000000
34,Net Receivables,- -,1798000000,4121000000,4313000000
35,Inventory,- -,6339000000,10774000000,15342000000
36,Other Current Assets,- -,791000000,969000000,1451000000
37,Total Current Assets,- -,11612000000,18867000000,124808000000
38,PP&E,- -,4316000000,16445000000,26448000000
39,Goodwill,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -
41,Intangible Assets,- -,207000000,130000000,317000000
42,Investments,- -,1156000000,1139000000,1111000000
43,Tax Assets,- -,207000000,253000000,44000000
44,Other Non-Current Assets,- -,582000000,1601000000,1880000000
45,Total Non-Current Assets,- -,6468000000,19568000000,29800000000
46,Other Assets,- -,- -,- -,- -
47,Total Assets,- -,18080000000,38435000000,154608000000
48,Accounts Payable,- -,11700000000,18725000000,42545000000
49,Short-Term Debt,- -,192000000,5769000000,10348000000
50,Tax Payable,- -,34000000,186000000,816000000
