,https://roic.ai/company/DCPH,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,- -,- -,- -,- -,25000000,42087000,96148000
2,COGS,- -,- -,- -,- -,- -,225000,2932000
3,Gross Profit,- -,- -,- -,- -,- -,41862000,93216000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,0.9947,0.9695
5,Research and Development Exp.,12475000,20163000,39514000,82887000,157610000,198970000,257040000
6,General and Administrative Exp.,5135000,5675000,11421000,21212000,68116000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",5135000,5675000,11421000,21212000,68116000,- -,136253000
9,Other Expenses,- -,- -,- -,- -,- -,114082000,2932000
10,Operating Expenses,17610000,25838000,50935000,104099000,225726000,313052000,396225000
11,COGS and Expenses,17610000,25838000,50935000,104099000,225726000,313277000,396225000
12,Interest Income ,3000,- -,746000,4329000,8537000,4701000,- -
13,Interest Expense (Gain),2209000,106000,95000,84000,67000,- -,- -
14,Depreciation and Amortization,73000,90000,150000,317000,830000,2305000,3014000
15,EBITDA,-17534000,-25744000,-50785000,-103782000,-191359000,-264184000,-296950000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-7.6544,-6.2771,-3.0885
17,Operating Income,-17610000,-25838000,-50935000,-104099000,-200726000,-271190000,-300077000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-8.0290,-6.4436,-3.1210
19,Total Other Income Expenses (Gains),-2206000,-102000,651000,4245000,8470000,4701000,113000
20,Income Before Tax,-19816000,-25940000,-50284000,-99854000,-192256000,-266489000,-299964000
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-7.6902,-6.3319,-3.1198
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -
23,Net Income,-19816000,-25940000,-50284000,-99854000,-192256000,-266489000,-299964000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-7.6902,-6.3319,-3.1198
25,EPS,-0.95,-1.45,-2.99,-2.82,-4.48,-4.78,-5.16
26,EPS Diluted,-0.95,-1.45,-2.99,-2.82,-4.48,-4.78,-5.16
27,Weighted Average Shares Outstanding,20898825,17920207,16792179,35390480,42869058,55780982,58107611
28,Weighted Average Shares Outstanding Diluted,20898825,17920207,16792179,35390480,42869058,55780982,58107611
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1654151/000119312518099539/0001193125-18-099539-index.html,https://www.sec.gov/Archives/edgar/data/1654151/000119312519074791/0001193125-19-074791-index.html,https://www.sec.gov/Archives/edgar/data/1654151/000165415120000003/0001654151-20-000003-index.html,https://www.sec.gov/Archives/edgar/data/1654151/000165415121000003/0001654151-21-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1654151/000165415122000003/0001654151-22-000003-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,25777000,57461000,196754000,293764000,120320000,135897000,87063000
32,Short-Term Investments,- -,- -,- -,- -,459256000,416033000,198571000
33,Cash and Short-Term Investments,25777000,57461000,196754000,293764000,579576000,551930000,285634000
34,Net Receivables,- -,- -,- -,- -,- -,13896000,20595000
35,Inventory,- -,- -,- -,- -,- -,5716000,14125000
36,Other Current Assets,606000,791000,1428000,7273000,13832000,12489000,18660000
37,Total Current Assets,26383000,58252000,198182000,301037000,593408000,584031000,339014000
38,PP&E,387000,514000,838000,13453000,27491000,45924000,45410000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,1069000,1510000,9375000,41950000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,20000,179000,75000,- -,- -,3102000,3110000
45,Total Non-Current Assets,407000,693000,913000,14522000,29001000,58401000,90470000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,26790000,58945000,199095000,315559000,622409000,642432000,429484000
48,Accounts Payable,1600000,1413000,4395000,8308000,19575000,12308000,13130000
49,Short-Term Debt,187000,187000,187000,187000,1747000,2457000,33731000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,1263000,2957000,9233000,14248000,38716000,55227000,49912000
53,Total Current Liabilities,3050000,4557000,13815000,22743000,60038000,69992000,96773000
54,Long-Term Debt,1679000,1481000,1294000,1107000,- -,28764000,27991000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,137368000,192667000,13000,11728000,15904000,- -,- -
58,Total Non-Current Liabilities,139047000,194148000,1307000,12835000,15904000,28764000,27991000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,11347000,17651000,31221000,- -
61,Total Liabilities,142097000,198705000,15122000,35578000,75942000,98756000,124764000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,326000,377000,516000,576000,585000
64,Retained Earnings,-119645000,-145585000,-195869000,-295723000,-487979000,-754468000,-1054432000
65,Other Comprehensive Income/Loss,-710000,-766000,-915000,-1217000,111000,11000,51000
66,Other Total Stockholders Equity,5048000,6591000,380431000,576544000,1033819000,1297557000,1358516000
67,Total Stockholders Equity,-115307000,-139760000,183973000,279981000,546467000,543676000,304720000
68,Total Liabilities And Stockholders Equity,26790000,58945000,199095000,315559000,622409000,642432000,429484000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,26790000,58945000,199095000,315559000,622409000,642432000,429484000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1654151/000119312518099539/0001193125-18-099539-index.html,https://www.sec.gov/Archives/edgar/data/1654151/000119312519074791/0001193125-19-074791-index.html,https://www.sec.gov/Archives/edgar/data/1654151/000165415120000003/0001654151-20-000003-index.html,https://www.sec.gov/Archives/edgar/data/1654151/000165415121000003/0001654151-21-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1654151/000165415122000003/0001654151-22-000003-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,-19816000,-25940000,-50284000,-99854000,-192256000,-266489000,-299964000
74,Depreciation and Amortization,73000,90000,150000,317000,830000,2305000,3014000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,2557000,1487000,4866000,9688000,20410000,37137000,46078000
77,Change in Working Capital,1826000,30362000,130672000,93927000,255076000,-19331000,-271798000
78,Accounts Receivable,- -,- -,- -,- -,- -,-13896000,-6699000
79,Inventory,- -,- -,- -,- -,- -,-3241000,-10155000
80,Accounts Payable,1176000,-187000,2904000,3991000,10862000,-7533000,833000
81,Other Working Capital,23333000,53695000,184367000,278294000,533370000,514039000,242241000
82,Other Non-Cash Items,2091000,-29089000,-122106000,-90861000,-233356000,6695000,281846000
83,Cash Provided by Operating Activities,-13269000,-23090000,-36702000,-86783000,-149296000,-239683000,-240824000
84,CAPEX,-142000,-223000,-406000,-1125000,-4935000,-5316000,-1970000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-1069000,-817142000,-1096769000,-335375000
87,Sales/Maturities of Investments,- -,- -,- -,- -,361996000,1132129000,518200000
88,Other Investing Activites,- -,- -,- -,- -,-441000,-1585000,-4007000
89,Cash Used for Investing Activites,-142000,-223000,-406000,-2194000,-460522000,28459000,176848000
90,Debt Repayment,-186000,-198000,-187000,-187000,-1294000,- -,- -
91,Common Stock Issued,- -,- -,129112000,185933000,432400000,207231000,8589000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,38604000,55195000,47476000,241000,5268000,19570000,6301000
95,Cash Used/Provided by Financing Activities,38418000,54997000,176401000,185987000,436374000,226801000,14890000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,252000
97,Net Change In Cash,25007000,31684000,139293000,97010000,-173444000,15577000,-48834000
98,Cash at the End of Period,25777000,57461000,196754000,293764000,120320000,135897000,87063000
99,Cash at the Beginning of Period,770000,25777000,57461000,196754000,293764000,120320000,135897000
100,Free Cash Flow,-13411000,-23313000,-37108000,-87908000,-154231000,-244999000,-242794000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1654151/000119312518099539/0001193125-18-099539-index.html,https://www.sec.gov/Archives/edgar/data/1654151/000119312519074791/0001193125-19-074791-index.html,https://www.sec.gov/Archives/edgar/data/1654151/000165415120000003/0001654151-20-000003-index.html,https://www.sec.gov/Archives/edgar/data/1654151/000165415121000003/0001654151-21-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1654151/000165415122000003/0001654151-22-000003-index.htm
102,false,,,,,,,
