,https://roic.ai/company/ALT,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , 
1,Revenue,586074,1847712,14643615,32911328,27549978,20993605,24266274,25175887,17912607,10190205,10640660,5230196,10738322,10331168,5801401,8185027,4410
2,COGS,115000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,471074,1847712,14643615,32911328,27549978,20993605,24266274,25175887,17912607,10190205,10640660,- -,- -,- -,- -,8185,- -
4,Gross Profit Ratio,0.8038,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,- -,- -,- -,- -,0.0010,- -
5,Research and Development Exp.,- -,- -,16559670,31812431,30219758,20875536,21219853,19509629,15290142,9319828,5133512,4836035,18406329,18459310,17765553,49774328,74541
6,General and Administrative Exp.,145779,491093,13882023,19397532,22432585,18015761,14311079,11628732,13279186,10911724,6222185,11515071,8457557,9765581,8500783,13209440,15413
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",145779,491093,13882023,19397532,22432585,18015761,14311079,11628732,13279186,10911724,6222185,11515071,8457557,9765581,8500783,13209440,15413
9,Other Expenses,- -,153285,705370,813891,872304,5655865,461073,303916,182487,149958,141604,143437,- -,- -,- -,- -,11370
10,Operating Expenses,145779,644378,31147063,52023854,53524647,44547162,35992005,31442277,28751815,20381510,11497301,16494543,26863886,28224891,26266336,62983768,101324
11,COGS and Expenses,260779,644378,31147063,52023854,53524647,44547162,35992005,31442277,28751815,20381510,11497301,16494543,26863886,28224891,26266336,62983768,- -
12,Interest Income ,586074,1847712,1122565,1225471,269133,6955,16660,17808,2575,- -,- -,- -,47579,226597,843409,322514,203
13,Interest Expense (Gain),- -,- -,2122624,2573406,2837302,5936480,54573,342561,369281,- -,- -,- -,162139,297090,2244,9421,-6
14,Depreciation and Amortization,- -,- -,655210,813891,872304,1020376,461073,303916,182487,149958,141604,143437,139019,302369,387321,298057,- -
15,EBITDA,325295,1203334,-10809469,-33027816,-28570154,-27892421,-3281927,-4078109,-11104839,-9743691,-3237355,205166986,-51762607,-44721487,-20189066,-54154023,-97097
16,EBITDA ratio,0.5550,0.6513,-0.7382,-1.0035,-1.0370,-1.3286,-0.1352,-0.1620,-0.6199,-0.9562,-0.3042,39.2274,-4.8204,-4.3288,-3.4800,-6.6162,-22.0175
17,Operating Income,325295,1203334,-16503448,-35243528,-25974669,-23553557,-11725731,-6266390,-10839208,-10191305,-3402800,-11264347,-52045259,-42834410,-21464935,-54798741,-96914041
18,Operating Income ratio,0.5550,0.6513,-1.1270,-1.0709,-0.9428,-1.1219,-0.4832,-0.2489,-0.6051,-1.0001,-0.3198,-2.1537,-4.8467,-4.1461,-3.7000,-6.6950,-21975.9730
19,Total Other Income Expenses (Gains),- -,- -,3916204,-15954652,-3736922,-5366195,7966071,1541804,-817399,297656,23841,216287896,-18506,-2486536,886304,337240,96816950
20,Income Before Tax,325295,1203334,- -,- -,- -,- -,- -,-4724586,-11656607,-9893649,-3378959,205023549,-52063765,-45320946,-20578631,-54461501,-97091
21,Income Before Tax Ratio,0.5550,0.6513,- -,- -,- -,- -,- -,-0.1877,-0.6507,-0.9709,-0.3176,39.2000,-4.8484,-4.3868,-3.5472,-6.6538,-22.0161
22,Income Tax expense (Gain),48000,187000,- -,- -,- -,- -,- -,195529,61746,61746,61746,11169376,-5638375,-6149794,-58500,-5417024,- -
