,https://roic.ai/company/GMS,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,- -,1570085000,1858182000,2319146000,2511469000,3116032000,3241307000,3298823000
2,COGS,- -,1091114000,1265018000,1560575000,1692893000,2111913000,2178093000,2236120000
3,Gross Profit,- -,478971000,593164000,758571000,818576000,1004119000,1063214000,1062703000
4,Gross Profit Ratio,- -,0.3051,0.3192,0.3271,0.3259,0.3222,0.3280,0.3221
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,585078000,633877000,739460000,784081000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,585078000,633877000,739460000,784081000,763629000
9,Other Expenses,- -,460320000,534250000,69240000,65530000,117459000,116533000,108125000
10,Operating Expenses,- -,460320000,534250000,654318000,699407000,856919000,900614000,871754000
11,COGS and Expenses,- -,1551434000,1799268000,2214893000,2392300000,2968832000,3078707000,3107874000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,36396000,37418000,29360000,31395000,73677000,67718000,53786000
14,Depreciation and Amortization,- -,64165000,64215000,69240000,65530000,117459000,116533000,108125000
15,EBITDA,- -,82238000,126781000,170140000,180779000,261177000,230576000,299005000
16,EBITDA ratio,- -,0.0524,0.0682,0.0734,0.0720,0.0838,0.0711,0.0906
17,Operating Income,- -,18651000,58914000,104253000,119169000,147200000,99526000,190949000
18,Operating Income ratio,- -,0.0119,0.0317,0.0450,0.0474,0.0472,0.0307,0.0579
19,Total Other Income Expenses (Gains),- -,-36974000,-33766000,-32713000,-35315000,-77159000,-53201000,-53855000
20,Income Before Tax,- -,-18323000,25148000,71540000,83854000,70041000,46325000,137094000
21,Income Before Tax Ratio,- -,-0.0117,0.0135,0.0308,0.0334,0.0225,0.0143,0.0416
22,Income Tax expense (Gain),- -,-4526000,12584000,22654000,20883000,14039000,22944000,31534000
23,Net Income,- -,-13797000,12564000,48886000,62971000,56002000,23381000,105560000
24,Net Income ratio,- -,-0.0088,0.0068,0.0211,0.0251,0.0180,0.0072,0.0320
25,EPS,- -,-0.15,0.38,1.21,1.54,1.33,0.56,2.47
26,EPS Diluted,- -,-0.15,0.38,1.19,1.49,1.31,0.55,2.44
27,Weighted Average Shares Outstanding,- -,39450401,32892905,40260405,41015000,40914000,41853000,42765000
28,Weighted Average Shares Outstanding Diluted,- -,39450401,32892905,41070025,42163000,41589000,42504000,43343000
29,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1600438/000104746916014281/0001047469-16-014281-index.htm,https://www.sec.gov/Archives/edgar/data/1600438/000104746917004356/0001047469-17-004356-index.html,https://www.sec.gov/Archives/edgar/data/1600438/000155837018005484/0001558370-18-005484-index.html,https://www.sec.gov/Archives/edgar/data/1600438/000155837019005943/0001558370-19-005943-index.html,https://www.sec.gov/Archives/edgar/data/1600438/000155837020007783/0001558370-20-007783-index.htm,https://www.sec.gov/Archives/edgar/data/1600438/000162828021012863/0001628280-21-012863-index.htm
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,32662000,12284000,19072000,14561000,36437000,47338000,210909000,167012000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,32662000,12284000,19072000,14561000,36437000,47338000,210909000,167012000
34,Net Receivables,198724000,244525000,274926000,334235000,346450000,445771000,405254000,558661000
35,Inventory,135309000,147603000,165766000,200234000,239223000,290829000,299815000,357054000
36,Other Current Assets,23310000,22568000,22926000,6156000,11726000,18368000,14972000,19525000
37,Total Current Assets,390005000,426980000,482690000,555186000,633836000,802306000,930950000,1102252000
38,PP&E,173211000,158824000,153260000,154465000,163582000,282349000,420724000,429739000
39,Goodwill,320736000,342411000,386306000,423644000,427645000,617327000,553073000,576330000
40,Intangible Assets,213619000,215762000,221790000,252293000,222715000,429346000,361917000,350869000
41,Intangible Assets,534355000,558173000,608096000,675937000,650360000,1046673000,914990000,927199000
42,Investments,1823000,213000,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,4676000,8904000,15715000
44,Other Non-Current Assets,22957000,10386000,7815000,7677000,6733000,13550000,13214000,8993000
45,Total Non-Current Assets,732346000,727596000,769171000,838079000,820675000,1347248000,1357832000,1381646000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1122351000,1154576000,1251861000,1393265000,1454511000,2149554000,2288782000,2483898000
48,Accounts Payable,70106000,77834000,91500000,102688000,116168000,173751000,213230000,322965000
49,Short-Term Debt,6085000,23709000,35581000,11530000,16284000,42118000,83241000,79492000
50,Tax Payable,8036000,8767000,16443000,11046000,11687000,26521000,14519000,17457000
51,Deferred Revenue,321000,784000,626000,573000,1402000,- -,- -,- -
52,Other Current Liabilities,66024000,104457000,92868000,95711000,100067000,142706000,131402000,160044000
53,Total Current Liabilities,142536000,206784000,220575000,210502000,233921000,358575000,427873000,562501000
54,Long-Term Debt,532700000,533275000,609029000,583390000,579602000,1099077000,1047279000,1022699000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,89293000,65371000,52250000,26820000,10742000,10226000,12018000,12728000
57,Other Non-Current Liabilities,58388000,51674000,58847000,57947000,50795000,52500000,167631000,63508000
58,Total Non-Current Liabilities,680381000,650320000,720126000,668157000,641139000,1161803000,1226928000,1098935000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,122645000,123764000
61,Total Liabilities,822917000,857104000,940701000,878659000,875060000,1520378000,1654801000,1661436000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,324000,328000,329000,410000,411000,404000,426000,431000
64,Retained Earnings,-18953000,-32750000,-22265000,26621000,89592000,145594000,168975000,274535000
65,Other Comprehensive Income/Loss,- -,10000,-1148000,-884000,441000,3065000,-65082000,4759000
66,Other Total Stockholders Equity,318063000,329884000,334244000,488459000,489007000,480113000,529662000,542737000
67,Total Stockholders Equity,299434000,297472000,311160000,514606000,579451000,629176000,633981000,822462000
68,Total Liabilities And Stockholders Equity,1122351000,1154576000,1251861000,1393265000,1454511000,2149554000,2288782000,2483898000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,1122351000,1154576000,1251861000,1393265000,1454511000,2149554000,2288782000,2483898000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1600438/000104746916014281/0001047469-16-014281-index.htm,https://www.sec.gov/Archives/edgar/data/1600438/000104746917004356/0001047469-17-004356-index.html,https://www.sec.gov/Archives/edgar/data/1600438/000155837018005484/0001558370-18-005484-index.html,https://www.sec.gov/Archives/edgar/data/1600438/000155837019005943/0001558370-19-005943-index.html,https://www.sec.gov/Archives/edgar/data/1600438/000155837020007783/0001558370-20-007783-index.htm,https://www.sec.gov/Archives/edgar/data/1600438/000162828021012863/0001628280-21-012863-index.htm
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,- -,-13797000,12564000,48886000,62971000,56002000,23381000,105560000
74,Depreciation and Amortization,- -,64165000,64215000,69240000,65530000,117459000,116533000,108125000
75,Deferred Income Tax,- -,-19564000,-20499000,-20114000,- -,- -,926000,-10329000
76,Stock Based Compensation,- -,9012000,4733000,3142000,5745000,7643000,8970000,12872000
77,Change in Working Capital,- -,-27273000,41919000,82569000,55231000,43816000,59346000,-71033000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,-4610000,-699000,-18390000,-34774000,5137000,-4579000,-46660000
80,Accounts Payable,- -,-3655000,1055000,-3763000,11365000,26816000,40290000,65446000
81,Other Working Capital,- -,220196000,262115000,344684000,399915000,443731000,503077000,4477000
82,Other Non-Cash Items,- -,35480000,-55185000,-117015000,-100861000,-31305000,93923000,8109000
83,Cash Provided by Operating Activities,- -,48023000,47747000,66708000,88616000,193615000,303079000,153304000
84,CAPEX,- -,-13940000,-7692000,-11083000,-23741000,-18770000,-25193000,-29873000
85,Acquisitions Net,- -,-66695000,-113597000,-150428000,-28333000,-583092000,-24136000,-35976000
86,Purchases of Investments,- -,-4638000,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,3807000,9847000,3995000,2865000,1170000,2229000,2262000
89,Cash Used for Investing Activites,- -,-81466000,-111442000,-157516000,-49209000,-600692000,-47100000,-63587000
90,Debt Repayment,- -,-311353000,-705324000,-1562942000,-1106754000,-1538458000,-972667000,-1010741000
91,Common Stock Issued,- -,- -,- -,156941000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-5827000,- -,- -,-16520000,- -,-4160000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,324418000,781634000,1492298000,1089223000,1973948000,881333000,878279000
95,Cash Used/Provided by Financing Activities,- -,13065000,70483000,86297000,-17531000,418970000,-91334000,-136622000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,-992000,-1074000,3008000
97,Net Change In Cash,- -,-20378000,6788000,-4511000,21876000,10901000,163571000,-43897000
98,Cash at the End of Period,- -,12284000,19072000,14561000,36437000,47338000,210909000,167012000
99,Cash at the Beginning of Period,- -,32662000,12284000,19072000,14561000,36437000,47338000,210909000
100,Free Cash Flow,- -,34083000,40055000,55625000,64875000,174845000,277886000,123431000
101,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1600438/000104746916014281/0001047469-16-014281-index.htm,https://www.sec.gov/Archives/edgar/data/1600438/000104746917004356/0001047469-17-004356-index.html,https://www.sec.gov/Archives/edgar/data/1600438/000155837018005484/0001558370-18-005484-index.html,https://www.sec.gov/Archives/edgar/data/1600438/000155837019005943/0001558370-19-005943-index.html,https://www.sec.gov/Archives/edgar/data/1600438/000155837020007783/0001558370-20-007783-index.htm,https://www.sec.gov/Archives/edgar/data/1600438/000162828021012863/0001628280-21-012863-index.htm
102,false,,,,,,,,
