,https://roic.ai/company/SXC,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,1144986000,1326593000,1538900000,1914100000,1647700000,1472700000,1362700000,1223300000,1331500000,1450900000,1600300000,1333000000,1456000000
2,COGS,860830000,1036944000,1305800000,1577600000,1348000000,1174100000,1098400000,906500000,1020800000,1124500000,1277600000,1048000000,1118800000
3,Gross Profit,284156000,289649000,233100000,336500000,299700000,298600000,264300000,316800000,310700000,326400000,322700000,285000000,337200000
4,Gross Profit Ratio,0.2482,0.2183,0.1515,0.1758,0.1819,0.2028,0.1940,0.2590,0.2333,0.2250,0.2016,0.2138,0.2316
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,88700000,82000000,92400000,75900000,75400000,91300000,79600000,66100000,75800000,81000000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,88700000,82000000,92400000,75900000,75400000,91300000,79600000,66100000,75800000,81000000,61800000
9,Other Expenses,72528000,115389000,76900000,80800000,96000000,96100000,109100000,114200000,128200000,141600000,143800000,1182000000,133900000
10,Operating Expenses,72528000,115389000,165600000,162800000,188400000,172000000,184500000,205500000,207800000,207700000,219600000,1263000000,195700000
11,COGS and Expenses,933358000,1152333000,1471400000,1740400000,1536400000,1346100000,1282900000,1112000000,1228600000,1332200000,1497200000,1263000000,1314500000
12,Interest Income ,24510000,23722000,12900000,400000,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),4170000,4734000,24100000,48200000,52300000,63200000,56700000,53500000,60600000,61400000,60300000,-56000000,42500000
14,Depreciation and Amortization,- -,- -,- -,80800000,96000000,96100000,109100000,114200000,128200000,141600000,143800000,133700000,133900000
15,EBITDA,214586000,190875000,91900000,251200000,180000000,40600000,135000000,190700000,229600000,233800000,-2900000,95700000,238100000
16,EBITDA ratio,0.1874,0.1439,0.0597,0.1312,0.1092,0.0276,0.0991,0.1559,0.1724,0.1611,-0.0018,0.0718,0.1635
17,Operating Income,211628000,174260000,67500000,173700000,111300000,109800000,79800000,96600000,102900000,118700000,-144300000,69700000,141500000
18,Operating Income ratio,0.1848,0.1314,0.0439,0.0907,0.0675,0.0746,0.0586,0.0790,0.0773,0.0818,-0.0902,0.0523,0.0972
19,Total Other Income Expenses (Gains),20340000,18988000,-1400000,-47800000,-52300000,-63200000,-56700000,-28500000,-81000000,-61700000,-58800000,-50700000,-74400000
20,Income Before Tax,231968000,193248000,66100000,125900000,59000000,46600000,23100000,68100000,21900000,57000000,-203100000,19000000,67100000
21,Income Before Tax Ratio,0.2026,0.1457,0.0430,0.0658,0.0358,0.0316,0.0170,0.0557,0.0164,0.0393,-0.1269,0.0143,0.0461
22,Income Tax expense (Gain),20732000,46942000,7200000,23400000,6700000,7400000,-8800000,8600000,-81600000,4600000,-54700000,10000000,18300000
23,Net Income,189684000,139199000,60600000,98800000,25000000,-126100000,-22000000,14400000,122400000,26200000,-152300000,8000000,43400000
24,Net Income ratio,0.1657,0.1049,0.0394,0.0516,0.0152,-0.0856,-0.0161,0.0118,0.0919,0.0181,-0.0952,0.0060,0.0298
25,EPS,2.71,1.99,0.87,1.41,0.36,-1.83,-0.34,0.22,1.90,0.40,-1.98,0.04,0.52
26,EPS Diluted,2.71,1.99,0.87,1.40,0.36,-1.83,-0.34,0.22,1.88,0.40,-1.98,0.04,0.52
27,Weighted Average Shares Outstanding,70000000,70000000,70000000,70000000,69900000,68800000,65000000,64200000,64300000,64700000,76800000,83000000,83000000
28,Weighted Average Shares Outstanding Diluted,70000000,70000000,70000000,70300000,70200000,68800000,65000000,64400000,65200000,65500000,76800000,83200000,83200000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1514705/000119312512089428/0001193125-12-089428-index.html,https://www.sec.gov/Archives/edgar/data/1514705/000119312513071243/0001193125-13-071243-index.html,https://www.sec.gov/Archives/edgar/data/1514705/000144530514000685/sxc-2013123110xk.htm,https://www.sec.gov/Archives/edgar/data/1514705/000162828015000974/sxc-2014123110xk.htm,https://www.sec.gov/Archives/edgar/data/1514705/000162828016011369/0001628280-16-011369-index.html,https://www.sec.gov/Archives/edgar/data/1514705/000151470517000001/0001514705-17-000001-index.html,https://www.sec.gov/Archives/edgar/data/1514705/000151470518000003/0001514705-18-000003-index.html,https://www.sec.gov/Archives/edgar/data/1514705/000151470519000003/0001514705-19-000003-index.html,https://www.sec.gov/Archives/edgar/data/1514705/000151470520000003/0001514705-20-000003-index.html,https://www.sec.gov/Archives/edgar/data/1514705/000151470521000003/0001514705-21-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1514705/000151470522000004/0001514705-22-000004-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,2741000,40092000,127500000,239200000,233600000,139000000,123400000,134000000,120200000,145700000,97100000,48000000,63800000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,2741000,40092000,127500000,239200000,233600000,139000000,123400000,134000000,120200000,145700000,97100000,48000000,63800000
34,Net Receivables,79339000,44606000,66200000,70000000,98100000,81400000,76800000,85800000,73300000,76100000,61700000,46000000,77600000
35,Inventory,106579000,106610000,219700000,160100000,135300000,139100000,122100000,92500000,111000000,110400000,147000000,126000000,127000000
36,Other Current Assets,- -,1140000,600000,2600000,14900000,49300000,3800000,3800000,6700000,2800000,2500000,9000000,3500000
37,Total Current Assets,188659000,192448000,414000000,471900000,481900000,408800000,326100000,316100000,311200000,335000000,308300000,229000000,271900000
38,PP&E,1012771000,1180208000,1445000000,1449100000,1596900000,1466600000,1593400000,1542600000,1501300000,1471100000,1390200000,- -,1287900000
39,Goodwill,- -,- -,9400000,9400000,25400000,11600000,71100000,76900000,76900000,76900000,3400000,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,10400000,190200000,179000000,167900000,156800000,34700000,- -,- -
41,Intangible Assets,- -,- -,9400000,9400000,25400000,22000000,261300000,255900000,244800000,233700000,38100000,37000000,35200000
42,Investments,40976000,40976000,41000000,41000000,97800000,63300000,41000000,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
