,https://roic.ai/company/DCFC,2020,2021
0,INCOME STATEMENT, , 
1,Revenue,46969000,56157000
2,COGS,47943000,58061000
3,Gross Profit,-974000,-1904000
4,Gross Profit Ratio,-0.0207,-0.0339
5,Research and Development Exp.,9548000,10521000
6,General and Administrative Exp.,21783000,28603000
7,Selling and Marketing Exp.,304000,188000
8,"Selling, General and Administrative Exp.",22087000,28791000
9,Other Expenses,112000,1055000
10,Operating Expenses,31747000,40367000
11,COGS and Expenses,79690000,98428000
12,Interest Income ,18000,12000
13,Interest Expense (Gain),1508000,8588000
14,Depreciation and Amortization,1309000,2312000
15,EBITDA,-31627000,-52181000
16,EBITDA ratio,-0.6734,-0.9292
17,Operating Income,-32721000,-42271000
18,Operating Income ratio,-0.6967,-0.7527
19,Total Other Income Expenses (Gains),-1723000,-20810000
20,Income Before Tax,-34444000,-63081000
21,Income Before Tax Ratio,-0.7333,-1.1233
22,Income Tax expense (Gain),- -,11000
23,Net Income,-34444000,-63092000
24,Net Income ratio,-0.7333,-1.1235
25,EPS,-0.22,-0.41
26,EPS Diluted,-0.22,-0.41
27,Weighted Average Shares Outstanding,153099450,153099450
28,Weighted Average Shares Outstanding Diluted,153099450,153099450
29,SEC Link,- -,- -
30,BALANCE SHEET, , 
31,Cash and Cash Equivalents,7702000,6157000
32,Short-Term Investments,- -,- -
33,Cash and Short-Term Investments,7702000,6157000
34,Net Receivables,11899000,14082000
35,Inventory,25202000,36430000
36,Other Current Assets,3441000,5830000
37,Total Current Assets,48244000,62499000
38,PP&E,18905000,24002000
39,Goodwill,- -,- -
40,Intangible Assets,- -,- -
41,Intangible Assets,- -,- -
42,Investments,- -,- -
43,Tax Assets,- -,- -
44,Other Non-Current Assets,749000,1349000
45,Total Non-Current Assets,19654000,25351000
46,Other Assets,- -,- -
47,Total Assets,67898000,87850000
48,Accounts Payable,5553000,10982000
49,Short-Term Debt,2341000,39512000
50,Tax Payable,- -,- -
51,Deferred Revenue,2005000,9198000
52,Other Current Liabilities,7480000,20514000
53,Total Current Liabilities,17379000,80206000
54,Long-Term Debt,49209000,61421000
55,Deferred Revenue,2590000,1618000
56,Deferred Tax Liabilities,- -,- -
57,Other Non-Current Liabilities,2622000,8613000
58,Total Non-Current Liabilities,54421000,71652000
59,Other Liabilities,- -,- -
60,Capital Lease Obligations,16007000,20601000
61,Total Liabilities,71800000,151858000
62,Preferred Stock,- -,- -
63,Common Stock,97192000,97192000
64,Retained Earnings,-100013000,-163105000
65,Other Comprehensive Income/Loss,-3560000,-3696000
66,Other Total Stockholders Equity,2479000,5601000
67,Total Stockholders Equity,-3902000,-64008000
68,Total Liabilities And Stockholders Equity,67898000,87850000
69,Minority Interest,- -,- -
70,Total Liabilities & Equity,67898000,87850000
71,SEC Link,- -,- -
72,CASH FLOW STATEMENT, , 
73,Net Income,-34444000,-63092000
74,Depreciation and Amortization,1309000,2312000
75,Deferred Income Tax,- -,- -
76,Stock Based Compensation,- -,8371000
77,Change in Working Capital,-8257000,4007000
78,Accounts Receivable,-4755000,-1063000
79,Inventory,-2455000,-8771000
80,Accounts Payable,-1085000,6619000
81,Other Working Capital,507000,720000
82,Other Non-Cash Items,956000,15942000
83,Cash Provided by Operating Activities,-40436000,-32460000
84,CAPEX,-1309000,-2572000
85,Acquisitions Net,- -,- -
86,Purchases of Investments,- -,- -
87,Sales/Maturities of Investments,- -,- -
88,Other Investing Activites,- -,- -
89,Cash Used for Investing Activites,-1309000,-2572000
90,Debt Repayment,-12392000,- -
91,Common Stock Issued,23677000,- -
92,Common Stock Repurchased,- -,- -
93,Dividends Paid,- -,- -
94,Other Financing Activites,37017000,33367000
95,Cash Used/Provided by Financing Activities,48302000,33367000
96,Effect of Forex Changes on Cash,-60000,120000
97,Net Change In Cash,6497000,-1545000
98,Cash at the End of Period,7702000,6157000
99,Cash at the Beginning of Period,1205000,7702000
100,Free Cash Flow,-41745000,-35032000
101,SEC Link,- -,- -
102,false,,
