,https://roic.ai/company/RPTX,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,- -,- -,- -,135000,7600000
2,COGS,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -
5,Research and Development Exp.,4401000,9906000,20995000,40091000,90047000
6,General and Administrative Exp.,1774000,2914000,5382000,14346000,26213000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1774000,2914000,5382000,14346000,26213000
9,Other Expenses,- -,- -,- -,- -,- -
10,Operating Expenses,6175000,12820000,26377000,54437000,116260000
11,COGS and Expenses,6175000,12820000,26377000,54437000,116260000
12,Interest Income ,- -,- -,- -,240000,259000
13,Interest Expense (Gain),- -,- -,- -,240000,259000
14,Depreciation and Amortization,102000,407000,605000,897000,1471000
15,EBITDA,-6073000,-12413000,-26484000,-53605000,-106856000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-397.0741,-14.0600
17,Operating Income,-6175000,-12820000,-26377000,-54302000,-108660000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-402.2370,-14.2974
19,Total Other Income Expenses (Gains),-1621000,-1428000,-644000,-440000,74000
20,Income Before Tax,-7796000,-14248000,-27021000,-54742000,-108586000
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-405.4963,-14.2876
22,Income Tax expense (Gain),- -,35000,195000,-1325000,-1678000
23,Net Income,-7796000,-14283000,-27216000,-53417000,-106908000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-395.6815,-14.0668
25,EPS,-0.49,-0.90,-1.64,-2.66,-2.97
26,EPS Diluted,-0.49,-0.90,-1.64,-2.66,-2.97
27,Weighted Average Shares Outstanding,15790631,15790631,15790631,20045602,37122668
28,Weighted Average Shares Outstanding Diluted,15790631,15790631,15790631,20045602,37122668
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1808158/000156459021011011/0001564590-21-011011-index.htm,https://www.sec.gov/Archives/edgar/data/1808158/000095017022002560/0000950170-22-002560-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,- -,10731000,94797000,326184000,334427000
32,Short-Term Investments,- -,- -,- -,7526000,7439000
33,Cash and Short-Term Investments,- -,10731000,94797000,333710000,341866000
34,Net Receivables,- -,1064000,3056000,6164000,3234000
35,Inventory,- -,- -,- -,- -,- -
36,Other Current Assets,- -,253000,719000,6678000,6314000
37,Total Current Assets,- -,12048000,98572000,346552000,351414000
38,PP&E,- -,1652000,3424000,8622000,13095000
39,Goodwill,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,132000,1412000,3620000
44,Other Non-Current Assets,- -,225000,567000,500000,586000
45,Total Non-Current Assets,- -,1877000,4123000,10534000,17301000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,- -,13925000,102695000,357086000,368715000
48,Accounts Payable,- -,1245000,2127000,2251000,2302000
49,Short-Term Debt,- -,- -,625000,697000,1721000
50,Tax Payable,- -,- -,218000,18000,523000
51,Deferred Revenue,- -,- -,- -,2073000,11921000
52,Other Current Liabilities,- -,660000,1494000,5993000,19145000
53,Total Current Liabilities,- -,1905000,4246000,11014000,35089000
