,https://roic.ai/company/EMYB,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,10265000,14573000,19765000,20614000,22221000,23064000,24191000,26423000,28023000,31253000,34267000,35641000,40311000,47506000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44329000,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1.0997,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,3858000,4378000,5170000,7656000,7508000,8562000,8904000,8982000,10102000,11217000,12483000,13002000,14072000,834000
7,Selling and Marketing Exp.,501000,512000,752000,843000,869000,962000,1101000,1333000,1445000,1431000,1686000,1713000,1096000,- -
8,"Selling, General and Administrative Exp.",4359000,4890000,5922000,8499000,8377000,9524000,10005000,10315000,11547000,12648000,14169000,14715000,15168000,834000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13430000,- -
10,Operating Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28598000,834000
11,COGS and Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
12,Interest Income ,20664000,22755000,23893000,23716000,24498000,24665000,26050000,28253000,30322000,34080000,38691000,42862000,44329000,- -
13,Interest Expense (Gain),11060000,9228000,5946000,4994000,4107000,2940000,2999000,3135000,3898000,4305000,6137000,9329000,6413000,4012000
14,Depreciation and Amortization,407000,475000,- -,- -,613000,612000,643000,605000,730000,671000,774000,829000,760000,- -
15,EBITDA,13311000,13639000,12542000,12222000,12688000,11216000,12526000,14097000,14626000,16810000,19274000,23531000,22904000,24864000
16,EBITDA ratio,1.2967,0.9359,0.6346,0.5929,0.5710,0.4863,0.5178,0.5335,0.5219,0.5379,0.5625,0.6602,0.5682,0.5234
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
20,Income Before Tax,1844000,3936000,6596000,7228000,7968000,7664000,8884000,10357000,9998000,11834000,12363000,13373000,15731000,20852000
21,Income Before Tax Ratio,0.1796,0.2701,0.3337,0.3506,0.3586,0.3323,0.3672,0.3920,0.3568,0.3787,0.3608,0.3752,0.3902,0.4389
22,Income Tax expense (Gain),658000,1203000,1934000,2084000,2225000,2141000,2479000,2948000,2850000,4534000,2284000,2494000,2921000,4066000
23,Net Income,1186000,2733000,4662000,5144000,5743000,5523000,6405000,7409000,7148000,7300000,10079000,10879000,12810000,16786000
24,Net Income ratio,0.1155,0.1875,0.2359,0.2495,0.2584,0.2395,0.2648,0.2804,0.2551,0.2336,0.2941,0.3052,0.3178,0.3533
25,EPS,0.17,0.40,0.67,0.72,0.80,0.76,0.87,1.01,0.96,0.98,1.35,1.46,1.71,2.24
26,EPS Diluted,0.16,0.38,0.65,0.71,0.80,0.76,0.87,1.00,0.96,0.97,1.34,1.44,1.70,2.22
27,Weighted Average Shares Outstanding,6888942,6907047,7005406,7164565,7195353,7261293,7337176,7371000,7415372,7448931,7472893,7475262,7469952,7508105
28,Weighted Average Shares Outstanding Diluted,7325606,7278316,7226109,7205853,7216684,7270003,7364161,7405000,7465345,7509355,7527965,7544101,7523595,7545469
