,https://roic.ai/company/WMC,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,- -,- -,-1737000,136487000,10681000,-793000,105331000,49983000,90496000,-289382000,-29608000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,14260000,18760000,22483000,4939000,4017000,3628000,4091000,6090000,6079000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,14260000,18760000,22483000,4939000,4017000,3628000,4091000,6090000,6079000
9,Other Expenses,- -,14000000,17740000,22240000,27517000,49061000,61983000,157372000,166909000,-3235000,490000
10,Operating Expenses,- -,14000000,32000000,41000000,50000000,54000000,66000000,161000000,171000000,2855000,- -
11,COGS and Expenses,- -,- -,14260000,- -,- -,- -,- -,- -,- -,2855000,- -
12,Interest Income ,- -,- -,125419000,150543000,152704000,123756000,124291000,209362000,217264000,178028000,164071000
13,Interest Expense (Gain),- -,- -,18019000,22263000,27605000,32430000,48373000,138240000,150274000,132591000,136910000
14,Depreciation and Amortization,- -,16725000,- -,- -,- -,- -,- -,- -,- -,5141000,- -
15,EBITDA,- -,- -,-9836000,122976000,18121000,10571000,136957000,165358000,222030000,-190226000,88056000
16,EBITDA ratio,- -,- -,5.6626,0.9010,1.6966,-13.3304,1.3003,3.3083,2.4535,0.6574,-2.9741
17,Operating Income,- -,- -,-14260000,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,8.2096,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,- -,-13595000,- -,- -,- -,- -,- -,- -,- -,- -
20,Income Before Tax,- -,- -,-27855000,100713000,-9484000,-21859000,88584000,27118000,71756000,-327950000,-49766000
21,Income Before Tax Ratio,- -,- -,16.0363,0.7379,-0.8879,27.5649,0.8410,0.5425,0.7929,1.1333,1.6808
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,3156000,3487000,709000,1057000,396000,99000
23,Net Income,- -,- -,-27855000,100713000,-9484000,-25015000,85097000,26409000,70699000,-328354000,-48953000
24,Net Income ratio,- -,- -,16.0363,0.7379,-0.8879,31.5448,0.8079,0.5284,0.7812,1.1347,1.6534
25,EPS,- -,- -,-1.19,2.67,-0.23,-0.61,2.03,0.61,1.37,-5.75,-0.81
26,EPS Diluted,- -,- -,-1.19,2.67,-0.23,-0.61,2.03,0.61,1.37,-5.75,-0.81
27,Weighted Average Shares Outstanding,- -,23407563,23407563,37720225,41919801,41008197,41919704,43293443,51605109,57103652,60747137
28,Weighted Average Shares Outstanding Diluted,- -,23407563,23407563,37720225,41919801,41008197,41919704,43293443,51605109,57103652,60747137
29,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/1465885/000104746913004105/0001047469-13-004105-index.htm,https://www.sec.gov/Archives/edgar/data/1465885/000104746914002513/0001047469-14-002513-index.htm,https://www.sec.gov/Archives/edgar/data/1465885/000104746915002266/0001047469-15-002266-index.htm,https://www.sec.gov/Archives/edgar/data/1465885/000104746916011025/0001047469-16-011025-index.htm,https://www.sec.gov/Archives/edgar/data/1465885/000162828017002234/0001628280-17-002234-index.htm,https://www.sec.gov/Archives/edgar/data/1465885/000162828018003838/0001628280-18-003838-index.htm,https://www.sec.gov/Archives/edgar/data/1465885/000162828019002555/0001628280-19-002555-index.htm,https://www.sec.gov/Archives/edgar/data/1465885/000162828020003097/0001628280-20-003097-index.htm,https://www.sec.gov/Archives/edgar/data/1465885/000162828021004112/0001628280-21-004112-index.htm,https://www.sec.gov/Archives/edgar/data/1465885/000162828022005321/0001628280-22-005321-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,1000,56292000,48525000,47222000,24711000,46172000,48024000,21987000,31331000,31613000,40193000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1000,56292000,48525000,47222000,24711000,46172000,48024000,21987000,31331000,31613000,40193000
34,Net Receivables,- -,71503000,68041000,374903000,272756000,295997000,108198000,104527000,138291000,46471000,38521000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,-71503000,2977972000,-374903000,-272756000,-295997000,-108198000,-104527000,-138291000,-46471000,- -
37,Total Current Assets,- -,56292000,3094538000,47222000,24711000,46172000,48024000,21987000,31331000,31613000,- -
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,5212581000,2853587000,4385723000,2851127000,2576517000,3358823000,1816741000,2237249000,239924000,185947000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,12730000,-2853248000,449023000,516104000,- -,466456000,2636708000,2872978000,- -,- -
45,Total Non-Current Assets,- -,5225311000,339000,4834746000,3367231000,- -,3825279000,4453449000,5110227000,- -,- -
46,Other Assets,1000,- -,- -,- -,- -,3109844000,- -,- -,- -,3304396000,2825700000
47,Total Assets,1000,5281603000,3094877000,4881968000,3391942000,3156016000,3873303000,4475436000,5141558000,3336009000,2825700000
48,Accounts Payable,- -,7549000,13887000,19367000,22509000,19296000,11440000,12390000,18189000,14692000,15114000
49,Short-Term Debt,- -,- -,2579067000,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,-6561000,91829000,390977000,283605000,539935000,38054000,103473000,78767000,2434006000,- -
53,Total Current Liabilities,- -,988000,2684783000,410344000,306114000,559231000,49494000,115863000,96956000,2448698000,- -
54,Long-Term Debt,- -,- -,2579067000,- -,11000000,10659000,119688000,1059686000,1674753000,2616809000,1982656000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,3875721000,2585667000,2155644000,3251686000,2818837000,2824801000,- -,- -
58,Total Non-Current Liabilities,- -,- -,2579067000,3875721000,2596667000,2166303000,3371374000,3878523000,4499554000,2616809000,1982656000
59,Other Liabilities,- -,4840768000,- -,- -,5193468000,- -,- -,- -,- -,632197000,4604027000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,4841756000,2684783000,4286065000,2902915000,2725534000,3420868000,3994386000,4596510000,3080895000,2621371000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,241000,268000,417000,419000,419000,419000,481000,535000,609000,609000
64,Retained Earnings,- -,17513000,-134317000,-138130000,-252054000,-334979000,-301912000,-331282000,-325301000,-660377000,-723981000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,1000,505454000,544143000,760925000,763283000,765042000,767531000,833810000,889227000,914880000,916481000
67,Total Stockholders Equity,1000,523208000,410094000,623212000,511648000,430482000,466038000,503009000,564461000,255112000,193109000
68,Total Liabilities And Stockholders Equity,- -,5364964000,3094877000,4909277000,3414563000,3156016000,3886906000,4497395000,5160971000,3336007000,2814480000
69,Minority Interest,1000,-83361000,- -,-27309000,-22621000,- -,-13603000,-21959000,-19413000,2000,11220000
70,Total Liabilities & Equity,1000,5281603000,3094877000,4881968000,3391942000,3156016000,3873303000,4475436000,5141558000,3336009000,2825700000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1465885/000104746913004105/0001047469-13-004105-index.htm,https://www.sec.gov/Archives/edgar/data/1465885/000104746914002513/0001047469-14-002513-index.htm,https://www.sec.gov/Archives/edgar/data/1465885/000104746915002266/0001047469-15-002266-index.htm,https://www.sec.gov/Archives/edgar/data/1465885/000104746916011025/0001047469-16-011025-index.htm,https://www.sec.gov/Archives/edgar/data/1465885/000162828017002234/0001628280-17-002234-index.htm,https://www.sec.gov/Archives/edgar/data/1465885/000162828018003838/0001628280-18-003838-index.htm,https://www.sec.gov/Archives/edgar/data/1465885/000162828019002555/0001628280-19-002555-index.htm,https://www.sec.gov/Archives/edgar/data/1465885/000162828020003097/0001628280-20-003097-index.htm,https://www.sec.gov/Archives/edgar/data/1465885/000162828021004112/0001628280-21-004112-index.htm,https://www.sec.gov/Archives/edgar/data/1465885/000162828022005321/0001628280-22-005321-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,- -,- -,-27855000,100713000,-9484000,-25015000,85097000,26409000,70699000,-328354000,-48953000
74,Depreciation and Amortization,- -,16725000,- -,- -,- -,- -,- -,- -,- -,5141000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,1087000,2203000,2301000,1699000,981000,265000,564000,699000,618000
77,Change in Working Capital,- -,-8100000,354451000,-772877000,81719000,-231656000,511589000,-92406000,28251000,-2351460000,-5140000
78,Accounts Receivable,- -,-17361000,5095000,-15043000,4688000,3809000,5209000,-8356000,2546000,5845000,1399000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,988000,6275000,5542000,2842000,-2913000,-7993000,773000,5950000,-3494000,361000
81,Other Working Capital,- -,55304000,409755000,-363122000,-281403000,-513059000,-1470000,-93876000,-65625000,-2417085000,-8539000
82,Other Non-Cash Items,- -,24875000,-148342000,777335000,59362000,266518000,-538285000,172784000,-151754000,2526326000,55540000
83,Cash Provided by Operating Activities,- -,33500000,179341000,107374000,133898000,11546000,59382000,107052000,-52240000,-147648000,2065000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,1033000,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-7798967000,-214207000,-77325000,-60664000,-17951000,-26152000,-2854000,-13974000,-16458000,- -
87,Sales/Maturities of Investments,- -,- -,295293000,71357000,51064000,61805000,18662000,7348000,7977000,35432000,16704000
88,Other Investing Activites,- -,2582767000,1921325000,-1305710000,1369455000,460777000,-1195082000,-721369000,-472506000,2657658000,495952000
89,Cash Used for Investing Activites,- -,-5216200000,2002411000,-1311678000,1359855000,504631000,-1202572000,-716875000,-478503000,2676632000,512656000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-68000,-344612000,-1292141000,-601680000,-820226000
91,Common Stock Issued,- -,461530000,- -,215033000,- -,- -,- -,68057000,52714000,22357000,- -
92,Common Stock Repurchased,- -,507100000,- -,- -,- -,- -,-1094000,-1733000,- -,-578000,-1087000
93,Dividends Paid,- -,-12700000,-93879000,-94735000,-109272000,-69168000,-51981000,-53699000,-62864000,-19633000,-14598000
94,Other Financing Activites,- -,4282970000,-2095640000,1082703000,-1407167000,-425631000,1198186000,971581000,1839518000,-1905984000,253898000
95,Cash Used/Provided by Financing Activities,- -,5238900000,-2189519000,1203001000,-1516439000,-494799000,1145043000,639594000,537227000,-2505518000,-582013000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,175000,83000,-1000,- -,- -,- -,- -
97,Net Change In Cash,- -,56299000,-7767000,-1303000,-22511000,21461000,1852000,29771000,6484000,23466000,-67292000
98,Cash at the End of Period,- -,56300000,48525000,47222000,24711000,46172000,48024000,77795000,84279000,107745000,40453000
99,Cash at the Beginning of Period,- -,1000,56292000,48525000,47222000,24711000,46172000,48024000,77795000,84279000,107745000
100,Free Cash Flow,- -,33500000,179341000,107374000,133898000,11546000,59382000,107052000,-52240000,-147648000,2065000
101,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/1465885/000104746913004105/0001047469-13-004105-index.htm,https://www.sec.gov/Archives/edgar/data/1465885/000104746914002513/0001047469-14-002513-index.htm,https://www.sec.gov/Archives/edgar/data/1465885/000104746915002266/0001047469-15-002266-index.htm,https://www.sec.gov/Archives/edgar/data/1465885/000104746916011025/0001047469-16-011025-index.htm,https://www.sec.gov/Archives/edgar/data/1465885/000162828017002234/0001628280-17-002234-index.htm,https://www.sec.gov/Archives/edgar/data/1465885/000162828018003838/0001628280-18-003838-index.htm,https://www.sec.gov/Archives/edgar/data/1465885/000162828019002555/0001628280-19-002555-index.htm,https://www.sec.gov/Archives/edgar/data/1465885/000162828020003097/0001628280-20-003097-index.htm,https://www.sec.gov/Archives/edgar/data/1465885/000162828021004112/0001628280-21-004112-index.htm,https://www.sec.gov/Archives/edgar/data/1465885/000162828022005321/0001628280-22-005321-index.htm
102,false,,,,,,,,,,,
