,https://roic.ai/company/OSH,2018,2019,2020,2021
0,INCOME STATEMENT, , , , 
1,Revenue,317938000,556604000,882765000,1432600000
2,COGS,313524000,526851000,805355000,1402700000
3,Gross Profit,4414000,29753000,77410000,29900000
4,Gross Profit Ratio,0.0139,0.0535,0.0877,0.0209
5,Research and Development Exp.,- -,- -,- -,- -
6,General and Administrative Exp.,50799000,79592000,185495000,306700000
7,Selling and Marketing Exp.,25470000,46189000,64211000,119400000
8,"Selling, General and Administrative Exp.",76269000,125781000,249706000,426100000
9,Other Expenses,4182000,7848000,11225000,17800000
10,Operating Expenses,80451000,133629000,260931000,443900000
11,COGS and Expenses,393975000,660480000,1066286000,1846600000
12,Interest Income ,- -,- -,- -,- -
13,Interest Expense (Gain),3688000,5651000,8712000,2500000
14,Depreciation and Amortization,4182000,7848000,11225000,17800000
15,EBITDA,-71674000,-94363000,-168053000,-391000000
16,EBITDA ratio,-0.2254,-0.1695,-0.1904,-0.2729
17,Operating Income,-76037000,-103876000,-183521000,-414000000
18,Operating Income ratio,-0.2392,-0.1866,-0.2079,-0.2890
19,Total Other Income Expenses (Gains),-3678000,-5567000,-8556000,-2500000
20,Income Before Tax,-79715000,-109443000,-192077000,-416500000
21,Income Before Tax Ratio,-0.2507,-0.1966,-0.2176,-0.2907
22,Income Tax expense (Gain),- -,- -,- -,-1900000
23,Net Income,-79544000,-107862000,-187990000,-409400000
24,Net Income ratio,-0.2502,-0.1938,-0.2130,-0.2858
25,EPS,-0.58,-0.65,-0.55,-1.84
26,EPS Diluted,-0.58,-0.65,-0.55,-1.84
27,Weighted Average Shares Outstanding,204098479,204098479,218825324,222553237
28,Weighted Average Shares Outstanding Diluted,204098479,204098479,218825324,222553237
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1564406/000156459021011903/0001564590-21-011903-index.htm,https://www.sec.gov/Archives/edgar/data/1564406/000156459022007694/0001564590-22-007694-index.htm
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,64741000,33987000,409309000,104700000
32,Short-Term Investments,- -,- -,- -,671100000
33,Cash and Short-Term Investments,64741000,33987000,409309000,775800000
34,Net Receivables,81755000,168158000,256500000,562500000
35,Inventory,- -,- -,- -,- -
36,Other Current Assets,12645000,17676000,21368000,29700000
37,Total Current Assets,159141000,219821000,687177000,1368000000
38,PP&E,- -,- -,78791000,302500000
39,Goodwill,9471000,9634000,9634000,152900000
40,Intangible Assets,3739000,3352000,2965000,10800000
41,Intangible Assets,13210000,12986000,12599000,163700000
42,Investments,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -
44,Other Non-Current Assets,47007000,69015000,2411000,6900000
45,Total Non-Current Assets,60217000,82001000,93801000,473100000
46,Other Assets,- -,- -,- -,- -
47,Total Assets,219358000,301822000,780978000,1841100000
48,Accounts Payable,5368000,10757000,8816000,22100000
49,Short-Term Debt,3408000,18507000,18507000,- -
50,Tax Payable,- -,- -,- -,- -
51,Deferred Revenue,2380000,3785000,4290000,- -
52,Other Current Liabilities,85357000,206455000,283876000,642000000
53,Total Current Liabilities,96513000,239504000,315489000,664100000
54,Long-Term Debt,27130000,62840000,- -,1065600000
55,Deferred Revenue,4642000,5039000,12818000,- -
56,Deferred Tax Liabilities,- -,- -,3475000,- -
57,Other Non-Current Liabilities,13744000,18678000,25978000,55400000
58,Total Non-Current Liabilities,45516000,86557000,42271000,1121000000
59,Other Liabilities,- -,- -,- -,- -
60,Capital Lease Obligations,6270000,6155000,5605000,164200000
61,Total Liabilities,142029000,326061000,357760000,1785100000
62,Preferred Stock,319139000,320639000,- -,- -
63,Common Stock,463000,4192000,241000,200000
64,Retained Earnings,-246493000,-354355000,-555843000,-965300000
65,Other Comprehensive Income/Loss,-9689000,-16710000,- -,-1400000
66,Other Total Stockholders Equity,9689000,16710000,971781000,1017900000
67,Total Stockholders Equity,73109000,-29524000,416179000,51400000
68,Total Liabilities And Stockholders Equity,215138000,296537000,773939000,1836500000
69,Minority Interest,4220000,5285000,7039000,4600000
70,Total Liabilities & Equity,219358000,301822000,780978000,1841100000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1564406/000156459021011903/0001564590-21-011903-index.htm,https://www.sec.gov/Archives/edgar/data/1564406/000156459022007694/0001564590-22-007694-index.htm
72,CASH FLOW STATEMENT, , , , 
73,Net Income,-79544000,-107862000,-187990000,-409400000
74,Depreciation and Amortization,4182000,7848000,11225000,17800000
75,Deferred Income Tax,- -,- -,- -,-1900000
76,Stock Based Compensation,479000,3729000,77431000,161400000
77,Change in Working Capital,-1467000,-82311000,391371000,16500000
78,Accounts Receivable,-36343000,-86403000,-88342000,-304700000
79,Inventory,- -,- -,- -,- -
80,Accounts Payable,1271000,3782000,-3291000,5700000
81,Other Working Capital,62628000,-19683000,371688000,9700000
82,Other Non-Cash Items,985000,123050000,-369256000,18400000
83,Cash Provided by Operating Activities,-75365000,-55546000,-77219000,-197200000
84,CAPEX,-26046000,-27705000,-20883000,-81300000
85,Acquisitions Net,-14000000,- -,- -,-129000000
86,Purchases of Investments,- -,- -,- -,-870700000
87,Sales/Maturities of Investments,- -,- -,- -,193600000
88,Other Investing Activites,291000,-166000,-750000,- -
89,Cash Used for Investing Activites,-39755000,-27871000,-21633000,-887400000
90,Debt Repayment,- -,- -,-85779000,- -
91,Common Stock Issued,- -,- -,377343000,- -
92,Common Stock Repurchased,-31844000,- -,-19393000,- -
93,Dividends Paid,- -,- -,- -,- -
94,Other Financing Activites,189095000,53603000,204153000,785300000
95,Cash Used/Provided by Financing Activities,157251000,53603000,476324000,785300000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -
97,Net Change In Cash,42131000,-29814000,377472000,-299300000
98,Cash at the End of Period,72067000,42253000,419725000,120400000
99,Cash at the Beginning of Period,29936000,72067000,42253000,419700000
100,Free Cash Flow,-101411000,-83251000,-98102000,-278500000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1564406/000156459021011903/0001564590-21-011903-index.htm,https://www.sec.gov/Archives/edgar/data/1564406/000156459022007694/0001564590-22-007694-index.htm
102,false,,,,
