,https://roic.ai/company/AG,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,1577,16,- -,- -,700000,3732985,43345370,41500000,52200000,117200000,245514000,264992000,251300000,272028000,247719000,300091000,252288000,308420000,368835000,366676000,587225000
2,COGS,- -,- -,- -,- -,1000000,3400255,27253661,28500000,30100000,48400000,66787000,122967000,115700000,241864000,238988000,250888000,159265000,322429000,300976000,261622000,485806000
3,Gross Profit,- -,- -,- -,- -,-300000,332730,16091710,13000000,22100000,68800000,178727000,142025000,135600000,30164000,8731000,49203000,93023000,-14009000,67859000,105054000,101419000
4,Gross Profit Ratio,- -,- -,- -,- -,-0.4286,0.0891,0.3712,0.3133,0.4234,0.5870,0.7280,0.5360,0.5396,0.1109,0.0352,0.1640,0.3687,-0.0454,0.1840,0.2865,0.1727
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,48235,40673,82247,1222484,1900000,- -,11437536,10700000,10400000,15300000,21917000,31845000,38800000,26016000,21146000,21391000,24756000,27948000,33489000,31232000,37683000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",48235,40673,82247,1222484,1900000,- -,11437536,10700000,10400000,15300000,21917000,31845000,38800000,26016000,21146000,21391000,24756000,27948000,33489000,31232000,37683000
9,Other Expenses,2238,- -,- -,- -,200940,5792219,9015293,-1473057,2952775,33447,16358000,1047000,1112000,1498000,1619000,1589000,1967000,2350000,11625000,25823000,16954000
10,Operating Expenses,50472,40673,- -,- -,2100940,5792219,20452829,9226943,13352775,15333447,38275000,32892000,39912000,27514000,22765000,22980000,26723000,30298000,45114000,57055000,54637000
11,COGS and Expenses,50472,40673,82247,1223351,3900000,9192474,47706490,45000000,48600000,72700000,105062000,155859000,221500000,269378000,261753000,273868000,323284000,352727000,346090000,318677000,540443000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,499000,822000,499000,853000,183000,1360000,3691000,6344000,1075000,1075000
