,https://roic.ai/company/ZYXI,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,89486,12414,- -,160883,- -,- -,- -,1256676,2258808,2556809,8048252,11763558,18681242,24085000,34148000,39666000,21684000,11117000,11641000,13313000,23432000,31917000,45472000,80122000,130301000
2,COGS,44585,6207,- -,232369,- -,- -,- -,237644,309627,303719,729046,2239634,3793348,5202000,7371000,8770000,8140000,7612000,4937000,3517000,4819000,6038000,8814000,17417000,27321000
3,Gross Profit,44901,6207,- -,-71486,- -,- -,- -,1019032,1949181,2253090,7319206,9523924,14887894,18883000,26777000,30896000,13544000,3505000,6704000,9796000,18613000,25879000,36658000,62705000,102980000
4,Gross Profit Ratio,0.5018,0.5000,- -,-0.4443,- -,- -,- -,0.8109,0.8629,0.8812,0.9094,0.8096,0.7969,0.7840,0.7841,0.7789,0.6246,0.3153,0.5759,0.7358,0.7943,0.8108,0.8062,0.7826,0.7903
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,1161955,37354,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11576000,18323000,26324000
7,Selling and Marketing Exp.,- -,- -,- -,351161,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14016000,34133000,54290000
8,"Selling, General and Administrative Exp.",47403,17183,25280,1513116,37354,22720,35521,1907830,1877975,2326793,4003432,9214748,11074076,17322000,23676000,28159000,21144000,11397000,9185000,9156000,9669000,15509000,25592000,52456000,80614000
9,Other Expenses,71271,366,122,13261,- -,- -,- -,80028,64798,94009,153442,- -,- -,- -,- -,- -,- -,-2195000,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,118674,17549,25402,1526377,37354,22720,35521,1987858,1942773,2420802,4156874,9214748,11074076,17322000,23676000,28159000,21144000,9202000,9185000,9156000,9669000,15509000,25592000,52456000,80614000
11,COGS and Expenses,163259,23756,25402,1758746,37354,22720,35521,2225502,2252400,2724521,4885920,11454382,14867424,22524000,31047000,36929000,29284000,16814000,14122000,12673000,14488000,21547000,34406000,69873000,107935000
12,Interest Income ,270,352,- -,- -,- -,- -,- -,1361,234,1370,24,424,4129,5000,1000,3000,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),17752,5850,- -,30293,91418,72032,110097,38742,37320,155492,244840,65620,164990,215000,460000,435000,607000,536000,503000,352000,1450000,154000,5000,19000,95000
14,Depreciation and Amortization,389,366,122,13621,- -,- -,- -,44782,64798,245028,370254,436491,677407,774000,806000,912000,839000,660000,424000,435000,286000,448000,778000,1572000,2286000
15,EBITDA,-73114,-10624,-25280,-1584602,-37354,-22720,-35521,-925192,210074,80150,3536444,773063,4665709,2324000,3910000,3688000,-6645000,-5052000,-2041000,871000,9230000,10818000,12724000,11744000,24652000
16,EBITDA ratio,-0.8170,-0.8558,-Infinity,-9.8494,-Infinity,-Infinity,-Infinity,-0.7362,0.0930,0.0313,0.4394,0.0657,0.2498,0.0965,0.1145,0.0930,-0.3064,-0.4544,-0.1753,0.0654,0.3939,0.3389,0.2798,0.1466,0.1892
17,Operating Income,-73773,-11342,-25402,-1598223,-37354,-22720,-35521,-968826,6408,-167712,3162332,309176,3813818,1561000,3101000,2737000,-7600000,-5697000,-2481000,640000,8944000,10370000,11066000,10249000,22366000
18,Operating Income ratio,-0.8244,-0.9136,-Infinity,-9.9341,-Infinity,-Infinity,-Infinity,-0.7709,0.0028,-0.0656,0.3929,0.0263,0.2042,0.0648,0.0908,0.0690,-0.3505,-0.5125,-0.2131,0.0481,0.3817,0.3249,0.2434,0.1279,0.1716
19,Total Other Income Expenses (Gains),-17482,-5498,- -,-30293,-91418,- -,- -,-39890,101548,-152658,-240935,-38224,9494,-226000,-457000,-401000,-530000,-583000,-510000,-556000,-1450000,-154000,875000,-96000,-95000
20,Income Before Tax,-91255,-16840,-25402,-1628516,-128772,- -,- -,-1008716,107956,-320370,2921397,270952,3823312,1335000,2644000,2336000,-8130000,-6280000,-2991000,84000,7494000,10216000,11941000,10153000,22271000
21,Income Before Tax Ratio,-1.0198,-1.3565,-Infinity,-10.1224,-Infinity,- -,- -,-0.8027,0.0478,-0.1253,0.3630,0.0230,0.2047,0.0554,0.0774,0.0589,-0.3749,-0.5649,-0.2569,0.0063,0.3198,0.3201,0.2626,0.1267,0.1709
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,-32838,- -,- -,790000,160000,1441000,985000,1080000,788000,-790000,-49000,-57000,15000,129000,664000,2449000,1079000,5168000
23,Net Income,-91255,-16840,-25402,-1628516,-128772,-94752,-145618,-975878,107956,-320370,2131350,110952,2382312,350000,1564000,1553000,-7301000,-6199000,-2911000,69000,7365000,9552000,9492000,9074000,17103000
24,Net Income ratio,-1.0198,-1.3565,-Infinity,-10.1224,-Infinity,-Infinity,-Infinity,-0.7766,0.0478,-0.1253,0.2648,0.0094,0.1275,0.0145,0.0458,0.0392,-0.3367,-0.5576,-0.2501,0.0052,0.3143,0.2993,0.2087,0.1133,0.1313
25,EPS,-21.77,-2.10,-18.07,-1044.55,-0.01,-0.64,-0.01,-0.04,0.00,-0.01,0.07,0.00,0.07,0.01,0.05,0.05,-0.21,-0.18,-0.08,0.00,0.21,0.26,0.26,0.25,0.45
26,EPS Diluted,-21.77,-2.10,-18.07,-1044.55,-0.01,-0.64,-0.01,-0.04,0.00,-0.01,0.06,0.00,0.07,0.01,0.05,0.05,-0.21,-0.18,-0.08,0.00,0.20,0.25,0.25,0.24,0.44
27,Weighted Average Shares Outstanding,4192,8015,1406,1559,1571,148531,23652707,25001639,25428746,26429686,29255563,31887512,33134734,33600677,33825118,34168670,34267216,34328439,34398357,34398357,35371600,35753300,35682900,37255900,38316999
28,Weighted Average Shares Outstanding Diluted,4192,8015,1406,1559,1571,148531,23652707,25001639,25856612,26429686,31300991,33686316,33411796,33775210,34076116,34344338,34267216,34328439,34398357,34398357,36515600,37447300,37359300,38437300,39196999
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/846475/000107997406000494/0001079974-06-000494-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/846475/000107997409000246/0001079974-09-000246-index.htm,https://www.sec.gov/Archives/edgar/data/846475/000107997410000166/0001079974-10-000166-index.htm,https://www.sec.gov/Archives/edgar/data/846475/000095012311029673/0000950123-11-029673-index.htm,https://www.sec.gov/Archives/edgar/data/846475/000119312512135657/0001193125-12-135657-index.htm,https://www.sec.gov/Archives/edgar/data/846475/000119312513131595/0001193125-13-131595-index.htm,https://www.sec.gov/Archives/edgar/data/846475/000156459014001093/0001564590-14-001093-index.htm,https://www.sec.gov/Archives/edgar/data/846475/000156459015002292/0001564590-15-002292-index.htm,https://www.sec.gov/Archives/edgar/data/846475/000156459016015749/0001564590-16-015749-index.htm,https://www.sec.gov/Archives/edgar/data/846475/000114420417020703/0001144204-17-020703-index.htm,https://www.sec.gov/Archives/edgar/data/846475/000114420418011824/0001144204-18-011824-index.htm,https://www.sec.gov/Archives/edgar/data/846475/000114420419010229/0001144204-19-010229-index.htm,https://www.sec.gov/Archives/edgar/data/846475/000110465920026322/0001104659-20-026322-index.htm,https://www.sec.gov/Archives/edgar/data/846475/000110465921028312/0001104659-21-028312-index.htm,https://www.sec.gov/Archives/edgar/data/846475/000141057822000453/0001410578-22-000453-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,3078,18733,265197,- -,45287,862645,602000,789000,823000,323000,63000,8000,247000,5565000,10128000,14040000,39173000,42612000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,3078,18733,265197,- -,45287,862645,602000,789000,823000,323000,63000,8000,247000,5565000,10128000,14040000,39173000,42612000
34,Net Receivables,- -,- -,- -,1305,- -,- -,- -,190090,702478,1337873,4475932,5614996,5039023,7309000,10984000,12224000,7926000,3457000,2426000,3028000,2185000,2791000,5833000,13837000,28632000
35,Inventory,- -,- -,- -,26553,- -,- -,- -,319699,386119,561013,937694,2209600,2033790,3641000,4556000,6160000,5002000,1935000,305000,107000,423000,837000,2378000,8635000,10756000
36,Other Current Assets,- -,122,- -,- -,- -,- -,- -,33767,46845,265968,808035,746069,1080327,980000,1719000,2155000,453000,250000,27000,40000,198000,570000,315000,1378000,689000
37,Total Current Assets,- -,122,- -,27858,- -,- -,- -,546634,1154175,2430051,6221661,8615952,9015785,12532000,18048000,21362000,13704000,5705000,2766000,3422000,8371000,14326000,22566000,63023000,82689000
38,PP&E,- -,- -,- -,118406,- -,- -,- -,228495,179782,327353,932222,2096394,2717924,2906000,3422000,3851000,2891000,1276000,801000,580000,188000,819000,4689000,7918000,18524000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,251000,- -,- -,- -,- -,- -,- -,- -,- -,20401000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,203000,178000,131000,74000,34000,- -,- -,- -,- -,9975000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,454000,178000,131000,74000,34000,- -,- -,- -,- -,30376000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,725000,513000,566000,711000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,14472,10940,10940,21287,71650,196250,263000,315000,269000,448000,2000,55000,55000,370000,314000,509000,668000,974000
45,Total Non-Current Assets,- -,- -,- -,118406,- -,- -,- -,242967,190722,338293,953509,2168044,2914174,3169000,3737000,4574000,3517000,1409000,930000,669000,558000,1858000,5711000,9152000,50585000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,122,- -,146264,- -,- -,- -,789601,1344897,2768344,7175170,10783996,11929959,15701000,21785000,25936000,17221000,7114000,3696000,4091000,8929000,16184000,28277000,72175000,133274000
48,Accounts Payable,- -,- -,- -,111853,5305,4025,10093,180158,282045,342452,817429,1037205,1126543,1313000,2189000,2057000,2743000,2544000,2477000,2879000,2243000,1552000,2133000,4717000,4739000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,146546,160705,516930,388956,1955738,95216,1363000,3420000,6050000,5912000,4520000,4111000,2889000,354000,- -,1256000,2128000,8310000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,905343,1103000,1567000,1430000,96000,79000,79000,94000,- -,688000,52000,280000,2296000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,221000,- -,371000,- -,112000,89000,54000,880000,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,614464,928737,957194,881013,155400,122136,272589,2242991,2473688,2119171,2655000,4139000,3615000,1029000,881000,862000,1923000,538000,4803000,1808000,3272000,9822000
53,Total Current Liabilities,- -,- -,- -,726317,934042,961219,891106,482104,564886,1131971,3449376,5466631,3340930,5552000,9748000,12093000,9684000,8057000,7539000,7745000,4015000,6355000,5197000,10117000,22871000
54,Long-Term Debt,- -,- -,- -,14891,14500,- -,- -,104604,339242,293919,39253,115287,20070,327000,258000,114000,150000,311000,216000,136000,- -,- -,3427000,5203000,26778000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1452000,- -,785000,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,55000,69000,428000,- -,188000,483000,786000,72000,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1082663,- -,1156000,103000,2467000,13000,12000,12000,12000,531000,- -,- -,9700000
58,Total Non-Current Liabilities,- -,- -,- -,14891,14500,- -,- -,104604,339242,348919,108253,543287,1102733,1967000,1897000,1788000,2689000,324000,228000,148000,12000,531000,3427000,5203000,36478000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,44882,29227,12189,- -,- -,420000,- -,- -,- -,- -,325000,254000,123000,- -,4683000,7331000,19150000
61,Total Liabilities,- -,- -,- -,741208,948542,961219,891106,586708,904128,1480890,3557629,6009918,4443663,7519000,11645000,13881000,12373000,8381000,7767000,7893000,4027000,6886000,8624000,15320000,59349000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,132440,25424,14175,5405,373,545,23070,23199,26311,26831,29871,30497,31000,31000,31000,31000,31000,31000,31000,33000,34000,34000,36000,41000
64,Retained Earnings,- -,-1838132,-1863534,-1625930,-3142775,- -,-3392970,-1155410,-1047454,-1174716,956634,1067586,3098921,3449000,5013000,6566000,-735000,-6934000,-9845000,-9776000,-2411000,4871000,14356000,23430000,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,-13621,- -,- -,- -,- -,-164864,-258874,- -,-778430,-1455837,-837000,-1193000,-1751000,-2057000,-1260000,-1631000,-1943000,-1014000,-1462000,-2063000,- -,- -
66,Other Total Stockholders Equity,- -,1705814,- -,1030432,2188828,- -,- -,- -,1629888,2694733,- -,4455051,5812715,5539000,6289000,7204000,7643000,6962000,7463000,7975000,8383000,5944000,7415000,33389000,73884000
67,Total Stockholders Equity,- -,122,- -,-594944,-948542,-961219,-891106,202893,440769,1287454,3617541,4774078,7486296,8182000,10140000,12050000,4882000,-1201000,-3982000,-3713000,4991000,9387000,19742000,56855000,73925000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,146264,- -,- -,- -,789601,1344897,2768344,7175170,10783996,11929959,15701000,21785000,25931000,17255000,7180000,3785000,4180000,9018000,16273000,28366000,72175000,133274000
69,Minority Interest,- -,122,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000,-34000,-66000,-89000,-89000,-89000,-89000,-89000,- -,- -
70,Total Liabilities & Equity,- -,122,- -,146264,- -,- -,- -,789601,1344897,2768344,7175170,10783996,11929959,15701000,21785000,25936000,17221000,7114000,3696000,4091000,8929000,16184000,28277000,72175000,133274000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/846475/000107997406000494/0001079974-06-000494-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/846475/000107997409000246/0001079974-09-000246-index.htm,https://www.sec.gov/Archives/edgar/data/846475/000107997410000166/0001079974-10-000166-index.htm,https://www.sec.gov/Archives/edgar/data/846475/000095012311029673/0000950123-11-029673-index.htm,https://www.sec.gov/Archives/edgar/data/846475/000119312512135657/0001193125-12-135657-index.htm,https://www.sec.gov/Archives/edgar/data/846475/000119312513131595/0001193125-13-131595-index.htm,https://www.sec.gov/Archives/edgar/data/846475/000156459014001093/0001564590-14-001093-index.htm,https://www.sec.gov/Archives/edgar/data/846475/000156459015002292/0001564590-15-002292-index.htm,https://www.sec.gov/Archives/edgar/data/846475/000156459016015749/0001564590-16-015749-index.htm,https://www.sec.gov/Archives/edgar/data/846475/000114420417020703/0001144204-17-020703-index.htm,https://www.sec.gov/Archives/edgar/data/846475/000114420418011824/0001144204-18-011824-index.htm,https://www.sec.gov/Archives/edgar/data/846475/000114420419010229/0001144204-19-010229-index.htm,https://www.sec.gov/Archives/edgar/data/846475/000110465920026322/0001104659-20-026322-index.htm,https://www.sec.gov/Archives/edgar/data/846475/000110465921028312/0001104659-21-028312-index.htm,https://www.sec.gov/Archives/edgar/data/846475/000141057822000453/0001410578-22-000453-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-91255,-16840,-25402,-1628516,-128772,-94752,-145618,-975878,107956,-320370,2131350,110952,2382312,350000,1564000,1553000,-7301000,-6199000,-2911000,69000,7365000,9552000,9492000,9074000,17103000
74,Depreciation and Amortization,389,366,122,13621,- -,- -,- -,44782,64798,245028,370254,436491,677407,774000,806000,912000,839000,660000,424000,435000,286000,448000,778000,1572000,2286000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-651000,-100000,-105000,-281000,-295000,-168000,1069000,- -,- -,- -,- -,-725000,212000,-54000,-146000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,169225,267000,346000,166000,133000,93000,130000,200000,66000,370000,820000,2681000,1630000
77,Change in Working Capital,54582,-8387,-122,-698459,-235583,-27177,70113,955636,524759,708791,1474205,377036,2525534,1305145,1320000,969000,-5249000,-6372000,-2421000,450000,8679000,3615000,9398000,35537000,-15215000
