,https://roic.ai/company/VVPR,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,- -,- -,32250000,33647000,39036000,48710000,40411000
2,COGS,- -,- -,4977000,28524000,32726000,40885000,34084000
3,Gross Profit,- -,- -,27273000,5123000,6310000,7825000,6327000
4,Gross Profit Ratio,- -,- -,0.8457,0.1523,0.1616,0.1606,0.1566
5,Research and Development Exp.,- -,- -,- -,- -,- -,-1589000,- -
6,General and Administrative Exp.,- -,279000,9316000,12814000,7685000,5479000,11133000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,279000,9316000,12814000,7685000,5479000,11133000
9,Other Expenses,- -,- -,651000,1260000,1420000,3355000,745000
10,Operating Expenses,- -,279000,9967000,14074000,9105000,7245000,11878000
11,COGS and Expenses,- -,279000,14944000,42598000,41831000,48130000,45962000
12,Interest Income ,- -,29072,13000,9000,4000,- -,995000
13,Interest Expense (Gain),- -,1000,580000,2928000,2873000,2933000,3306000
14,Depreciation and Amortization,- -,- -,651000,1260000,1420000,1766000,2256000
15,EBITDA,- -,-279000,12150000,-29949000,-6373000,309000,-2511000
16,EBITDA ratio,- -,-Infinity,0.3767,-0.8901,-0.1633,0.0063,-0.0621
17,Operating Income,- -,-443417,17306000,-7595000,-5410000,2169000,-4782000
18,Operating Income ratio,- -,-Infinity,0.5366,-0.2257,-0.1386,0.0445,-0.1183
19,Total Other Income Expenses (Gains),- -,162417,-6387000,-26542000,-5256000,-6559000,-3291000
20,Income Before Tax,- -,-281000,10919000,-34137000,-10666000,-4390000,-8073000
21,Income Before Tax Ratio,- -,-Infinity,0.3386,-1.0146,-0.2732,-0.0901,-0.1998
22,Income Tax expense (Gain),- -,- -,5338000,-6258000,557000,713000,-115000
23,Net Income,- -,-281000,5581000,-27879000,-11223000,-5103000,-7958000
24,Net Income ratio,- -,-Infinity,0.1731,-0.8286,-0.2875,-0.1048,-0.1969
25,EPS,- -,-0.13,0.73,-2.06,-0.83,-0.38,-0.59
26,EPS Diluted,- -,-0.13,0.73,-2.06,-0.83,-0.38,-0.59
27,Weighted Average Shares Outstanding,2831577,2831577,13428000,13557000,13557000,13557000,13557000
28,Weighted Average Shares Outstanding Diluted,2831577,2831577,13428000,13557000,13557000,13557000,13557000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,29319,10092,10970000,1939000,4522000,2824000,8604000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,29319,10092,10970000,1939000,4522000,2824000,8604000
34,Net Receivables,- -,- -,19844000,7903000,10399000,12124000,9875000
35,Inventory,- -,- -,- -,- -,- -,- -,1537000
36,Other Current Assets,- -,46785,- -,11436000,14849000,5525000,3977000
37,Total Current Assets,29319,56877,30814000,21278000,29770000,20473000,23993000
38,PP&E,- -,- -,2163000,1915000,1205000,2486000,2575000
39,Goodwill,- -,- -,- -,- -,- -,21919000,25794000
40,Intangible Assets,- -,- -,46320000,36402000,32366000,7930000,21655000
41,Intangible Assets,- -,- -,46320000,36402000,32366000,29849000,47449000
42,Investments,- -,- -,18060000,14147000,- -,8225000,- -
43,Tax Assets,- -,- -,3776000,26000,1000,- -,2495000
