,https://roic.ai/company/WLMS,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,416591000,723504000,586805000,263778000,233692000,311400000,357400000,403400000,556800000,540610000,520144000,456839000,462828000,484218000,538545000,589003000,418588000,186982000,188918000,245787000,269051000,304946000
2,COGS,341377000,591958000,455339000,192281000,194435000,292500000,320500000,330900000,456800000,460185000,417623000,379722000,379774000,399214000,447715000,536406000,369599000,169056000,160177000,214887000,235035000,273520000
3,Gross Profit,75214000,131546000,131466000,71497000,39257000,18900000,36900000,72500000,100000000,80425000,102521000,77117000,83054000,85004000,90830000,52597000,48989000,17926000,28741000,30900000,34016000,31426000
4,Gross Profit Ratio,0.1805,0.1818,0.2240,0.2710,0.1680,0.0607,0.1032,0.1797,0.1796,0.1488,0.1971,0.1688,0.1794,0.1755,0.1687,0.0893,0.1170,0.0959,0.1521,0.1257,0.1264,0.1031
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,45400000,45200000,50400000,- -,- -,- -,- -,57041000,55892000,69471000,57194000,35984000,30875000,24583000,23721000,23409000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9319000,9814000,12130000,9544000,2313000,1649000,587000,569000,950000
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,45400000,45200000,50400000,- -,- -,- -,- -,66360000,65706000,81601000,66738000,38297000,32524000,25170000,24290000,24359000
9,Other Expenses,32606000,42049000,42212000,38083000,39162000,47800000,35200000,33100000,23600000,46664000,52872000,50578000,62608000,6599000,8535000,8602000,7154000,1673000,857000,301000,187000,190000
10,Operating Expenses,32606000,42049000,42212000,38083000,39162000,47800000,80600000,78300000,74000000,46664000,52872000,50578000,62608000,72959000,74241000,90203000,73892000,39970000,33381000,25471000,24477000,24549000
11,COGS and Expenses,373983000,634007000,497551000,230364000,233597000,340300000,401100000,409200000,530800000,506849000,470495000,430300000,442382000,472173000,521956000,626609000,443491000,209026000,193558000,240358000,259512000,298069000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),12175000,15896000,4210000,1504000,1281000,-4800000,-9600000,-10100000,-11700000,9667000,7052000,1119000,1563000,- -,- -,- -,- -,14626000,8990000,6032000,6083000,5001000
14,Depreciation and Amortization,-4311000,6684000,4625000,4202000,4276000,- -,- -,7170000,5320000,5396000,7240000,2355000,3697000,8034000,10271000,11072000,9417000,1673000,857000,301000,187000,190000
15,EBITDA,-1353000,120311000,93879000,37616000,5303000,-38200000,-62200000,-12730000,31620000,48232000,61337000,42794000,23885000,19382000,25437000,-74603000,-32494000,-46591000,-19988000,8852000,9193000,8686000
16,EBITDA ratio,-0.0032,0.1663,0.1600,0.1426,0.0227,-0.1227,-0.1740,-0.0316,0.0568,0.0892,0.1179,0.0937,0.0516,0.0400,0.0472,-0.1267,-0.0776,-0.2492,-0.1058,0.0360,0.0342,0.0285
17,Operating Income,4494000,89497000,89254000,33414000,95000,-28800000,-43700000,-5800000,26000000,33761000,49649000,26539000,20446000,12045000,16589000,-82193000,-33715000,-22044000,-10329000,5429000,9539000,6877000
18,Operating Income ratio,0.0108,0.1237,0.1521,0.1267,0.0004,-0.0925,-0.1223,-0.0144,0.0467,0.0624,0.0955,0.0581,0.0442,0.0249,0.0308,-0.1395,-0.0805,-0.1179,-0.0547,0.0221,0.0355,0.0226
19,Total Other Income Expenses (Gains),-12175000,-15896000,-4210000,-1504000,-1281000,-4800000,-9600000,-10000000,-11700000,-10697000,-5575000,-1021000,-1845000,-976000,-1422000,-3482000,-8196000,-14342000,-7861000,-4074000,-6171000,-3382000
20,Income Before Tax,-7681000,73601000,85044000,31910000,-1186000,-33600000,-53300000,-15800000,14300000,23064000,44074000,25518000,18601000,11069000,15167000,-85675000,-41911000,-36386000,-18190000,1355000,3368000,3495000
21,Income Before Tax Ratio,-0.0184,0.1017,0.1449,0.1210,-0.0051,-0.1079,-0.1491,-0.0392,0.0257,0.0427,0.0847,0.0559,0.0402,0.0229,0.0282,-0.1455,-0.1001,-0.1946,-0.0963,0.0055,0.0125,0.0115
22,Income Tax expense (Gain),-433000,-22905000,33167000,12126000,451000,2900000,3500000,5100000,3200000,5282000,6410000,-37538000,1031000,-437000,4017000,-6946000,1702000,-6367000,-4400000,333000,1385000,752000
23,Net Income,-8784000,120636000,51877000,19784000,-705000,-36300000,-56100000,-14900000,34800000,27887000,40635000,76858000,17594000,11785000,11149000,-78729000,-43613000,-56523000,-25435000,2186000,1538000,2743000
24,Net Income ratio,-0.0211,0.1667,0.0884,0.0750,-0.0030,-0.1166,-0.1570,-0.0369,0.0625,0.0516,0.0781,0.1682,0.0380,0.0243,0.0207,-0.1337,-0.1042,-0.3023,-0.1346,0.0089,0.0057,0.0090
25,EPS,-7.92,27.00,10.62,3.96,-0.18,-6.85,-10.58,-2.81,2.38,1.86,2.66,4.81,1.04,0.70,0.66,-4.59,-2.51,-3.20,-1.40,0.12,0.06,0.12
26,EPS Diluted,-7.92,25.83,10.26,3.87,-0.18,-6.85,-10.58,-2.81,2.38,1.79,2.49,4.51,1.02,0.69,0.65,-4.59,-2.51,-3.20,-1.40,0.12,0.06,0.11
27,Weighted Average Shares Outstanding,1534912,4358847,4884328,4946772,5132772,5300000,5300000,5300000,14600000,14971921,15253579,15981223,16885259,16919981,17005589,17151810,17348286,17657372,18207661,18700107,23676458,23676458
28,Weighted Average Shares Outstanding Diluted,1534912,4556287,5070661,5101217,5132772,5300000,5300000,5300000,14600000,15591440,16321203,17024382,17247723,17045095,17034922,17151810,17348286,17657372,18207661,18922012,24217997,24217997
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1136294/000095013403004607/0000950134-03-004607-index.htm,https://www.sec.gov/Archives/edgar/data/1136294/000119312504037062/0001193125-04-037062-index.htm,https://www.sec.gov/Archives/edgar/data/1136294/000119312505051183/0001193125-05-051183-index.htm,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1136294/000119312511072780/0001193125-11-072780-index.htm,https://www.sec.gov/Archives/edgar/data/1136294/000119312512115120/0001193125-12-115120-index.htm,https://www.sec.gov/Archives/edgar/data/1136294/000119312513096305/0001193125-13-096305-index.htm,https://www.sec.gov/Archives/edgar/data/1136294/000104746914002524/0001047469-14-002524-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1136294/000104746917001628/0001047469-17-001628-index.htm,https://www.sec.gov/Archives/edgar/data/1136294/000155837017007033/0001558370-17-007033-index.htm,https://www.sec.gov/Archives/edgar/data/1136294/000155837018003010/0001558370-18-003010-index.htm,https://www.sec.gov/Archives/edgar/data/1136294/000155837019002713/0001558370-19-002713-index.htm,https://www.sec.gov/Archives/edgar/data/1136294/000155837020003280/0001558370-20-003280-index.htm,https://www.sec.gov/Archives/edgar/data/1136294/000155837021003832/0001558370-21-003832-index.htm,https://www.sec.gov/Archives/edgar/data/1136294/000155837022003770/0001558370-22-003770-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,59042000,51315000,24331000,- -,- -,- -,57600000,103220000,55474000,99491000,31951000,13942000,8810000,22239000,2805000,4594000,4475000,7350000,8716000,2482000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,59042000,51315000,24331000,- -,- -,- -,57600000,103220000,55474000,99491000,31951000,13942000,8810000,22239000,2805000,4594000,4475000,7350000,8716000,2482000
34,Net Receivables,- -,- -,82844000,42582000,40260000,- -,- -,- -,111900000,62267000,58892000,83253000,140632000,135288000,173269000,138568000,111976000,37547000,30942000,45443000,35518000,35204000
35,Inventory,- -,- -,4403000,3013000,8857000,- -,- -,- -,5000000,4659000,5077000,5354000,6808000,6476000,8279000,6299000,3928000,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,86756000,62004000,104072000,- -,- -,- -,10300000,41657000,38996000,12444000,10711000,11636000,11957000,4929000,39533000,43490000,2202000,2951000,6925000,24200000
37,Total Current Assets,- -,- -,233045000,158914000,177520000,- -,- -,- -,184800000,211803000,158439000,200542000,190102000,167342000,202315000,172035000,158242000,85631000,37619000,55744000,51159000,61886000
38,PP&E,- -,- -,25469000,20740000,22983000,- -,- -,- -,12600000,12945000,12234000,9492000,15598000,20644000,22847000,33822000,12596000,1712000,335000,6016000,2338000,653000
39,Goodwill,- -,- -,45000000,45000000,45000000,- -,- -,- -,80400000,80400000,80400000,74018000,89346000,109930000,106884000,50319000,36456000,35400000,35400000,35400000,35400000,35400000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,16500000,14749000,12989000,12500000,36985000,60594000,59070000,44003000,24801000,12500000,12500000,12500000,12500000,12500000
41,Intangible Assets,- -,- -,45000000,45000000,45000000,- -,- -,- -,96900000,95149000,93389000,86518000,126331000,170524000,165954000,94322000,61257000,47900000,47900000,47900000,47900000,47900000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2265000,1737000,- -
43,Tax Assets,- -,- -,64803000,55094000,51030000,- -,- -,- -,11100000,- -,- -,14448000,11282000,7630000,2590000,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,1387000,1248000,70361000,- -,- -,- -,-4400000,6114000,1663000,5150000,1505000,1258000,841000,851000,747000,573000,1650000,541000,1946000,5712000
45,Total Non-Current Assets,- -,- -,136659000,122082000,189374000,- -,- -,- -,116200000,114208000,107286000,115608000,154716000,200056000,192232000,128995000,74600000,50185000,49885000,56722000,53921000,54265000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,369704000,280996000,366894000,- -,- -,- -,301000000,326011000,265725000,316150000,344818000,367398000,394547000,301030000,232842000,135816000,87504000,112466000,105080000,116151000
48,Accounts Payable,- -,- -,29773000,18974000,27852000,- -,- -,- -,12300000,28913000,16351000,10377000,24749000,19664000,18856000,16861000,19076000,5080000,2953000,16618000,6210000,12168000
49,Short-Term Debt,- -,- -,5423000,14000,16854000,- -,- -,- -,- -,40692000,- -,- -,- -,- -,- -,- -,- -,- -,3799000,14534000,2764000,676000
50,Tax Payable,- -,- -,9471000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1673000,1524000,- -,1486000,2013000,170000,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,3006000,- -,- -,- -,- -,- -,- -,- -,7049000,3278000,2699000,2529000,- -
52,Other Current Liabilities,- -,- -,149891000,80785000,75015000,- -,- -,- -,102800000,72990000,48204000,41216000,45391000,39299000,43251000,62340000,58266000,41835000,17017000,13081000,21950000,28183000
53,Total Current Liabilities,- -,- -,185087000,99773000,119721000,- -,- -,- -,115100000,145601000,64555000,51593000,70140000,58963000,62107000,79201000,77342000,53964000,27047000,46932000,33453000,41027000
54,Long-Term Debt,- -,- -,54650000,24949000,78750000,- -,- -,- -,65300000,24633000,- -,- -,- -,23000000,45000000,70000000,45341000,24304000,32978000,35597000,31739000,30328000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1795000,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,14768000,17748000,- -,- -,- -,- -,14982000,15499000,9921000,2682000,2198000,2440000,2442000
57,Other Non-Current Liabilities,- -,- -,- -,1888000,4374000,- -,- -,- -,15400000,4531000,4366000,5903000,4680000,5844000,6237000,6080000,5731000,5500000,6584000,5575000,5553000,5897000
58,Total Non-Current Liabilities,- -,- -,54650000,26837000,83124000,- -,- -,- -,80700000,43932000,22114000,5903000,4680000,28844000,51237000,91062000,68366000,39725000,42244000,43370000,39732000,38667000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5924000,2373000,- -
61,Total Liabilities,- -,- -,239737000,126610000,202845000,- -,- -,- -,195800000,189533000,86669000,57496000,74820000,87807000,113344000,170263000,145708000,93689000,69291000,90302000,73185000,79694000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,440000,452000,468000,- -,- -,- -,1300000,1374000,1403000,168000,179000,183000,184000,186000,188000,193000,197000,198000,256000,261000
64,Retained Earnings,- -,- -,157026000,176810000,176105000,- -,- -,- -,43100000,70994000,111629000,188487000,201358000,206898000,211756000,63371000,19764000,-36962000,-62397000,-60211000,-58673000,-55930000
65,Other Comprehensive Income/Loss,- -,- -,822000,2616000,3636000,- -,- -,- -,-21700000,2655000,1382000,508000,1812000,3473000,-2252000,-7618000,-9513000,- -,- -,222000,28000,-95000
66,Other Total Stockholders Equity,- -,- -,-28321000,-25492000,-17789000,- -,- -,- -,82600000,61455000,64642000,69491000,66649000,69037000,- -,74828000,76695000,78896000,80413000,81955000,90284000,92221000
67,Total Stockholders Equity,- -,- -,129967000,154386000,162420000,- -,- -,- -,105300000,136478000,179056000,258654000,269998000,279591000,281203000,130767000,87134000,42127000,18213000,22164000,31895000,36457000
68,Total Liabilities And Stockholders Equity,- -,- -,369704000,280996000,365265000,- -,- -,- -,301100000,326011000,265725000,316150000,344818000,367398000,394547000,301030000,232842000,135816000,87504000,112466000,105080000,116151000
69,Minority Interest,- -,- -,- -,- -,1629000,- -,- -,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,369704000,280996000,366894000,- -,- -,- -,301000000,326011000,265725000,316150000,344818000,367398000,394547000,301030000,232842000,135816000,87504000,112466000,105080000,116151000
71,SEC Link,undefined,undefined,https://www.sec.gov/Archives/edgar/data/1136294/000095013403004607/0000950134-03-004607-index.htm,https://www.sec.gov/Archives/edgar/data/1136294/000119312504037062/0001193125-04-037062-index.htm,https://www.sec.gov/Archives/edgar/data/1136294/000119312505051183/0001193125-05-051183-index.htm,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1136294/000119312511072780/0001193125-11-072780-index.htm,https://www.sec.gov/Archives/edgar/data/1136294/000119312512115120/0001193125-12-115120-index.htm,https://www.sec.gov/Archives/edgar/data/1136294/000119312513096305/0001193125-13-096305-index.htm,https://www.sec.gov/Archives/edgar/data/1136294/000104746914002524/0001047469-14-002524-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1136294/000104746917001628/0001047469-17-001628-index.htm,https://www.sec.gov/Archives/edgar/data/1136294/000155837017007033/0001558370-17-007033-index.htm,https://www.sec.gov/Archives/edgar/data/1136294/000155837018003010/0001558370-18-003010-index.htm,https://www.sec.gov/Archives/edgar/data/1136294/000155837019002713/0001558370-19-002713-index.htm,https://www.sec.gov/Archives/edgar/data/1136294/000155837020003280/0001558370-20-003280-index.htm,https://www.sec.gov/Archives/edgar/data/1136294/000155837021003832/0001558370-21-003832-index.htm,https://www.sec.gov/Archives/edgar/data/1136294/000155837022003770/0001558370-22-003770-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-8784000,120636000,51877000,19784000,-705000,- -,- -,-14900000,34800000,27887000,40635000,76858000,17594000,11785000,11149000,-78729000,-43613000,-56523000,-25435000,2186000,1538000,2743000
74,Depreciation and Amortization,-4311000,6684000,4625000,4202000,4276000,- -,- -,7170000,5320000,5396000,7240000,2355000,3697000,8034000,- -,11072000,9417000,1673000,857000,301000,187000,190000
75,Deferred Income Tax,- -,-1799000,3334000,11464000,10803000,- -,- -,3730000,1050000,3803000,2518000,-34806000,-851000,-2051000,3331000,-8670000,516000,-6270000,-7239000,-484000,242000,2000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,1791000,3846000,6402000,7035000,4145000,3081000,3744000,2434000,2716000,1179000,1698000,2546000,3045000
77,Change in Working Capital,27726000,- -,- -,47958000,11183000,- -,- -,-1342000,11901000,-3498000,27682000,55065000,-28987000,-11583000,31829000,-47374000,-11934000,-49233000,-21095000,-1760000,8894000,3153000
78,Accounts Receivable,-13661000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-34643000,9338000,- -,20132000,- -,-5414000,3426000,-15675000,11107000,-7826000
79,Inventory,-235000,- -,- -,- -,- -,- -,- -,- -,- -,304000,-418000,-768000,-736000,572000,-2035000,467000,1878000,- -,- -,- -,- -,- -
80,Accounts Payable,19179000,- -,- -,- -,- -,- -,- -,- -,- -,16576000,-12562000,-5522000,11251000,-11037000,-131000,2029000,2849000,-4595000,-2127000,13697000,-10438000,5860000
81,Other Working Capital,- -,- -,- -,47958000,59141000,- -,- -,57799000,69700000,66202000,93884000,148949000,119962000,108379000,140208000,92834000,80900000,31667000,10572000,8812000,17706000,20859000
82,Other Non-Cash Items,10158000,-113503000,43660000,-59027000,-36561000,- -,- -,6512000,-172541000,28009000,-62246000,-74713000,-7138000,9408000,-59208000,126738000,39557000,76727000,37311000,-5780000,-2226000,-13630000
83,Cash Provided by Operating Activities,24789000,12018000,103496000,24381000,-11004000,- -,- -,1170000,-119470000,63388000,19675000,31161000,-8650000,19738000,-9818000,6781000,-3623000,-30910000,-14422000,-3839000,11181000,-4497000
84,CAPEX,-2187000,-11559000,-1341000,-411000,-1942000,- -,- -,-1570000,-3600000,-2793000,-1680000,-3837000,-5848000,-5196000,-7632000,-7316000,-872000,-112000,-137000,-242000,-117000,-538000
85,Acquisitions Net,-17653000,- -,- -,- -,-8710000,- -,- -,- -,- -,2747000,- -,19369000,-38368000,-49145000,-725000,-7629000,4847000,20206000,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,606000,-74327000,- -,- -,13280000,200000,1045000,999000,1025000,15000,71000,293000,-314000,5534000,44991000,319000,- -,- -,- -
89,Cash Used for Investing Activites,-19840000,-11559000,-1341000,195000,-84979000,- -,- -,11710000,-3400000,999000,-681000,16557000,-44201000,-54270000,-8064000,-15259000,9509000,65085000,182000,-242000,-117000,-538000
90,Debt Repayment,-31950000,-369665000,-169556000,- -,-27728000,- -,- -,- -,- -,-44675000,-65325000,- -,-15000000,-42000000,-77000000,-33000000,-141076000,-202353000,-74655000,-216908000,-307580000,-289055000
