,https://roic.ai/company/PRFT,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,825800,3154936,19963759,20416643,20464376,30191922,58847673,96997201,160926000,218148000,231488000,188150000,214952000,262439000,327096000,373325000,456692000,473621000,486982000,485261000,498375000,565527000,612133000,761027000
2,COGS,400977,1518439,9660794,11879224,11553311,18816509,40028300,64578784,107170000,142458000,157986000,139817000,152185000,181305000,223693000,250226000,307357000,318411000,335702000,323748000,319831000,354213000,380723000,468813000
3,Gross Profit,424823,1636497,10302965,8537419,8911065,11375413,18819373,32418417,53756000,75690000,73502000,48333000,62767000,81134000,103403000,123099000,149335000,155210000,151280000,161513000,178544000,211314000,231410000,292214000
4,Gross Profit Ratio,0.5144,0.5187,0.5161,0.4182,0.4354,0.3768,0.3198,0.3342,0.3340,0.3470,0.3175,0.2569,0.2920,0.3092,0.3161,0.3297,0.3270,0.3277,0.3106,0.3328,0.3583,0.3737,0.3780,0.3840
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,3153560,10655652,9495991,8567698,7993008,11067792,17917330,32268000,41963000,47242000,40042000,45477000,51672000,64853000,77601000,90202000,99963000,101264000,108192000,118484000,134187000,134675000,152419000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,3153560,10655652,9495991,8567698,7993008,11067792,17917330,32268000,41963000,47242000,40042000,45477000,51672000,64853000,77601000,90202000,99963000,101264000,108192000,118484000,134187000,134675000,152419000
9,Other Expenses,357014,22950,13211840,42233812,1973094,1280857,1208496,2225885,4406000,6265000,8582000,5750000,4784000,9681000,10078000,11236000,18187000,18315000,18238000,19747000,20428000,20598000,28287000,29851000
10,Operating Expenses,357014,3176510,23867492,51729803,10540792,9273865,12276288,20143215,36674000,48228000,55824000,45792000,50261000,61353000,74931000,88837000,108389000,118278000,119502000,127939000,138912000,154785000,162962000,182270000
11,COGS and Expenses,757991,4694949,33528286,63609027,22094103,28090374,52304588,84721999,143844000,190686000,213810000,185609000,202446000,242658000,298624000,339063000,415746000,436689000,455204000,451687000,458743000,508998000,543685000,651083000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,143000,293000,1438000,2085000,1636000,1838000,3560000,7418000,10128000,14052000
14,Depreciation and Amortization,10530,22950,13211840,15806866,1973094,1280857,1208496,2225885,4406000,6265000,6949000,5750000,4784000,8095000,10078000,11236000,18187000,18315000,18238000,19747000,20428000,20598000,28287000,29851000
15,EBITDA,78339,-1402925,-240510,-28121551,-421950,3086294,7649453,13900347,21255000,33919000,24240000,8760000,16532000,26740000,36206000,43026000,57145000,53235000,50383000,48728000,56360000,75957000,78744000,106386000
16,EBITDA ratio,0.0949,-0.4447,-0.0120,-1.3774,-0.0206,0.1022,0.1300,0.1433,0.1321,0.1555,0.1047,0.0466,0.0769,0.1019,0.1107,0.1153,0.1251,0.1124,0.1035,0.1004,0.1131,0.1343,0.1286,0.1398
17,Operating Income,67809,-1540013,-13564527,-43835507,-2209154,2101548,6543085,12275202,17082000,27462000,17678000,2541000,11513000,18532000,26084000,31678000,38963000,35252000,32205000,28980000,35944000,55332000,55254000,105932000
18,Operating Income ratio,0.0821,-0.4881,-0.6795,-2.1470,-0.1080,0.0696,0.1112,0.1266,0.1061,0.1259,0.0764,0.0135,0.0536,0.0706,0.0797,0.0849,0.0853,0.0744,0.0661,0.0597,0.0721,0.0978,0.0903,0.1392
19,Total Other Income Expenses (Gains),- -,114138,112177,-92910,-185890,-296111,-102128,-600740,-233000,192000,-387000,469000,235000,113000,-99000,-181000,-1443000,-2417000,-1696000,-1837000,-3572000,-7391000,-14925000,-43449000
20,Income Before Tax,67809,-1425875,-13452350,-43928417,-2395044,1805437,6440957,11674462,16849000,27654000,17291000,3010000,11748000,18645000,25985000,31497000,37520000,32835000,30509000,27143000,32372000,47941000,40329000,62483000
21,Income Before Tax Ratio,0.0821,-0.4520,-0.6738,-2.1516,-0.1170,0.0598,0.1095,0.1204,0.1047,0.1268,0.0747,0.0160,0.0547,0.0710,0.0794,0.0844,0.0822,0.0693,0.0626,0.0559,0.0650,0.0848,0.0659,0.0821
22,Income Tax expense (Gain),27581,-20912,175000,-42261,- -,755405,2527669,4497710,7282000,11424000,7291000,1547000,5268000,7898000,9878000,10065000,14357000,9828000,10050000,8562000,7813000,10816000,10148000,10392000
23,Net Income,40228,-1404963,-13627350,-43886156,-2395044,1050032,3913288,7176752,9567000,16230000,10000000,1463000,6480000,10747000,16107000,21432000,23163000,23007000,20459000,18581000,24559000,37125000,30181000,52091000
24,Net Income ratio,0.0487,-0.4453,-0.6826,-2.1495,-0.1170,0.0348,0.0665,0.0740,0.0594,0.0744,0.0432,0.0078,0.0301,0.0410,0.0492,0.0574,0.0507,0.0486,0.0420,0.0383,0.0493,0.0656,0.0493,0.0684
25,EPS,0.02,-0.47,-2.96,-7.46,-0.53,0.08,0.22,0.33,0.38,0.58,0.34,0.05,0.24,0.39,0.54,0.71,0.73,0.69,0.60,0.56,0.76,1.18,0.95,1.63
