,https://roic.ai/company/TRVI,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,- -,- -,- -,- -,- -
2,COGS,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -
5,Research and Development Exp.,6095000,14072000,19339000,22328000,22984000
6,General and Administrative Exp.,2142000,4336000,7306000,10161000,9492000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",2142000,4336000,7306000,10161000,9492000
9,Other Expenses,- -,- -,- -,- -,- -
10,Operating Expenses,8237000,18408000,26645000,32489000,32476000
11,COGS and Expenses,8237000,18408000,26645000,32489000,- -
12,Interest Income ,69000,156000,792000,178000,10000
13,Interest Expense (Gain),3342000,174000,- -,456000,-1202000
14,Depreciation and Amortization,4000,23000,39000,47000,- -
15,EBITDA,-8188000,-20472000,-26606000,-32264000,-32476000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,-8237000,-18408000,-26645000,-32489000,-32476000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),-4649000,-2261000,577000,-287000,-1485000
20,Income Before Tax,-12886000,-20669000,-26068000,-32776000,-33961000
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),-26000,-124000,-18000,-18000,-21000
23,Net Income,-12860000,-20545000,-26050000,-32758000,-33940000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-1.40,-2.06,-1.46,-1.77,-1.83
26,EPS Diluted,-1.40,-2.06,-1.46,-1.77,-1.83
27,Weighted Average Shares Outstanding,8965247,8965247,17834570,18546786,18546786
28,Weighted Average Shares Outstanding Diluted,8965247,8965247,17834570,18546786,18546786
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1563880/000156459020010996/0001564590-20-010996-index.htm,https://www.sec.gov/Archives/edgar/data/1563880/000156459021015506/0001564590-21-015506-index.htm,https://www.sec.gov/Archives/edgar/data/1563880/000156459022010875/0001564590-22-010875-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,22020000,17165000,57313000,45001000,36830000
32,Short-Term Investments,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,22020000,17165000,57313000,45001000,36830000
34,Net Receivables,61000,184000,558000,265000,- -
35,Inventory,- -,- -,- -,- -,- -
36,Other Current Assets,81000,1438000,1681000,1003000,1127000
37,Total Current Assets,22162000,18787000,59552000,46269000,37957000
38,PP&E,14000,149000,430000,330000,184000
39,Goodwill,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,52000,1553000,19000,532000,334000
45,Total Non-Current Assets,66000,1702000,449000,862000,518000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,22228000,20489000,60001000,47131000,38475000
48,Accounts Payable,537000,603000,1599000,2016000,2849000
49,Short-Term Debt,5285000,- -,99000,113000,120000
50,Tax Payable,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -
52,Other Current Liabilities,1303000,2073000,3501000,3426000,9755000
53,Total Current Liabilities,7125000,2676000,5199000,5555000,12724000
54,Long-Term Debt,- -,- -,- -,13954000,24000
55,Deferred Revenue,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,325000,506000,257000,340000,8652000
58,Total Non-Current Liabilities,325000,506000,257000,14294000,8676000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,356000,257000,- -
61,Total Liabilities,7450000,3182000,5456000,19849000,21400000
62,Preferred Stock,99206000,- -,- -,- -,- -
63,Common Stock,4000,101000,18000,19000,29000
64,Retained Earnings,-84432000,-109498000,-114219000,-146977000,-180917000
65,Other Comprehensive Income/Loss,-23000,-46000,-85000,- -,- -
66,Other Total Stockholders Equity,23000,126750000,168831000,174240000,197963000
67,Total Stockholders Equity,14778000,17307000,54545000,27282000,17075000
68,Total Liabilities And Stockholders Equity,22228000,20489000,60001000,47131000,38475000
69,Minority Interest,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,22228000,20489000,60001000,47131000,38475000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1563880/000156459020010996/0001564590-20-010996-index.htm,https://www.sec.gov/Archives/edgar/data/1563880/000156459021015506/0001564590-21-015506-index.htm,https://www.sec.gov/Archives/edgar/data/1563880/000156459022010875/0001564590-22-010875-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-12860000,-20545000,-26050000,-32758000,-33940000
74,Depreciation and Amortization,4000,23000,39000,47000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -
76,Stock Based Compensation,205000,496000,1127000,2417000,- -
77,Change in Working Capital,722000,1074000,38242000,-13639000,-15481000
78,Accounts Receivable,- -,- -,- -,293000,- -
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,92000,66000,777000,417000,- -
81,Other Working Capital,15037000,16111000,54353000,40714000,25233000
82,Other Non-Cash Items,3954000,661000,-36451000,14933000,20475000
83,Cash Provided by Operating Activities,-7975000,-18291000,-23093000,-29000000,-28946000
84,CAPEX,-13000,-158000,-9000,-32000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-13000,-158000,-9000,-32000,- -
90,Debt Repayment,-8250000,-5344000,- -,- -,- -
91,Common Stock Issued,- -,- -,65100000,3135000,- -
92,Common Stock Repurchased,- -,- -,-1213000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,29972000,8975000,9326000,13585000,20775000
95,Cash Used/Provided by Financing Activities,21722000,3631000,73213000,16720000,20775000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -
97,Net Change In Cash,13734000,-14818000,50111000,-12312000,-8171000
98,Cash at the End of Period,22020000,7202000,57313000,45001000,- -
99,Cash at the Beginning of Period,8286000,22020000,7202000,57313000,45001000
100,Free Cash Flow,-7988000,-18449000,-23102000,-29032000,-28946000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1563880/000156459020010996/0001564590-20-010996-index.htm,https://www.sec.gov/Archives/edgar/data/1563880/000156459021015506/0001564590-21-015506-index.htm,https://www.sec.gov/Archives/edgar/data/1563880/000156459022010875/0001564590-22-010875-index.htm
102,false,,,,,
