,https://roic.ai/company/BPTH,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , 
1,Revenue,79313,59453,43812,18438,- -,- -,- -,- -,- -,- -,- -,- -,13000,37000,- -,- -,- -,- -
2,COGS,55415,43877,37767,20107,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,23898,15576,6045,-1669,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,0.3013,0.2620,0.1380,-0.0905,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,333472,480255,1144189,1140802,1596582,1634590,1827100,3020027,5474000,5480000,4603000,4585000,6578000,- -
6,General and Administrative Exp.,- -,- -,- -,- -,587163,1309886,704884,- -,986097,1634650,2715146,2464432,3014000,3523000,3379000,4108000,4330000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,587163,1309886,704884,- -,986097,1634650,2715146,2464432,3014000,3523000,3379000,4108000,4330000,- -
9,Other Expenses,78160,82526,141313,107444,171954,182981,- -,1224813,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,78160,82526,141313,107444,1092589,1973122,1849073,2365615,2582679,3269240,4542246,5484459,8488000,9003000,7982000,8693000,10908000,- -
11,COGS and Expenses,133575,126403,179080,127551,1092589,1973122,1849073,2365615,2582679,3269240,4542246,5484459,8488000,9003000,7982000,8693000,10908000,- -
12,Interest Income ,1350,132,541,- -,41061,3384,1302,2907,779,4037,22632,17665,12000,9000,7000,94000,26000,- -
13,Interest Expense (Gain),13258,17620,13082,15936,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,3062,3025,2723,1675,171954,182981,197268,211709,185271,160625,170909,201762,204000,411000,426000,230000,151000,- -
