,https://roic.ai/company/SHMP,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,924,- -,- -,- -,- -,- -,- -
2,COGS,- -,328997,- -,- -,- -,158825,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,-328997,- -,- -,- -,-157901,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,-Infinity,- -,- -,- -,-170.8885,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,153250,79550
6,General and Administrative Exp.,- -,- -,74121,54728,32759,1246090,1413665,909182,1085499,869821,1610331,2472238
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,74121,54728,32759,1246090,1413665,909182,1085499,869821,1610331,2472238
9,Other Expenses,- -,60745,- -,- -,- -,82936,258342,131389,98683,130892,332677,749466
10,Operating Expenses,- -,60745,74121,54728,32759,1329026,1672007,1040571,1184182,1000713,2096258,3301254
11,COGS and Expenses,59039,389742,74121,54728,32759,1487851,1672007,1040571,1184182,1000713,2096258,3301254
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,143898,169700,174335,171065,223350,178425,144204
14,Depreciation and Amortization,- -,- -,- -,- -,- -,82936,74680,60459,70894,30296,100359,346437
15,EBITDA,-59039,-389742,-74121,-54728,-32759,-1403991,-1597327,-980112,-1113288,-970417,-1995899,-3066542
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1519.4708,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,-59039,-389742,-74121,-54728,-32759,-1486927,-1672007,-1040571,-1184182,-1000713,-2096258,-3301254
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1609.2284,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,-143898,-479539,1154889,-4100907,-6209868,-2714794,-284929
20,Income Before Tax,- -,- -,- -,-54728,-32759,-1630825,-2151546,114318,-5285089,-7210581,-4811052,-3586183
21,Income Before Tax Ratio,- -,- -,- -,-Infinity,-Infinity,-1764.9621,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-59039,-389742,-74121,-54728,-32759,-1630825,-2151546,114318,-5285089,-7210581,-4728951,-3580454
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1764.9621,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-0.01,-0.04,-0.01,-0.01,-0.00,-0.07,-0.02,0.00,-0.05,-0.04,-0.02,-0.01
26,EPS Diluted,-0.01,-0.04,-0.01,-0.01,-0.00,-0.07,-0.02,0.00,-0.05,-0.04,-0.02,-0.01
27,Weighted Average Shares Outstanding,8374956,9624659,9700000,9700000,9700000,22321191,88660101,90025445,97656095,171325837,326835226,501477593
28,Weighted Average Shares Outstanding Diluted,8374956,9624659,9700000,9700000,9700000,22321191,88660101,90070074,97656095,171325837,326835226,501477593
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1465470/000100201414000264/0001002014-14-000264-index.htm,https://www.sec.gov/Archives/edgar/data/1465470/000114420414042739/0001144204-14-042739-index.htm,https://www.sec.gov/Archives/edgar/data/1465470/000135448815003454/0001354488-15-003454-index.htm,https://www.sec.gov/Archives/edgar/data/1465470/000165495417010092/0001654954-17-010092-index.htm,https://www.sec.gov/Archives/edgar/data/1465470/000165495417006014/0001654954-17-006014-index.html,https://www.sec.gov/Archives/edgar/data/1465470/000165495418007613/0001654954-18-007613-index.htm,https://www.sec.gov/Archives/edgar/data/1465470/000165495419007798/0001654954-19-007798-index.html,https://www.sec.gov/Archives/edgar/data/1465470/000165495420007019/0001654954-20-007019-index.htm,https://www.sec.gov/Archives/edgar/data/1465470/000165495421007393/0001654954-21-007393-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,97449,191627,121981,85434,60041,220874,6158,88195,24280,137499,109491,155795
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,97449,191627,121981,85434,60041,220874,6158,88195,24280,137499,109491,155795
34,Net Receivables,- -,- -,- -,- -,- -,3203,- -,- -,207200,1700,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,4200,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,224000,28699,35286,1045903,655339
37,Total Current Assets,97449,191627,121981,85434,60041,224077,6158,312195,260179,178685,1155394,811134
38,PP&E,- -,- -,- -,- -,- -,1373347,1334647,1274372,1374559,1556093,983208,14385176
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,15000,15000,- -,- -,11500,11500,10500,10500,10500,178198,20633
45,Total Non-Current Assets,- -,15000,15000,- -,- -,1384847,1346147,1284872,1385059,1566593,1161406,14405809
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,97449,206627,136981,85434,60041,1608924,1352305,1597067,1645238,1745278,2316800,15216943
48,Accounts Payable,27600,23120,27595,13970,8000,181759,568806,505033,528538,576028,641147,963289
49,Short-Term Debt,- -,- -,- -,- -,- -,3668541,3798328,1449436,2026379,2221356,1800563,2416345
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,27426,30826,30826,15000,15000,387431,475380,742421,4469698,1154427,2311633,1045877
53,Total Current Liabilities,55026,53946,58421,28970,23000,4237731,4842514,2696890,7024615,3951811,4753343,4425511
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,937188,880369,650453,225837,5697131
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,32632,45968,- -,- -,- -,- -,- -,275400,- -
58,Total Non-Current Liabilities,- -,- -,- -,32632,45968,- -,- -,937188,880369,650453,501237,5697131
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,275400,275400
61,Total Liabilities,55026,53946,58421,61602,68968,4237731,4842514,3634078,7904984,4602264,5254580,10122642
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,500,500,2023833
63,Common Stock,9600,9700,9700,9700,9700,8678,8940,9242,9766,30177,37975,56075
64,Retained Earnings,-67577,-457319,-531440,-586168,-618927,-26690546,-28842092,-28727774,-34012864,-41223445,-46427396,-53683268
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,-1086464,-1161144,-1221419,-1292313,-1322609,-245297,- -
66,Other Total Stockholders Equity,100400,600300,600300,600300,600300,25139525,26504087,27902940,29035665,39658391,43778539,56785491
67,Total Stockholders Equity,42423,152681,78560,23832,-8927,-2628807,-3490209,-2037011,-6259746,-2856986,-2855679,5182131
68,Total Liabilities And Stockholders Equity,97449,206627,136981,85434,60041,1608924,1352305,1597067,1645238,1745278,2398901,15304773
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-82101,-87830
70,Total Liabilities & Equity,97449,206627,136981,85434,60041,1608924,1352305,1597067,1645238,1745278,2316800,15216943
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1465470/000100201414000264/0001002014-14-000264-index.htm,https://www.sec.gov/Archives/edgar/data/1465470/000114420414042739/0001144204-14-042739-index.htm,https://www.sec.gov/Archives/edgar/data/1465470/000135448815003454/0001354488-15-003454-index.htm,https://www.sec.gov/Archives/edgar/data/1465470/000165495417010092/0001654954-17-010092-index.htm,https://www.sec.gov/Archives/edgar/data/1465470/000165495417006014/0001654954-17-006014-index.html,https://www.sec.gov/Archives/edgar/data/1465470/000165495418007613/0001654954-18-007613-index.htm,https://www.sec.gov/Archives/edgar/data/1465470/000165495419007798/0001654954-19-007798-index.html,https://www.sec.gov/Archives/edgar/data/1465470/000165495420007019/0001654954-20-007019-index.htm,https://www.sec.gov/Archives/edgar/data/1465470/000165495421007393/0001654954-21-007393-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,-59039,-389742,-74121,-54728,-32759,-1630825,-2151546,114318,-5285089,-7210581,-4728951,-3580454
74,Depreciation and Amortization,- -,- -,- -,- -,- -,82936,74680,60459,70894,30296,100359,346437
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,304018,49999,464750,- -,- -,- -,- -
77,Change in Working Capital,19800,95258,-74121,-7096,-19423,-4050695,-822702,2451661,-4379741,2991310,175177,-16428
78,Accounts Receivable,- -,- -,- -,- -,- -,-72,3203,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4200,- -
80,Accounts Payable,- -,- -,- -,- -,- -,26494,387047,-63959,31982,47489,66818,325264
81,Other Working Capital,42423,137681,63560,56464,37041,-4013654,-4836356,-2384695,-6764436,-3773126,-3597949,-3614377
82,Other Non-Cash Items,- -,-114738,78596,23471,13453,4093958,1644197,-3813403,8828143,3198641,1970569,873068
83,Cash Provided by Operating Activities,-39239,-409222,-69646,-38353,-38729,-1200608,-1205372,-722215,-765793,-990334,-2482846,-2377377
84,CAPEX,- -,- -,- -,- -,- -,-27105,-35980,- -,-171050,-211830,-1232704,-3454840
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,917210
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-27105,-35980,- -,-171050,-211830,-1232704,-7537630
90,Debt Repayment,- -,- -,- -,- -,- -,-13813,-19963,-58005,-328973,-381093,-436458,-91889
91,Common Stock Issued,100000,500000,- -,- -,- -,1431101,861849,10000,25000,479916,1774000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,26826,3400,- -,1806,13336,19550,184750,852257,1176901,1216560,2350000,10053200
95,Cash Used/Provided by Financing Activities,126826,503400,- -,1806,13336,1436838,1026636,804252,872928,1315383,3687542,9961311
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,87587,94178,-69646,-36547,-25393,209125,-214716,82037,-63915,113219,-28008,46304
98,Cash at the End of Period,97449,191627,121981,85434,60041,220874,6158,88195,24280,137499,109491,155795
99,Cash at the Beginning of Period,9862,97449,191627,121981,85434,11749,220874,6158,88195,24280,137499,109491
100,Free Cash Flow,-39239,-409222,-69646,-38353,-38729,-1227713,-1241352,-722215,-936843,-1202164,-3715550,-5832217
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1465470/000100201414000264/0001002014-14-000264-index.htm,https://www.sec.gov/Archives/edgar/data/1465470/000114420414042739/0001144204-14-042739-index.htm,https://www.sec.gov/Archives/edgar/data/1465470/000135448815003454/0001354488-15-003454-index.htm,https://www.sec.gov/Archives/edgar/data/1465470/000165495417010092/0001654954-17-010092-index.htm,https://www.sec.gov/Archives/edgar/data/1465470/000165495417006014/0001654954-17-006014-index.html,https://www.sec.gov/Archives/edgar/data/1465470/000165495418007613/0001654954-18-007613-index.htm,https://www.sec.gov/Archives/edgar/data/1465470/000165495419007798/0001654954-19-007798-index.html,https://www.sec.gov/Archives/edgar/data/1465470/000165495420007019/0001654954-20-007019-index.htm,https://www.sec.gov/Archives/edgar/data/1465470/000165495421007393/0001654954-21-007393-index.htm
102,false,,,,,,,,,,,,
