,https://roic.ai/company/IMXI,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,124199313,165395000,201039131,273901000,319601000,357209000,459206000
2,COGS,81746818,108076000,135455304,182471000,212670000,238597000,- -
3,Gross Profit,42452495,57319000,65583827,91430000,106931000,118612000,459206000
4,Gross Profit Ratio,0.3418,0.3466,0.3262,0.3338,0.3346,0.3321,1.0000
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,25815203,31765000,47130121,62687000,57800000,54917000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",25815203,31765000,47130121,62687000,57800000,54917000,31340000
9,Other Expenses,2453454,2530000,16644821,15671000,12689000,10828000,360014000
10,Operating Expenses,28268657,34295000,63774942,78358000,70489000,65745000,391354000
11,COGS and Expenses,110015475,142371000,199230246,260829000,283159000,304342000,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),4234371,9540000,11447936,18448000,8510000,6566000,4537000
14,Depreciation and Amortization,2453454,2530000,16644821,15671000,12689000,10828000,9491000
15,EBITDA,16637292,25554000,18453706,28743000,49131000,63695000,77343000
16,EBITDA ratio,0.1340,0.1545,0.0918,0.1049,0.1537,0.1783,0.1684
17,Operating Income,14183838,23024000,1808885,13072000,36442000,52867000,67852000
18,Operating Income ratio,0.1142,0.1392,0.0090,0.0477,0.1140,0.1480,0.1478
19,Total Other Income Expenses (Gains),-4234371,-9540000,-11447936,-18448000,-8510000,-6566000,-4537000
20,Income Before Tax,9949467,13484000,-9639051,-5376000,27932000,46301000,63315000
21,Income Before Tax Ratio,0.0801,0.0815,-0.0479,-0.0196,0.0874,0.1296,0.1379
22,Income Tax expense (Gain),4191643,4084000,534402,1868000,8323000,12517000,16472000
23,Net Income,5757824,9400000,-10173453,-7244000,19609000,33784000,46843000
24,Net Income ratio,0.0464,0.0568,-0.0506,-0.0264,0.0614,0.0946,0.1020
25,EPS,0.16,0.26,-0.28,-0.28,0.52,0.89,1.21
26,EPS Diluted,0.16,0.26,-0.28,-0.28,0.52,0.88,1.19
27,Weighted Average Shares Outstanding,36182783,36182783,36182783,25871429,37709615,38060290,38647931
28,Weighted Average Shares Outstanding Diluted,36182783,36182783,36182783,25871429,37709615,38358171,39336051
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1683695/000121390017003999/0001213900-17-003999-index.htm,https://www.sec.gov/Archives/edgar/data/1683695/000121390018003024/0001213900-18-003024-index.html,https://www.sec.gov/Archives/edgar/data/1683695/000114036119005471/0001140361-19-005471-index.html,https://www.sec.gov/Archives/edgar/data/1683695/000162828020003396/0001628280-20-003396-index.html,https://www.sec.gov/Archives/edgar/data/1683695/000168369521000005/0001683695-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1683695/000168369522000004/0001683695-22-000004-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,- -,37601096,59155618,73029000,86117000,74907000,132474000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,37601096,59155618,73029000,86117000,74907000,132474000
34,Net Receivables,- -,27769967,51374377,35795000,40402000,55483000,67317000
35,Inventory,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,11773258,8575877,29826000,21708000,56336000,63754000
37,Total Current Assets,- -,77144321,119105872,138650000,148227000,186726000,263545000
38,PP&E,- -,6246447,8490794,10393000,13282000,13021000,17905000
39,Goodwill,- -,- -,36259666,36260000,36260000,36260000,36260000
40,Intangible Assets,- -,6347634,48741032,36395000,27381000,20430000,15392000
41,Intangible Assets,- -,6347634,85000698,72655000,63641000,56690000,51652000
42,Investments,- -,- -,- -,- -,- -,- -,- -
