,https://roic.ai/company/FOR,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , 
1,Revenue,169301000,155487000,225560000,178000000,159722000,146251000,101360000,135573000,172591000,331045000,306774000,262421000,197314000,114322000,- -,428300000,931800000,1325800000
2,COGS,- -,57404000,90629000,86400000,58488000,50625000,48962000,66965000,83876000,200894000,225141000,341372000,168933000,109779000,- -,362700000,813700000,1096600000
3,Gross Profit,- -,98083000,134931000,91600000,101234000,95626000,52398000,68608000,88715000,130151000,81633000,-78951000,28381000,4543000,- -,65600000,118100000,229200000
4,Gross Profit Ratio,- -,0.6308,0.5982,0.5146,0.6338,0.6538,0.5169,0.5061,0.5140,0.3932,0.2661,-0.3009,0.1438,0.0397,- -,0.1532,0.1267,0.1729
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,16141000,18600000,22228000,29926000,22581000,23326000,32320000,28376000,22230000,27253000,21597000,56531000,- -,- -,45700000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,16141000,18600000,22228000,29926000,22581000,23326000,32320000,28376000,22230000,27253000,21597000,56531000,- -,28900000,45700000,68400000
9,Other Expenses,- -,52497000,46966000,23700000,43200000,-59362000,10932000,48951000,55213000,60359000,58683000,59359000,33177000,21658000,- -,- -,- -,- -
10,Operating Expenses,- -,52497000,63107000,42300000,65428000,-29436000,33513000,72277000,87533000,88735000,80913000,86612000,54774000,78189000,- -,28900000,45700000,68400000
11,COGS and Expenses,- -,109901000,153736000,128700000,123916000,21189000,82475000,139242000,171409000,289629000,306054000,427984000,223707000,187968000,- -,391600000,859400000,1165000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5500000,4900000,1200000
13,Interest Expense (Gain),- -,- -,- -,- -,21283000,20459000,16446000,17012000,19363000,20004000,30286000,34066000,19985000,8532000,- -,- -,- -,- -
14,Depreciation and Amortization,- -,2249000,2355000,2900000,7673000,9786000,9014000,- -,- -,- -,- -,- -,- -,- -,- -,6700000,4900000,2700000
15,EBITDA,45880000,58005000,84169000,41600000,46165000,124985000,33055000,27187000,40321000,56533000,55526000,-146346000,93935000,104606000,- -,49100000,82100000,149000000
16,EBITDA ratio,0.2710,0.3731,0.3732,0.2337,0.2890,0.8546,0.3261,0.2005,0.2336,0.1708,0.1810,-0.5577,0.4761,0.9150,- -,0.1146,0.0881,0.1124
17,Operating Income,- -,45586000,71824000,49267000,35806000,125062000,18885000,58115000,27165000,46577000,38758000,-164684000,140354000,39765000,- -,- -,- -,- -
18,Operating Income ratio,- -,0.2932,0.3184,0.2768,0.2242,0.8551,0.1863,0.4287,0.1574,0.1407,0.1263,-0.6276,0.7113,0.3478,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),-123421000,10170000,9990000,-10567000,-18597000,-27855000,-10581000,-45853000,-1273000,-4308000,-13013000,-15052000,-48008000,12356000,- -,9000000,5700000,-14200000
20,Income Before Tax,45880000,55756000,81814000,38700000,17209000,97207000,8304000,12262000,25892000,42269000,25745000,-179736000,92346000,52121000,- -,45700000,78100000,146600000
21,Income Before Tax Ratio,0.2710,0.3586,0.3627,0.2174,0.1077,0.6647,0.0819,0.0904,0.1500,0.1277,0.0839,-0.6849,0.4680,0.4559,- -,0.1067,0.0838,0.1106
22,Income Tax expense (Gain),17444000,20859000,29970000,13900000,5235000,35633000,2470000,3021000,8016000,7208000,8657000,32635000,15302000,45820000,- -,9400000,16400000,36100000
23,Net Income,28436000,34897000,51844000,24800000,11974000,59107000,5125000,7154000,12942000,29321000,16583000,-213047000,58648000,50254000,- -,33000000,60800000,110200000
24,Net Income ratio,0.1680,0.2244,0.2298,0.1393,0.0750,0.4041,0.0506,0.0528,0.0750,0.0886,0.0541,-0.8119,0.2972,0.4396,- -,0.0770,0.0653,0.0831
25,EPS,0.80,0.99,1.47,0.70,0.34,1.65,0.14,0.20,0.37,0.81,0.38,-6.22,1.40,1.19,- -,0.79,1.26,2.25
26,EPS Diluted,0.80,0.99,1.47,0.70,0.33,1.64,0.14,0.20,0.36,0.80,0.38,-6.22,1.38,1.19,- -,0.79,1.26,2.25
27,Weighted Average Shares Outstanding,35380000,35380000,35380385,35380000,35455000,35805000,35815000,35413000,35214000,35365000,35317000,34266000,34546000,42143000,- -,42000000,48000000,48900000
28,Weighted Average Shares Outstanding Diluted,35380000,35380000,35380385,35380000,35892000,36102000,36377000,35781000,35482000,36813000,43596000,34266000,42334000,42381000,- -,42000000,48100000,49000000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1406587/000095013409004532/0000950134-09-004532-index.html,https://www.sec.gov/Archives/edgar/data/1406587/000095012310020621/0000950123-10-020621-index.html,https://www.sec.gov/Archives/edgar/data/1406587/000095012311021293/d79867e10vk.htm,https://www.sec.gov/Archives/edgar/data/1406587/000119312512100269/0001193125-12-100269-index.html,https://www.sec.gov/Archives/edgar/data/1406587/000119312513107366/0001193125-13-107366-index.html,https://www.sec.gov/Archives/edgar/data/1406587/000140658714000014/for1231201310-k.htm,https://www.sec.gov/Archives/edgar/data/1406587/000140658715000018/for1231201410-k.htm,https://www.sec.gov/Archives/edgar/data/1406587/000140658716000077/0001406587-16-000077-index.html,https://www.sec.gov/Archives/edgar/data/1406587/000140658717000005/0001406587-17-000005-index.html,https://www.sec.gov/Archives/edgar/data/1406587/000140658718000002/0001406587-18-000002-index.html,undefined,- -,https://www.sec.gov/Archives/edgar/data/1406587/000140658720000087/0001406587-20-000087-index.htm,https://www.sec.gov/Archives/edgar/data/1406587/000140658721000093/0001406587-21-000093-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,10350000,7500000,8127000,21051000,5366000,18283000,10361000,192307000,170127000,96442000,265798000,321783000,- -,382800000,394300000,153600000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,10350000,7500000,8127000,21051000,5366000,18283000,10361000,192307000,170127000,96442000,265798000,321783000,- -,382800000,394300000,153600000
34,Net Receivables,- -,- -,- -,2500000,4262000,1841000,2875000,23281000,33623000,39252000,32092000,35712000,19798000,12981000,- -,4300000,6700000,1100000
