,https://roic.ai/company/ICPT,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,- -,1805130,2446105,1621627,1741618,2782000,24951000,130956000,179804000,252002000,312690000,363468000
2,COGS,- -,- -,- -,- -,- -,- -,- -,1371000,2519000,4212000,5322000,3100000
3,Gross Profit,- -,1805130,- -,- -,- -,2782000,24951000,129585000,177285000,247790000,307368000,360368000
4,Gross Profit Ratio,- -,1.0000,- -,- -,- -,1.0000,1.0000,0.9895,0.9860,0.9833,0.9830,0.9915
5,Research and Development Exp.,12709590,11426155,16182564,27941507,80310535,128193000,153893000,191499000,207301000,242799000,191485000,185272000
6,General and Administrative Exp.,- -,- -,5177129,13131839,34601297,103745000,273596000,273698000,255474000,317418000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,5177129,13131839,34601297,103745000,273596000,273698000,255474000,317418000,- -,230855000
9,Other Expenses,- -,4209429,- -,- -,- -,- -,- -,- -,- -,- -,332493000,3014000
10,Operating Expenses,- -,15635584,21359693,41073346,114911832,231938000,427489000,465197000,462775000,560217000,523978000,419141000
11,COGS and Expenses,15864254,15635584,21359693,41073346,114911832,231938000,427489000,466568000,465294000,564429000,529300000,422241000
12,Interest Income ,- -,61452,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,13478,- -,- -,- -,- -,14196000,29271000,30523000,41144000,48054000,-54419000
14,Depreciation and Amortization,479500,410601,201323,105683,442797,1691000,3831000,4601000,4582000,3663000,3118000,4674000
15,EBITDA,-16057231,-12313575,-43441748,-67686727,-282783157,-224738000,-394803000,-326495000,-274137000,-299874000,-223708000,-141171000
16,EBITDA ratio,-Infinity,-6.8214,-17.7596,-41.7400,-162.3681,-80.7829,-15.8231,-2.4932,-1.5246,-1.1900,-0.7154,-0.3884
17,Operating Income,-16353213,-13830454,-18913588,-39451719,-113170214,-229156000,-402538000,-335612000,-285490000,-312427000,-231240000,-55673000
18,Operating Income ratio,-Infinity,-7.6617,-7.7321,-24.3285,-64.9799,-82.3710,-16.1331,-2.5628,-1.5878,-1.2398,-0.7395,-0.1532
