,https://roic.ai/company/FTNT,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , 
1,Revenue,123466000,155366000,211791000,252115000,324696000,433576000,533639000,615297000,770364000,1009268000,1275443000,1494930000,1801200000,2156200000,2594400000,3342200000
2,COGS,40964000,56652000,65472000,69975000,85206000,113598000,147420000,180643000,231009000,286777000,337837000,385284000,450400000,505900000,570000000,783000000
3,Gross Profit,82502000,98714000,146319000,182140000,239490000,319978000,386219000,434654000,539355000,722491000,937606000,1109646000,1350800000,1650300000,2024400000,2559200000
4,Gross Profit Ratio,0.6682,0.6354,0.6909,0.7224,0.7376,0.7380,0.7237,0.7064,0.7001,0.7159,0.7351,0.7423,0.7499,0.7654,0.7803,0.7657
5,Research and Development Exp.,21446000,27588000,37035000,42195000,49801000,63577000,81078000,102660000,122880000,158129000,183084000,210614000,244500000,277100000,341400000,424200000
6,General and Administrative Exp.,12997000,20544000,16640000,18320000,22380000,21965000,25511000,34913000,41347000,71514000,81080000,87862000,93000000,102100000,119500000,143500000
7,Selling and Marketing Exp.,54056000,72159000,87717000,96291000,111968000,145532000,179155000,224991000,315804000,470371000,626501000,701026000,782300000,926900000,1071900000,1345700000
8,"Selling, General and Administrative Exp.",67053000,92703000,104357000,114611000,134348000,167497000,204666000,259904000,357151000,541885000,707581000,788888000,875300000,1029000000,1191400000,1489200000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,88499000,120291000,141392000,156806000,184149000,231074000,285744000,362564000,480031000,700014000,890665000,999502000,1119800000,1306100000,1532800000,1913400000
11,COGS and Expenses,129463000,176943000,206864000,226781000,269355000,344672000,433164000,543207000,711040000,986791000,1228502000,1384786000,1570200000,1812000000,2102800000,2696400000
12,Interest Income ,2376000,3507000,2614000,1981000,1815000,3523000,5006000,5306000,5393000,5295000,7303000,13482000,26500000,42500000,17700000,4500000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14900000
14,Depreciation and Amortization,3509000,4153000,4234000,5935000,5696000,6989000,11564000,15623000,22028000,31589000,48520000,55476000,55700000,61600000,68800000,84400000
15,EBITDA,-615000,-15908000,13485000,33448000,62037000,99062000,116560000,91564000,83577000,48594000,91668000,179470000,306600000,440800000,610500000,720200000
16,EBITDA ratio,-0.0050,-0.1024,0.0637,0.1327,0.1911,0.2285,0.2184,0.1488,0.1085,0.0481,0.0719,0.1201,0.1702,0.2044,0.2353,0.2155
17,Operating Income,-5997000,-21577000,4927000,25334000,55341000,88904000,100475000,72090000,59324000,14877000,42944000,109804000,231000000,344200000,531800000,650400000
18,Operating Income ratio,-0.0486,-0.1389,0.0233,0.1005,0.1704,0.2050,0.1883,0.1172,0.0770,0.0147,0.0337,0.0735,0.1282,0.1596,0.2050,0.1946
19,Total Other Income Expenses (Gains),1873000,1516000,4324000,2179000,1000000,3169000,4521000,3851000,2225000,2128000,204000,14190000,19900000,35000000,9900000,-22000000
20,Income Before Tax,-4124000,-20061000,9251000,27513000,56341000,92073000,104996000,75941000,61549000,17005000,43148000,123994000,250900000,379200000,541700000,628400000
21,Income Before Tax Ratio,-0.0334,-0.1291,0.0437,0.1091,0.1735,0.2124,0.1968,0.1234,0.0799,0.0168,0.0338,0.0829,0.1393,0.1759,0.2088,0.1880
22,Income Tax expense (Gain),1220000,1781000,1888000,-32666000,15096000,29581000,38160000,31668000,36206000,9018000,10961000,92595000,-81300000,52700000,53200000,14100000
23,Net Income,-5344000,-21842000,7363000,60179000,41245000,62492000,66836000,44273000,25343000,7987000,32187000,31399000,332200000,326500000,488500000,606800000
24,Net Income ratio,-0.0433,-0.1406,0.0348,0.2387,0.1270,0.1441,0.1252,0.0720,0.0329,0.0079,0.0252,0.0210,0.1844,0.1514,0.1883,0.1816
25,EPS,-0.05,-0.19,0.07,0.96,0.29,0.41,0.42,0.27,0.15,0.05,0.19,0.18,1.96,1.91,2.98,3.72
26,EPS Diluted,-0.05,-0.19,0.06,0.39,0.27,0.38,0.40,0.26,0.15,0.05,0.18,0.18,1.91,1.87,2.91,3.63
27,Weighted Average Shares Outstanding,114986000,114986000,114986000,52668000,140726000,152581000,158074000,162435000,163831000,170385000,172621000,174315000,169100000,171000000,164200000,163200000
28,Weighted Average Shares Outstanding Diluted,134244000,134244000,134244000,130438000,156406000,163781000,166329000,168183000,169289000,176141000,176338000,178079000,174200000,175000000,167700000,167100000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1262039/000126203911000007/ftnt10k.htm,https://www.sec.gov/Archives/edgar/data/1262039/000126203912000013/0001262039-12-000013-index.html,https://www.sec.gov/Archives/edgar/data/1262039/000126203913000009/0001262039-13-000009-index.html,https://www.sec.gov/Archives/edgar/data/1262039/000126203914000007/ftnt-201310k.htm,https://www.sec.gov/Archives/edgar/data/1262039/000126203915000009/ftnt-201410k.htm,https://www.sec.gov/Archives/edgar/data/1262039/000126203916000053/0001262039-16-000053-index.html,https://www.sec.gov/Archives/edgar/data/1262039/000126203917000008/0001262039-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/1262039/000126203918000009/0001262039-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/1262039/000126203919000006/0001262039-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/1262039/000126203920000011/0001262039-20-000011-index.html,https://www.sec.gov/Archives/edgar/data/1262039/000126203921000008/0001262039-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1262039/000126203922000008/0001262039-22-000008-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,71411000,56571000,212458000,66859000,71990000,122975000,115873000,283254000,543277000,709003000,811004000,1112400000,1222500000,1061800000,1319100000
32,Short-Term Investments,- -,18750000,67619000,47856000,246651000,318283000,290719000,375497000,436766000,348074000,376522000,440273000,537200000,843100000,775500000,1232600000
33,Cash and Short-Term Investments,- -,90161000,124190000,260314000,313510000,390273000,413694000,491370000,720020000,891351000,1085525000,1251277000,1649600000,2065600000,1837300000,2551700000
34,Net Receivables,- -,27478000,46043000,54551000,72336000,95522000,107642000,130471000,184741000,259563000,312998000,348185000,444500000,544300000,720000000,807700000
35,Inventory,- -,14020000,11419000,10649000,13517000,16249000,21060000,48672000,69477000,83868000,106887000,77291000,90000000,117900000,139800000,175800000
36,Other Current Assets,- -,2937000,3339000,16703000,20795000,21526000,26878000,65033000,72627000,35761000,33306000,40067000,36800000,41200000,43300000,65400000
37,Total Current Assets,- -,134596000,184991000,342217000,420158000,523570000,569274000,735546000,1046865000,1270543000,1538716000,1716820000,2220900000,2769000000,2740400000,3600600000
38,PP&E,- -,2943000,3425000,6387000,7056000,7966000,25638000,36652000,58919000,91067000,137249000,245395000,271400000,344300000,448000000,687600000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,2872000,2824000,4692000,14553000,14553000,38200000,67200000,93000000,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,2117000,6841000,2832000,17640000,24828000,16255000,22100000,31100000,31600000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,2117000,9713000,5656000,22332000,39381000,30808000,60300000,98300000,124600000,188700000
42,Investments,- -,- -,- -,- -,73950000,148414000,325892000,351675000,271724000,272959000,224983000,98022000,67000000,144300000,118300000,440800000
43,Tax Assets,- -,- -,- -,31671000,37443000,46523000,48525000,30058000,31080000,119216000,182745000,146932000,255000000,232600000,245200000,342300000
44,Other Non-Current Assets,- -,7653000,10689000,6938000,6815000,8274000,4051000,4820000,10530000,14393000,16867000,19939000,203400000,297000000,368000000,659100000
45,Total Non-Current Assets,- -,10596000,14114000,44996000,125264000,211177000,406223000,432918000,377909000,519967000,601225000,541096000,857100000,1116500000,1304100000,2318500000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,145192000,199105000,387213000,545422000,734747000,975497000,1168464000,1424774000,1790510000,2139941000,2257916000,3078000000,3885500000,4044500000,5919100000
48,Accounts Payable,- -,8460000,7004000,10987000,12761000,19768000,20816000,35599000,49947000,61500000,56732000,70009000,86400000,96400000,141600000,148400000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,917000,- -,- -,- -,- -,- -,21421000,2689000,8379000,13588000,21435000,28200000,4100000,- -,- -
51,Deferred Revenue,- -,89618000,118297000,140537000,169648000,206928000,247268000,293664000,368929000,514652000,645342000,793820000,965900000,1173600000,1392800000,1777400000
52,Other Current Liabilities,- -,23656000,24967000,29041000,35973000,40168000,51220000,83798000,77580000,102518000,127366000,163394000,204100000,203600000,295100000,392300000
53,Total Current Liabilities,- -,121734000,150268000,180565000,218382000,266864000,319304000,413061000,496456000,678670000,829440000,1027223000,1256400000,1473600000,1829500000,2318100000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,988400000
55,Deferred Revenue,- -,41637000,53320000,61393000,82983000,87905000,115917000,138964000,189828000,276651000,390007000,542494000,720900000,962300000,1212500000,1675500000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,746000,746000,2803000,11603000,21624000,29342000,30679000,62524000,79812000,82813000,98822000,90500000,127700000,146500000,138700000
58,Total Non-Current Liabilities,- -,42383000,54066000,64196000,94586000,109529000,145259000,169643000,252352000,356463000,472820000,641316000,811400000,1090000000,1359000000,2802600000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,164117000,204334000,244761000,312968000,376393000,464563000,582704000,748808000,1035133000,1302260000,1668539000,2067800000,2563600000,3188500000,5120700000
62,Preferred Stock,- -,94368000,94368000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,20000,21000,67000,75000,156000,162000,161000,166000,171000,173000,168000,200000,200000,200000,200000
64,Retained Earnings,- -,-127514000,-120151000,-59972000,-18727000,43765000,110601000,121863000,113645000,68481000,37620000,-319580000,-57500000,140300000,-352100000,-467900000
65,Other Comprehensive Income/Loss,- -,783000,-300000,1084000,2181000,402000,3091000,1092000,-349000,-933000,-765000,-847000,-800000,1100000,700000,-4800000
66,Other Total Stockholders Equity,- -,13418000,20833000,201273000,248925000,314031000,397080000,462644000,562504000,687658000,800653000,909636000,1068300000,1180300000,1207200000,- -
67,Total Stockholders Equity,- -,-18925000,-5229000,142452000,232454000,358354000,510934000,585760000,675966000,755377000,837681000,589377000,1010200000,1321900000,856000000,781700000
68,Total Liabilities And Stockholders Equity,- -,145192000,199105000,387213000,545422000,734747000,975497000,1168464000,1424774000,1790510000,2139941000,2257916000,3078000000,3885500000,4044500000,5902400000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16700000
70,Total Liabilities & Equity,- -,145192000,199105000,387213000,545422000,734747000,975497000,1168464000,1424774000,1790510000,2139941000,2257916000,3078000000,3885500000,4044500000,5919100000
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1262039/000126203911000007/ftnt10k.htm,https://www.sec.gov/Archives/edgar/data/1262039/000126203912000013/0001262039-12-000013-index.html,https://www.sec.gov/Archives/edgar/data/1262039/000126203913000009/0001262039-13-000009-index.html,https://www.sec.gov/Archives/edgar/data/1262039/000126203914000007/ftnt-201310k.htm,https://www.sec.gov/Archives/edgar/data/1262039/000126203915000009/ftnt-201410k.htm,https://www.sec.gov/Archives/edgar/data/1262039/000126203916000053/0001262039-16-000053-index.html,https://www.sec.gov/Archives/edgar/data/1262039/000126203917000008/0001262039-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/1262039/000126203918000009/0001262039-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/1262039/000126203919000006/0001262039-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/1262039/000126203920000011/0001262039-20-000011-index.html,https://www.sec.gov/Archives/edgar/data/1262039/000126203921000008/0001262039-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1262039/000126203922000008/0001262039-22-000008-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,-5344000,-21842000,7363000,60179000,41245000,62492000,66836000,44273000,25343000,7987000,32187000,31399000,332200000,326500000,488500000,606800000
74,Depreciation and Amortization,3509000,4153000,4234000,5935000,5696000,6989000,11564000,15623000,22028000,31589000,48520000,55476000,55700000,61600000,68800000,84400000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,1207000,9332000,5299000,7461000,9315000,19015000,30690000,43909000,58994000,95088000,122423000,137183000,162900000,174100000,191700000,207900000
77,Change in Working Capital,3998000,-8123000,21861000,126929000,40124000,54930000,-6736000,72515000,227924000,41464000,117403000,-19679000,274903000,330900000,-384500000,402400000
78,Accounts Receivable,-2329000,-2268000,-18350000,-8508000,-17784000,-23246000,-12120000,-22080000,-55888000,-66464000,-57875000,-38455000,-82000000,-96700000,-176400000,-72500000
79,Inventory,-5801000,-6597000,-189000,-2012000,-5946000,-6034000,-11303000,-35093000,-32459000,-19088000,-43023000,9423000,-33400000,-48500000,-42200000,-19400000
80,Accounts Payable,1936000,970000,-1864000,3046000,2437000,6801000,961000,10485000,18033000,-2517000,39000,13090000,14600000,7700000,37400000,-13100000
81,Other Working Capital,20985000,12862000,34723000,161652000,201776000,256706000,249970000,322485000,550409000,591873000,709276000,689597000,964500000,1295400000,910900000,450900000
