,https://roic.ai/company/IMAHF,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1255744,612514
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1255744,-612514
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-Infinity,-Infinity
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1981730,2881230,1539710,440620,556950,- -,- -
6,General and Administrative Exp.,- -,- -,- -,160000,180000,320000,210000,390000,430000,580000,410000,920000,680000,650000,640000,710000,1448770,1165260,958250,937860,875880,654225,565619
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",135995,117789,123345,158749,188843,310933,220543,408287,438464,582856,392238,986557,1103026,648271,644810,713803,3430500,4046491,2497954,937860,875877,654225,565619
9,Other Expenses,2187,1436,1082,1141,646,3552,- -,643,1063,1275,1618,1870,247554,10423,8338,69633,-1975745,-2874583,-1537512,-1,-5,- -,- -
10,Operating Expenses,138182,119225,124427,159891,189489,314485,220543,408931,439527,584131,393856,988427,1350580,658694,653148,783436,3436485,4053138,2500152,1378479,1432822,654225,565619
11,COGS and Expenses,138182,119225,124427,170000,210000,330000,270000,200000,330000,570000,410000,1010000,1270000,870000,1030000,930000,3572670,4456920,2990680,1833920,1661460,1909969,1178133
12,Interest Income ,- -,- -,- -,- -,- -,- -,3319,- -,- -,- -,1308,1880,14408,54,1398,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,24140,- -,- -,- -,- -,149081,119287,100646,176672,372968,683765,1161339,1578631,1917386,2321619,3126824,3725237
14,Depreciation and Amortization,2187,1436,1082,1141,646,3552,- -,643,1063,1275,1618,1870,3468,10423,8338,8377,142174,6647,2198,3138,4602,4525,7294
15,EBITDA,-9811,-176964,136603,-170000,-170000,-320000,-130000,-460000,-290000,-610000,-370000,-1090000,-1310000,-860000,-1020000,-920000,-3566680,-4450270,-2988480,-1830780,-1656860,-1965792,-1170839
16,EBITDA ratio,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,-264366,-60050,-384376,-159891,-189489,-314485,-220543,-408931,-439527,-584131,-410000,-1010000,-1270000,-870000,-886533,-783436,-3436485,-4053138,-2500152,-1833920,-1661460,-1909969,-1178133
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),-130073,70776,-259949,-10109,-511,-15515,20543,78931,129527,-5869,20000,-40000,-20000,2590000,-263467,-3216564,1429645,-548712,-2759598,-849730,-2048200,-3206781,-3721126
20,Income Before Tax,- -,- -,- -,-170000,-190000,-330000,-200000,-330000,-310000,-590000,-390000,-1050000,-1290000,1720000,-1150000,-4000000,-2006840,-4601850,-5259750,-2683650,-3709660,-5116750,-4899259
21,Income Before Tax Ratio,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-268924,-48592,-385210,-170000,-190000,-330000,-200000,-330000,-310000,-590000,-390000,-1050000,-1290000,1720000,-1150000,-4000000,-2006840,-4601850,-5259750,-2683650,-3709660,-5116750,-4899259
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-0.05,-0.01,-0.07,-0.03,0.02,-0.03,-0.02,-0.03,-0.02,-0.03,-0.02,-0.03,-0.03,0.03,-0.02,-0.06,-0.03,-0.06,-0.06,-0.03,-0.04,-0.05,-0.05
26,EPS Diluted,-0.05,-0.01,-0.07,-0.03,0.02,-0.03,-0.02,-0.03,-0.02,-0.03,-0.02,-0.03,-0.03,0.03,-0.02,-0.06,-0.03,-0.06,-0.06,-0.03,-0.04,-0.05,-0.05
27,Weighted Average Shares Outstanding,5782365,5782365,5782365,8482365,8849557,10267200,11977299,14135644,16087792,18162006,26180224,33356319,40081808,60648274,61971465,71207078,77666169,83299436,88064107,89554420,91056189,93067801,93730212
28,Weighted Average Shares Outstanding Diluted,5782365,5782365,5782365,8482365,8849557,10311709,11977299,14135644,16087792,18162006,26180224,33356319,40081808,60648274,61971465,71207078,77666169,83299436,88064107,89554420,91056189,93067801,93730212
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1405663/000147237515000189/0001472375-15-000189-index.html,https://www.sec.gov/Archives/edgar/data/1405663/000147237516000395/0001472375-16-000395-index.html,https://www.sec.gov/Archives/edgar/data/1405663/000147237517000079/0001472375-17-000079-index.html,https://www.sec.gov/Archives/edgar/data/1405663/000147237518000093/0001472375-18-000093-index.htm,https://www.sec.gov/Archives/edgar/data/1405663/000147237519000040/0001472375-19-000040-index.htm,https://www.sec.gov/Archives/edgar/data/1405663/000147237520000037/0001472375-20-000037-index.htm,https://www.sec.gov/Archives/edgar/data/1405663/000147237521000073/0001472375-21-000073-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,30000,20000,10000,1680000,980000,90000,70000,30000,1310000,4240000,10000,40000,600000,272040,128350,287280,213320,241720,347887,110684
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,30000,20000,10000,1680000,980000,90000,70000,30000,1310000,4240000,10000,40000,600000,272040,128350,287280,213320,241720,347887,110684
34,Net Receivables,- -,- -,- -,10000,- -,- -,10000,10000,10000,40000,30000,20000,160000,30000,10000,10000,33500,21750,7170,6800,5710,9184,5819
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,10000,- -,10000,- -,- -,- -,- -,- -,10000,110000,40000,100000,252820,45500,65260,35730,54160,18816,65967
37,Total Current Assets,- -,- -,- -,40000,30000,10000,1700000,990000,100000,110000,60000,1330000,4410000,150000,90000,710000,558360,195600,359710,255850,301590,375887,182470
38,PP&E,- -,- -,- -,420000,800000,1240000,1840000,2720000,3590000,4830000,4990000,6310000,8540000,10240000,11620000,13470000,320480,313840,314940,1160020,1906930,1907270,1937849
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,80000,310000,590000,740000,620000,730000,790000,750000,750000,750000,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,-10000,20000,-80000,-300000,-590000,-740000,-620000,-730000,-730000,-700000,-690000,-740000,14930,14930,14930,28730,28730,29208,29208
45,Total Non-Current Assets,- -,- -,- -,420000,790000,1260000,1840000,2730000,3590000,4830000,4990000,6310000,8600000,10290000,11680000,13480000,335410,328770,329870,1188750,1935660,1936478,1967057
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,460000,820000,1270000,3540000,3720000,3690000,4940000,5050000,7640000,13010000,10440000,11770000,14190000,893770,524370,689580,1444600,2237250,2312365,2149527
48,Accounts Payable,- -,- -,- -,10000,150000,- -,160000,60000,30000,110000,70000,120000,180000,- -,- -,430000,- -,- -,- -,- -,150770,157419,160503
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,568842,50022,- -,- -,- -,- -,342063,787649,2215991,- -,- -,6587526,14147964,18240855,22685537,27589617,32057456
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,896756
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,120000,270000,140000,241158,59978,150000,140000,460000,150000,507937,582351,524009,160000,876840,1538944,2357546,1775815,1320143,1602216,2737963
53,Total Current Liabilities,- -,- -,- -,130000,420000,140000,970000,170000,180000,250000,530000,270000,1030000,1370000,2740000,590000,876840,8126470,16505510,20016670,24156450,29349252,34955922
54,Long-Term Debt,- -,- -,- -,- -,- -,470000,- -,- -,- -,- -,- -,490000,410000,- -,- -,4190000,6976560,3871400,165210,- -,- -,- -,9966
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,1950000,2000000,1910000,2320000,620000,730000,780000,750000,990000,3930000,1245460,-10,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,470000,1950000,2000000,1910000,2320000,620000,1220000,1190000,750000,990000,8120000,8222020,3871390,165210,- -,- -,- -,9966
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,59862,50022,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37948
61,Total Liabilities,- -,- -,- -,130000,420000,610000,2920000,2170000,2090000,2570000,1150000,1490000,2220000,2120000,3730000,8710000,9098860,11997860,16670720,20016670,24156450,29349252,34965888
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,5340000,6010000,6760000,7410000,9400000,9760000,11500000,11990000,14890000,19010000,13880000,14760000,15940000,16586070,17963270,18658120,18788000,19118230,19225087,19225087
64,Retained Earnings,- -,- -,- -,-5010000,-5680000,-6270000,-7020000,-8250000,-8630000,-10110000,-8900000,-11560000,-13830000,-7010000,-8160000,-12160000,-26755670,-31357510,-36617260,-39300910,-43010570,-48127316,-53906790
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,79497,168677,221524,- -,28437,305825,- -,-10000,-10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,-2865,1447,4696,395238,446537,674761,808507,2909216,5606586,1450818,1444875,1699698,1964517,1920745,1978007,1940844,1973135,1865342,1865342
67,Total Stockholders Equity,- -,- -,- -,328062,406633,660124,616219,1545238,1604974,2370586,3898507,6229216,10776586,8320818,8044875,5479698,-8205083,-11473495,-15981133,-18572066,-21919205,-27036887,-32816361
68,Total Liabilities And Stockholders Equity,- -,- -,- -,458062,826633,1270124,3536219,3715238,3694974,4940586,5048507,7719216,12996586,10440818,11774875,14189698,893777,524365,689587,1444604,2237245,2312365,2149527
69,Minority Interest,- -,- -,- -,1938,-6633,-124,3781,4762,-4974,-586,1493,-79216,13414,-818,-4875,302,-7,5,-7,-4,5,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,460000,820000,1270000,3540000,3720000,3690000,4940000,5050000,7640000,13010000,10440000,11770000,14190000,893770,524370,689580,1444600,2237250,2312365,2149527
