,https://roic.ai/company/NEWT,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,11882126,8710242,23800186,34624151,60492800,70179786,96799000,87905000,92835000,98885000,105711000,112719000,125339000,131130000,143593000,- -,62369000,64218000,76553000,77692000,88791000,74959000,147761000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,51109000,58312000,68187000,69145000,94497000,100121000,- -,12753000,15234000,19292000,21082000,14305000,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,47776000,47399000,44532000,56194000,36633000,43472000,- -,49616000,48984000,57261000,56610000,74486000,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.4831,0.4484,0.3951,0.4483,0.2794,0.3027,- -,0.7955,0.7628,0.7480,0.7286,0.8389,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,1420735,4915681,4725351,7711200,8407347,10842688,16236000,17288000,20724000,38848000,34271000,36090000,39174000,17732000,20729000,- -,12697000,16255000,16159000,18363000,29393000,27726000,13064000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1420735,4915681,4725351,7711200,8407347,10842688,16236000,17288000,20724000,38848000,34271000,36090000,39174000,17732000,20729000,- -,12697000,16255000,16159000,18363000,29393000,27726000,13064000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,10122000,7680000,6618000,4718000,3846000,4606000,- -,13079000,15530000,19239000,22574000,15099000,- -,49228000
