,https://roic.ai/company/PING,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,172539000,201562000,242898000,243589000,299449000
2,COGS,35835000,44611000,55704000,68211000,94882000
3,Gross Profit,136704000,156951000,187194000,175378000,204567000
4,Gross Profit Ratio,0.7923,0.7787,0.7707,0.7200,0.6831
5,Research and Development Exp.,26215000,36229000,46016000,48934000,78512000
6,General and Administrative Exp.,20202000,28355000,38293000,47198000,71581000
7,Selling and Marketing Exp.,49481000,60140000,78889000,88910000,117459000
8,"Selling, General and Administrative Exp.",69683000,88495000,117182000,136108000,189040000
9,Other Expenses,16526000,16341000,16639000,16997000,17437000
10,Operating Expenses,112424000,141065000,179837000,202039000,284989000
11,COGS and Expenses,148259000,185676000,235541000,270250000,379871000
12,Interest Income ,- -,- -,- -,- -,- -
13,Interest Expense (Gain),19277000,15837000,12914000,2433000,3010000
14,Depreciation and Amortization,29152000,30737000,32977000,37266000,44384000
15,EBITDA,54205000,36503000,36165000,13552000,-35942000
16,EBITDA ratio,0.3142,0.1811,0.1489,0.0556,-0.1200
17,Operating Income,24280000,15886000,7357000,-26661000,-79025000
18,Operating Income ratio,0.1407,0.0788,0.0303,-0.1095,-0.2639
19,Total Other Income Expenses (Gains),-18504000,-25957000,-17083000,514000,-4311000
20,Income Before Tax,5776000,-10071000,-9726000,-26147000,-83336000
21,Income Before Tax Ratio,0.0335,-0.0500,-0.0400,-0.1073,-0.2783
22,Income Tax expense (Gain),-13185000,3375000,-8222000,-14256000,-18945000
23,Net Income,18961000,-13446000,-1504000,-11891000,-64391000
24,Net Income ratio,0.1099,-0.0667,-0.0062,-0.0488,-0.2150
25,EPS,0.24,-0.17,-0.02,-0.15,-0.78
26,EPS Diluted,0.24,-0.17,-0.02,-0.15,-0.78
27,Weighted Average Shares Outstanding,77641506,77641506,68906000,80430000,82302000
28,Weighted Average Shares Outstanding Diluted,77641506,77641506,68906000,80430000,82302000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1679826/000155837020002034/0001558370-20-002034-index.htm,https://www.sec.gov/Archives/edgar/data/1679826/000155837021001638/0001558370-21-001638-index.htm,https://www.sec.gov/Archives/edgar/data/1679826/000155837022001977/0001558370-22-001977-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,20969000,83499000,67637000,145733000,220607000
32,Short-Term Investments,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,20969000,83499000,67637000,145733000,220607000
34,Net Receivables,94989000,103543000,137673000,144838000,150509000
35,Inventory,- -,- -,- -,- -,- -
36,Other Current Assets,5502000,14390000,22356000,26152000,30028000
37,Total Current Assets,121460000,201432000,227666000,316723000,401144000
38,PP&E,5083000,5630000,11183000,25065000,23105000
39,Goodwill,401724000,417696000,417696000,441150000,528548000
40,Intangible Assets,225958000,207043000,187868000,180422000,190077000
41,Intangible Assets,627682000,624739000,605564000,621572000,718625000
42,Investments,- -,- -,- -,- -,- -
43,Tax Assets,1711000,1829000,2755000,3962000,6201000
44,Other Non-Current Assets,20287000,23393000,25643000,23129000,28958000
45,Total Non-Current Assets,654763000,655591000,645145000,673728000,776889000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,776223000,857023000,872811000,990451000,1178033000
48,Accounts Payable,1790000,1766000,1118000,2795000,4528000
49,Short-Term Debt,- -,- -,- -,3979000,5462000
50,Tax Payable,- -,- -,- -,- -,- -
51,Deferred Revenue,31494000,31493000,45446000,49203000,71957000
