,https://roic.ai/company/AJG,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,81600000,107800000,122900000,156000000,173200000,198200000,231700000,272700000,302100000,346900000,412000000,456700000,455000000,522100000,605800000,699176000,910043000,1101222000,1263800000,1480300000,1483900000,1534000000,1623300000,1611200000,1729300000,1864200000,2134700000,2520300000,3179600000,4626500000,5392400000,5594800000,6159600000,6934000000,7119700000,7009400000,8190500000
2,COGS,23400000,35300000,42200000,73500000,- -,- -,- -,86900000,97300000,105100000,122400000,138100000,146300000,162900000,297400000,214722000,269832000,306953000,262800000,277500000,322300000,322400000,437000000,391100000,324300000,1181500000,1358100000,1605000000,2122300000,3226500000,3780400000,3947500000,4388200000,4983900000,4830900000,4500300000,5233700000
3,Gross Profit,58200000,72500000,80700000,82500000,- -,- -,- -,185800000,204800000,241800000,289600000,318600000,308700000,359200000,308400000,484454000,640211000,794269000,1001000000,1202800000,1161600000,1211600000,1186300000,1220100000,1405000000,682700000,776600000,915300000,1057300000,1400000000,1612000000,1647300000,1771400000,1950100000,2288800000,2509100000,2956800000
4,Gross Profit Ratio,0.7132,0.6725,0.6566,0.5288,- -,- -,- -,0.6813,0.6779,0.6970,0.7029,0.6976,0.6785,0.6880,0.5091,0.6929,0.7035,0.7213,0.7921,0.8125,0.7828,0.7898,0.7308,0.7573,0.8125,0.3662,0.3638,0.3632,0.3325,0.3026,0.2989,0.2944,0.2876,0.2812,0.3215,0.3580,0.3610
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,39100000,53800000,61700000,53700000,- -,- -,- -,141100000,160900000,188900000,218700000,239500000,249900000,281500000,188900000,384164000,477279000,- -,- -,- -,- -,- -,- -,- -,1075700000,1117500000,1326100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",39100000,53800000,61700000,53700000,- -,- -,- -,141100000,160900000,188900000,218700000,239500000,249900000,281500000,188900000,384164000,477279000,576497000,758600000,735400000,894800000,889900000,911600000,988000000,1075700000,354600000,419000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
9,Other Expenses,1500000,2000000,2100000,2700000,144600000,168900000,203000000,6200000,6400000,7400000,8000000,9800000,11100000,11700000,15300000,16316000,- -,32430000,41100000,53300000,53400000,56400000,58600000,73700000,85600000,93100000,115200000,623600000,731000000,1026100000,1174900000,1148500000,1238300000,1322700000,1542900000,1468900000,1638700000
