,https://roic.ai/company/CGEM,2018,2019,2020,2021
0,INCOME STATEMENT, , , , 
1,Revenue,- -,- -,- -,18943
2,COGS,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -
5,Research and Development Exp.,9584000,16788000,43211000,57751
6,General and Administrative Exp.,5002000,5482000,17124000,29146
7,Selling and Marketing Exp.,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",5002000,5482000,17124000,29146
9,Other Expenses,- -,- -,- -,- -
10,Operating Expenses,14586000,22270000,60335000,86897
11,COGS and Expenses,14586000,22270000,60335000,- -
12,Interest Income ,397000,620000,888000,477
13,Interest Expense (Gain),- -,- -,- -,- -
14,Depreciation and Amortization,43000,70000,62000,- -
15,EBITDA,-14543000,-22200000,-60273000,-67485
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-3.5625
17,Operating Income,-14586000,-22270000,-60335000,-67954000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-3587.2882
19,Total Other Income Expenses (Gains),397000,616000,877000,67886515
20,Income Before Tax,-14189000,-21654000,-59458000,-67485
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-3.5625
22,Income Tax expense (Gain),- -,- -,- -,- -
23,Net Income,-14189000,-20657000,-51799000,-67485
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-3.5625
25,EPS,-1.24,-1.80,-1.37,-1.52
26,EPS Diluted,-1.24,-1.80,-1.37,-1.52
27,Weighted Average Shares Outstanding,11449625,11449625,41397847,43077330
28,Weighted Average Shares Outstanding Diluted,11449625,11449625,41397847,43077330
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1789972/000156459021016312/0001564590-21-016312-index.htm,https://www.sec.gov/Archives/edgar/data/1789972/000095017022004002/0000950170-22-004002-index.htm
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,33832000,63250000,168198000,59774000
32,Short-Term Investments,- -,35380000,42008000,- -
33,Cash and Short-Term Investments,33832000,98630000,210206000,59774000
34,Net Receivables,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -
36,Other Current Assets,387000,1461000,2072000,236790000
37,Total Current Assets,34219000,100091000,212278000,296564000
38,PP&E,233000,182000,130000,77000
39,Goodwill,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -
42,Investments,- -,- -,- -,230692000
43,Tax Assets,- -,- -,- -,- -
44,Other Non-Current Assets,188000,188000,2300000,-90148000
45,Total Non-Current Assets,421000,370000,2430000,140621000
46,Other Assets,- -,- -,- -,- -
47,Total Assets,34640000,100461000,214708000,437185000
48,Accounts Payable,296000,934000,9679000,3169000
49,Short-Term Debt,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -
52,Other Current Liabilities,1028000,1589000,4641000,8577000
53,Total Current Liabilities,1324000,2523000,14320000,11746000
54,Long-Term Debt,- -,- -,- -,- -
