,https://roic.ai/company/SUMR,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , 
1,Revenue,- -,896348,1451749,68117000,132369000,153481000,194485000,238172000,247227000,208173000,- -,205359000,194328000,189869000,173619000,173181000,- -,155299000
2,COGS,- -,- -,- -,42356000,85514000,98233000,124994000,156787000,167455000,143166000,- -,138418000,132577000,129674000,118500000,118296000,- -,104448000
3,Gross Profit,- -,896348,1451749,25761000,46855000,55248000,69491000,81385000,79772000,65007000,- -,66941000,61751000,60195000,55119000,54885000,- -,50851000
4,Gross Profit Ratio,- -,1.0000,1.0000,0.3782,0.3540,0.3600,0.3573,0.3417,0.3227,0.3123,- -,0.3260,0.3178,0.3170,0.3175,0.3169,- -,0.3274
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,20016000,34613000,41520000,55501000,67187000,41674000,38022000,- -,40273000,41292000,38878000,38880000,34823000,- -,29360000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,29009000,20839000,- -,18437000,15269000,14229000,12430000,14540000,- -,12574000
8,"Selling, General and Administrative Exp.",- -,- -,- -,20016000,34613000,41520000,55501000,67187000,70683000,58861000,- -,58710000,56561000,53107000,51310000,49363000,- -,41934000
9,Other Expenses,- -,322392,602648,1180000,2903000,4155000,3614000,6377000,7566000,6280000,- -,5548000,5011000,4197000,4182000,3720000,- -,3348000
10,Operating Expenses,- -,322392,602648,21196000,37516000,45675000,59115000,73564000,78249000,65141000,- -,64258000,61572000,57304000,55492000,53083000,- -,45282000
11,COGS and Expenses,939,322392,602648,63552000,123030000,143908000,184109000,230351000,245704000,208307000,- -,202676000,194149000,186978000,173992000,171379000,- -,149730000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,2059000,1498000,- -,2790000,4148000,3999000,- -,3455000,2682000,2968000,4442000,4871000,- -,4078000
14,Depreciation and Amortization,- -,- -,- -,1180000,2903000,4155000,5384000,6377000,7566000,6280000,- -,5548000,5011000,4197000,4182000,5553000,- -,5779000
15,EBITDA,-939,573956,849101,5973000,12242000,13728000,14026000,14198000,-60707000,6146000,- -,8231000,2197000,5357000,3809000,7355000,- -,8872000
16,EBITDA ratio,-Infinity,0.6403,0.5849,0.0877,0.0925,0.0894,0.0721,0.0596,-0.2456,0.0295,- -,0.0401,0.0113,0.0282,0.0219,0.0425,- -,0.0571
17,Operating Income,-939,573956,849101,4565000,9339000,9573000,10376000,7821000,-68273000,-134000,- -,2683000,-2814000,2891000,-373000,1802000,- -,4893000
18,Operating Income ratio,-Infinity,0.6403,0.5849,0.0670,0.0706,0.0624,0.0534,0.0328,-0.2762,-0.0006,- -,0.0131,-0.0145,0.0152,-0.0021,0.0104,- -,0.0315
19,Total Other Income Expenses (Gains),- -,- -,- -,228000,-2059000,-1498000,-1735000,-2790000,-4148000,-3999000,- -,-3455000,-2682000,-2968000,-4442000,-4871000,- -,-5878000
20,Income Before Tax,- -,573956,849101,4793000,7280000,8075000,8641000,5031000,-72421000,-4133000,- -,-772000,-5496000,-77000,-4815000,-3069000,- -,-985000
21,Income Before Tax Ratio,- -,0.6403,0.5849,0.0704,0.0550,0.0526,0.0444,0.0211,-0.2929,-0.0199,- -,-0.0038,-0.0283,-0.0004,-0.0277,-0.0177,- -,-0.0063
22,Income Tax expense (Gain),- -,265446,176756,1678000,2378000,2421000,2055000,1220000,-6768000,-1318000,- -,-527000,-1174000,441000,-564000,1095000,- -,117000
23,Net Income,-939,308510,672345,3115000,4902000,5654000,6587000,3811000,-65653000,-2815000,- -,-245000,-4322000,-2249000,-4251000,-4164000,- -,-1102000
24,Net Income ratio,-Infinity,0.3442,0.4631,0.0457,0.0370,0.0368,0.0339,0.0160,-0.2656,-0.0135,- -,-0.0012,-0.0222,-0.0118,-0.0245,-0.0240,- -,-0.0071
25,EPS,-0.00,0.36,0.54,2.07,2.97,3.31,3.87,1.98,-33.12,-1.44,- -,-0.12,-2.10,-1.09,-2.03,-1.97,- -,-0.52
26,EPS Diluted,-0.00,0.36,0.54,2.07,2.97,3.24,3.60,1.89,-33.12,-1.44,- -,-0.12,-2.10,-1.09,-2.07,-1.98,- -,-0.52
27,Weighted Average Shares Outstanding,222222,921277,1244443,1491776,1637142,1688669,1714643,1899704,1984572,1992190,- -,2016029,2056288,2069968,2091175,2108743,- -,2132275
28,Weighted Average Shares Outstanding Diluted,222222,921277,1244443,1500776,1637142,1748331,1823175,1980067,1984572,1992190,- -,2016029,2056288,2069968,2091175,2108743,- -,2133171
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1314772/000119312507046596/0001193125-07-046596-index.htm,https://www.sec.gov/Archives/edgar/data/1314772/000104746908003540/0001047469-08-003540-index.htm,https://www.sec.gov/Archives/edgar/data/1314772/000104746909003125/0001047469-09-003125-index.htm,https://www.sec.gov/Archives/edgar/data/1314772/000104746910001999/0001047469-10-001999-index.htm,https://www.sec.gov/Archives/edgar/data/1314772/000104746911002442/0001047469-11-002442-index.htm,https://www.sec.gov/Archives/edgar/data/1314772/000104746912001850/0001047469-12-001850-index.htm,https://www.sec.gov/Archives/edgar/data/1314772/000104746913002669/0001047469-13-002669-index.htm,https://www.sec.gov/Archives/edgar/data/1314772/000104746914002152/0001047469-14-002152-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1314772/000104746915001609/0001047469-15-001609-index.htm,https://www.sec.gov/Archives/edgar/data/1314772/000104746917000832/0001047469-17-000832-index.htm,https://www.sec.gov/Archives/edgar/data/1314772/000104746918000901/0001047469-18-000901-index.htm,https://www.sec.gov/Archives/edgar/data/1314772/000104746919000567/0001047469-19-000567-index.htm,https://www.sec.gov/Archives/edgar/data/1314772/000104746920001584/0001047469-20-001584-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1314772/000110465921037157/0001104659-21-037157-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,600000,5797,1771000,988000,932000,1138000,1215000,3132000,1573000,- -,1272000,999000,681000,721000,395000,- -,510000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,600000,5797,1771000,988000,932000,1138000,1215000,3132000,1573000,- -,1272000,999000,681000,721000,395000,- -,510000
34,Net Receivables,- -,- -,- -,21245000,29358000,32520000,46693000,47670000,45299000,34574000,- -,38794000,34137000,36640000,31223000,32787000,- -,25995000
35,Inventory,- -,- -,- -,19327000,30882000,32012000,45853000,50014000,49823000,38378000,- -,44010000,36140000,34035000,36066000,28056000,- -,25123000
36,Other Current Assets,- -,- -,- -,1104000,2097000,3566000,4052000,4360000,3668000,2722000,- -,3270000,1737000,950000,997000,2946000,- -,1850000
37,Total Current Assets,- -,- -,- -,43447000,63325000,69030000,97736000,103259000,101922000,77247000,- -,87346000,73013000,72306000,69007000,64184000,- -,53478000
38,PP&E,- -,- -,- -,9279000,11212000,11486000,14958000,17682000,16834000,14796000,- -,13080000,9965000,9640000,9685000,13366000,- -,8414000
39,Goodwill,- -,- -,- -,30820000,40452000,45496000,50375000,61908000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,9463000,15130000,15704000,14745000,30045000,21046000,21575000,- -,20679000,14813000,14046000,13300000,12896000,- -,11739000
41,Intangible Assets,- -,- -,- -,40283000,55582000,61200000,65120000,91953000,21046000,21575000,- -,20679000,14813000,14046000,13300000,12896000,- -,11739000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3848000,- -,- -,- -,- -,1001000
44,Other Non-Current Assets,25000,51205776,53108437,216000,416000,237000,181000,21000,518000,1749000,- -,1362000,98000,2038000,2224000,1097000,- -,105000
45,Total Non-Current Assets,25000,51205776,53108437,49778000,67210000,72923000,80259000,109656000,38398000,38120000,- -,35121000,28724000,25724000,25209000,27359000,- -,21259000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,25000,51205776,53108437,93225000,130535000,141953000,177995000,212915000,140320000,115367000,- -,122467000,101737000,98030000,94216000,91543000,- -,74737000
48,Accounts Payable,- -,- -,- -,17574000,23045000,- -,- -,22775000,18580000,15420000,- -,21878000,30684000,24642000,28120000,25396000,- -,27986000
49,Short-Term Debt,- -,- -,20000,17856000,1654000,2663000,1256000,736000,770000,1962000,- -,1641000,4500000,3250000,875000,3370000,- -,4474000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,4251000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,29966000,35651000,13607000,18558000,16310000,- -,8628000,7757000,9818000,8939000,7289000,- -,6064000
53,Total Current Liabilities,- -,- -,20000,35430000,24699000,32629000,36907000,41369000,37908000,33692000,- -,32147000,42941000,37710000,37934000,36055000,- -,38524000
54,Long-Term Debt,- -,- -,- -,3977000,42277000,31780000,51963000,62479000,64767000,47756000,- -,57097000,41206000,46353000,46805000,47359000,- -,29029000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,548000,1348000,1607000,8085000,11439000,4194000,3140000,- -,2378000,- -,1935000,2127000,3189000,- -,- -
57,Other Non-Current Liabilities,939,10264584,11494900,- -,- -,6957000,4579000,3726000,3498000,3289000,- -,2994000,2770000,-1610000,-1920000,-643000,- -,2064000
58,Total Non-Current Liabilities,939,10264584,11494900,4525000,43625000,40344000,64627000,77644000,72459000,54185000,- -,62469000,43976000,46678000,47012000,49905000,- -,31093000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5041000,- -,3842000
61,Total Liabilities,939,10264584,11494900,39955000,68324000,72973000,101534000,119013000,110367000,87877000,- -,94616000,86917000,84388000,84946000,85960000,- -,69617000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
