,https://roic.ai/company/ALSN,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,1926300000,2162800000,2141800000,1926800000,2127400000,1985800000,1840200000,2262000000,2713000000,2698000000,2081000000,2402000000
2,COGS,1098100000,1208300000,1187500000,1084900000,1151500000,1052000000,976000000,1131000000,1291000000,1304000000,1083000000,1257000000
3,Gross Profit,828200000,954500000,954300000,841900000,975900000,933800000,864200000,1131000000,1422000000,1394000000,998000000,1145000000
4,Gross Profit Ratio,0.4299,0.4413,0.4456,0.4369,0.4587,0.4702,0.4696,0.5000,0.5241,0.5167,0.4796,0.4767
5,Research and Development Exp.,101500000,116400000,115100000,97100000,103800000,92500000,88800000,105000000,131000000,154000000,147000000,171000000
6,General and Administrative Exp.,384900000,409100000,419000000,334900000,344600000,317100000,323900000,342000000,364000000,354000000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",384900000,409100000,419000000,334900000,344600000,317100000,323900000,342000000,364000000,354000000,- -,305000000
9,Other Expenses,-15400000,- -,-11500000,-5200000,-2600000,14000000,- -,- -,- -,-8000000,317000000,- -
10,Operating Expenses,471000000,525500000,522600000,426800000,445800000,423600000,412700000,447000000,495000000,500000000,464000000,476000000
11,COGS and Expenses,1569100000,1733800000,1710100000,1511700000,1597300000,1475600000,1388700000,1578000000,1786000000,1804000000,1547000000,1733000000
12,Interest Income ,3500000,900000,900000,800000,900000,700000,700000,- -,- -,- -,- -,- -
13,Interest Expense (Gain),281000000,218200000,152100000,133700000,139300000,140500000,101600000,103000000,121000000,134000000,137000000,116000000
14,Depreciation and Amortization,253800000,255700000,252500000,204000000,192600000,185400000,175900000,170000000,164000000,167000000,148000000,150000000
15,EBITDA,618100000,624500000,620800000,603800000,700000000,614700000,618800000,800000000,1090000000,1069000000,678000000,838000000
16,EBITDA ratio,0.3209,0.2887,0.2898,0.3134,0.3290,0.3095,0.3363,0.3537,0.4018,0.3962,0.3258,0.3489
17,Operating Income,341800000,429000000,420200000,409900000,512100000,428900000,451500000,652000000,923000000,892000000,534000000,669000000
18,Operating Income ratio,0.1774,0.1984,0.1962,0.2127,0.2407,0.2160,0.2454,0.2882,0.3402,0.3306,0.2566,0.2785
19,Total Other Income Expenses (Gains),-258500000,-278400000,-204000000,-143800000,-144000000,-140100000,-110200000,-125000000,-118000000,-124000000,-141000000,-97000000
20,Income Before Tax,83300000,150600000,216200000,266100000,368100000,288800000,341300000,527000000,805000000,768000000,393000000,572000000
21,Income Before Tax Ratio,0.0432,0.0696,0.1009,0.1381,0.1730,0.1454,0.1855,0.2330,0.2967,0.2847,0.1889,0.2381
22,Income Tax expense (Gain),53700000,47600000,-298000000,100700000,139500000,106500000,126400000,23000000,166000000,164000000,94000000,130000000
