,https://roic.ai/company/CTT,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , 
1,Revenue,- -,605465000,48271055,52245649,47582144,40017827,44199779,32047590,54310709,69122000,81855000,91295000,97857000,106709000,104290000,102161000
2,COGS,- -,- -,22904844,26051076,22643191,21431556,23648428,15360541,22880049,29658000,36323000,41531000,44981000,46196000,42393000,39836000
3,Gross Profit,- -,605465000,25366211,26194573,24938953,18586271,20551351,16687049,31430660,39464000,45532000,49764000,52876000,60513000,61897000,62325000
4,Gross Profit Ratio,- -,1.0000,0.5255,0.5014,0.5241,0.4644,0.4650,0.5207,0.5787,0.5709,0.5563,0.5451,0.5403,0.5671,0.5935,0.6101
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,-672011000,2312902000,14105484,13223166,13146387,10245969,9771787,14012778,10582924,12898000,16026000,19039000,19368000,20515000,23564000,20726000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",-672011000,2312902000,14105484,13223166,13146387,10245969,9771787,14012778,10582924,12898000,16026000,19039000,19368000,20515000,23564000,20726000
9,Other Expenses,- -,-1759376000,25093572,20827010,17253527,14412507,14479163,11276586,17730588,31386000,33914000,34299000,32215000,34524000,36689000,29735000
10,Operating Expenses,-672011000,553526000,39199056,34050176,30399914,24658476,24250950,25289364,28313512,44284000,49940000,53338000,51583000,55039000,60253000,50461000
11,COGS and Expenses,-672011000,553526000,62103900,60101252,53043105,46090032,47899378,40649905,51193561,73942000,86263000,94869000,96564000,101235000,102646000,90297000
12,Interest Income ,- -,- -,14547733,26571,5661,2287,1638,3247,177449,6000,44000,113000,262000,204000,51000,2000
13,Interest Expense (Gain),- -,13687206000,42295198,10013565,8560293,5435948,5049255,4704673,2635048,3573000,6706000,11187000,16255000,18616000,15123000,12679000
14,Depreciation and Amortization,21000000,37912000,170326,190177,206750,216700,275929,155571,97930,117000,139000,176000,210000,227000,166000,153000
15,EBITDA,-648011000,-3620944000,-10809158,-9744515,-7042677,-6292715,-3545548,-8336676,3392527,-4697000,-4225000,-2147000,-105542000,-75605000,-1561000,71769000
16,EBITDA ratio,-Infinity,-5.9804,-0.2239,-0.1865,-0.1480,-0.1572,-0.0802,-0.2601,0.0625,-0.0680,-0.0516,-0.0235,-1.0785,-0.7085,-0.0150,0.7025
17,Operating Income,-669011000,-17346062000,-13832845,-7855603,-5460961,-6072205,-3699599,-8602315,3117148,-4820000,-4408000,-3574000,1293000,- -,- -,- -
18,Operating Income ratio,-Infinity,-28.6492,-0.2866,-0.1504,-0.1148,-0.1517,-0.0837,-0.2684,0.0574,-0.0697,-0.0539,-0.0391,0.0132,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,- -,-39441837,-12092654,-10348759,-5873158,-5171133,-4594605,-2457599,-3567000,-6662000,-9936000,-123300000,-99922000,-18524000,47214000
20,Income Before Tax,-669011000,-17346062000,-53274682,-19948257,-15809720,-11945363,-8870732,-13196920,659549,-8387000,-11070000,-13510000,-122007000,-94448000,-16880000,59078000
21,Income Before Tax Ratio,-Infinity,-28.6492,-1.1037,-0.3818,-0.3323,-0.2985,-0.2007,-0.4118,0.0121,-0.1213,-0.1352,-0.1480,-1.2468,-0.8851,-0.1619,0.5783
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1127000,658000,675000
23,Net Income,-669011000,-17346062000,-53274682,-19948257,-15809720,-11945363,-8870732,-13196920,659549,-8387000,-11070000,-13510000,-122007000,-93321000,-17508000,58262000
24,Net Income ratio,-Infinity,-28.6492,-1.1037,-0.3818,-0.3323,-0.2985,-0.2007,-0.4118,0.0121,-0.1213,-0.1352,-0.1480,-1.2468,-0.8745,-0.1679,0.5703
25,EPS,-659.70,-17104.75,-17.80,-7.45,-6.17,-4.27,-2.92,-1.03,0.02,-0.21,-0.29,-0.34,-2.55,-1.90,-0.36,1.19
26,EPS Diluted,-659.70,-17104.75,-17.80,-7.45,-6.17,-4.27,-2.92,-1.03,0.02,-0.21,-0.29,-0.34,-2.55,-1.90,-0.36,1.19
27,Weighted Average Shares Outstanding,1014108,1014108,3164483,3164483,3164483,3164483,3164483,13145779,31600000,39348000,38830000,39751000,47937000,49038000,48816000,48442000
28,Weighted Average Shares Outstanding Diluted,1014108,1014108,3164483,3164483,3164483,3164483,3164483,13145779,31600000,39348000,38830000,39751000,47937000,49038000,48816000,48446000
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1341141/000119312507065575/0001193125-07-065575-index.htm,https://www.sec.gov/Archives/edgar/data/1341141/000119312508067148/0001193125-08-067148-index.htm,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1341141/000134114121000011/0001341141-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1341141/000134114122000014/0001341141-22-000014-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,202829000,1474780000,4100000,5636878,8788967,6848973,11221092,8613907,17365370,8025000,9108000,7805000,5614000,11487000,11924000,22963000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,202829000,1474780000,4100000,5636878,8788967,6848973,11221092,8613907,17365370,8025000,9108000,7805000,5614000,11487000,11924000,22963000
34,Net Receivables,- -,145207000,800000,992750,852227,644622,658355,593546,797976,2562000,3882000,4575000,7355000,7998000,8333000,5436000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,-446400000,8646297,8479651,7261434,3148331,2506470,2781001,3277000,4815000,5436000,7369000,5459000,5878000,6294000
37,Total Current Assets,202829000,1619987000,-441500000,15275925,18120845,14755029,15027778,11713923,20944347,13864000,17805000,17816000,20338000,24944000,26135000,34693000
38,PP&E,- -,- -,375100000,354761315,340003739,328561850,- -,- -,- -,- -,- -,- -,- -,3120000,2831000,2527000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,998941000,2800000,666060,499619,333178,115399,29634,26113,23000,19000,16000,12000,9000,5000,- -
41,Intangible Assets,- -,998941000,2800000,666060,499619,333178,115399,29634,26113,23000,19000,16000,12000,9000,5000,1000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11677000,96244000,1965000,1510000,1353000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,454600000,867857,1866919,1672550,335117065,327209945,547345518,585208000,692000000,710649000,688178000,633827000,576847000,468736000
45,Total Non-Current Assets,- -,998941000,832500000,356295232,342370277,330567578,335232464,327239579,547371631,585231000,692019000,722342000,784434000,638921000,581193000,472617000
46,Other Assets,126078000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,328907000,2618928000,391000000,371571157,360491122,345322607,350260242,338953502,568315978,599095000,709824000,740158000,804772000,663865000,607328000,507310000
48,Accounts Payable,- -,6794825000,12800000,2808318,2722366,1918281,1689288,3127857,- -,- -,- -,- -,- -,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,216841297,- -,- -,- -,- -,118000000,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,11600000,19470549,25764365,28960573,1326255,- -,2357925,3307000,4393000,4721000,4936000,3580000,4808000,3677000
53,Total Current Liabilities,- -,6794825000,24400000,239120164,28486731,30878854,3015543,3127857,120357925,3307000,4393000,4721000,4936000,3580000,4808000,3677000
54,Long-Term Debt,- -,- -,274300000,- -,168840592,122025672,132356123,52160000,118000000,181047000,320751000,330088000,472240000,456229000,440478000,300954000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,4926182,2504114,2609809,4801387,3734193,-114734294,3703000,3610000,2969000,5940000,10853000,32130000,18683000
58,Total Non-Current Liabilities,- -,- -,274300000,4926182,171344706,124635481,137157510,55894193,3265706,184750000,324361000,333057000,478180000,467082000,472608000,319637000
59,Other Liabilities,328907000,768728477000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3242000,2988000,2707000
61,Total Liabilities,328907000,775523302000,298700000,244046346,199831437,155514335,140173053,59022050,123623631,188057000,328754000,337778000,483116000,470662000,477416000,323314000
62,Preferred Stock,- -,- -,- -,50940352,54648732,48685499,48600055,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,200000,43201000,100000,194601,254988,314653,127203,233938,393574,390000,388000,434000,492000,490000,488000,489000
64,Retained Earnings,- -,- -,-71300000,-91238012,-113326358,-130620551,-139491344,-152688059,-167363988,-195341000,-226793000,-261652000,-409260000,-528847000,-572493000,-537477000
65,Other Comprehensive Income/Loss,- -,- -,-21500000,- -,- -,- -,-687674,268368,-855762,-1420000,1747000,2376000,8000,-8276000,-27893000,-11217000
66,Other Total Stockholders Equity,- -,53000627000,185000000,167627870,219082323,271428671,301538949,432117205,612518523,607409000,605728000,661222000,730416000,729274000,728662000,729960000
67,Total Stockholders Equity,-448011000,53043828000,92300000,127524811,160659685,189808272,210087189,279931452,444692347,411038000,381070000,402380000,321656000,192641000,128764000,181755000
