,https://roic.ai/company/ROCK,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,167900000,200100000,282800000,343000000,449700000,557900000,621918000,677540000,616028000,645114000,758261000,1014664000,1178236000,1303355000,1311818000,1232299000,834218000,685068000,766607000,790058000,827567000,862087000,1040873000,1007981000,986918000,1002372000,1047439000,1032578000,1339783000
2,COGS,135900000,163700000,235900000,275500000,367000000,443100000,476493000,520555000,499945000,517825000,610147000,804930000,959755000,1041459000,1082423000,996193000,709239000,566673000,621492000,640498000,669470000,722042000,853897000,763219000,750374000,760012000,802548000,776235000,1049772000
3,Gross Profit,32000000,36400000,46900000,67500000,82700000,114800000,145425000,156985000,116083000,127289000,148114000,209734000,218481000,261896000,229395000,236106000,124979000,118395000,145115000,149560000,158097000,140045000,186976000,244762000,236544000,242360000,244891000,256343000,290011000
4,Gross Profit Ratio,0.1906,0.1819,0.1658,0.1968,0.1839,0.2058,0.2338,0.2317,0.1884,0.1973,0.1953,0.2067,0.1854,0.2009,0.1749,0.1916,0.1498,0.1728,0.1893,0.1893,0.1910,0.1624,0.1796,0.2428,0.2397,0.2418,0.2338,0.2483,0.2165
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,30600000,41600000,57000000,72504000,75905000,78574000,77129000,89312000,117088000,120779000,141592000,148107000,154637000,116915000,109537000,108957000,104671000,113457000,102492000,134028000,161623000,143448000,146840000,157052000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",16400000,17500000,22100000,30600000,41600000,57000000,72504000,75905000,78574000,77129000,89312000,117088000,120779000,141592000,148107000,154637000,116915000,109537000,108957000,104671000,113457000,102492000,134028000,161623000,143448000,146840000,157052000,149153000,184723000
9,Other Expenses,3400000,3400000,4500000,6200000,8500000,13300000,17452000,21188000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,19800000,20900000,26600000,36800000,50100000,70300000,89956000,97093000,78574000,77129000,89312000,117088000,120779000,141592000,148107000,154637000,116915000,109537000,108957000,104671000,113457000,102492000,134028000,161623000,143448000,146840000,157052000,149153000,184723000
11,COGS and Expenses,155700000,184600000,262500000,312300000,417100000,513400000,566449000,617648000,578519000,594954000,699459000,922018000,1080534000,1183051000,1230530000,1150830000,826154000,676210000,730449000,745169000,782927000,824534000,987925000,924842000,893822000,906852000,959600000,925388000,1234495000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),1600000,1400000,4000000,3800000,- -,11400000,- -,18942000,16446000,10403000,14252000,14243000,25442000,27324000,31887000,29235000,25915000,21160000,19363000,18582000,22489000,14421000,15003000,14577000,14032000,12064000,2205000,703000,1639000
14,Depreciation and Amortization,3400000,3400000,4500000,6200000,8500000,13300000,17452000,21188000,23486000,20481000,22448000,25029000,28607000,27499000,33057000,33907000,32413000,26395000,- -,26344000,27050000,25432000,30548000,24114000,21690000,20374000,19949000,20915000,31966000
15,EBITDA,16500000,19600000,24900000,36800000,36000000,57700000,59482000,81080000,60995000,70641000,81250000,122521000,125366000,142173000,97680000,106763000,-19458000,-59302000,43555000,67088000,48703000,-44929000,82623000,88630000,113225000,112383000,106917000,110652000,134280000
16,EBITDA ratio,0.0983,0.0980,0.0880,0.1073,0.0801,0.1034,0.0956,0.1197,0.0990,0.1095,0.1072,0.1208,0.1064,0.1091,0.0745,0.0866,-0.0233,-0.0866,0.0568,0.0849,0.0589,-0.0521,0.0794,0.0879,0.1147,0.1121,0.1021,0.1072,0.1002
17,Operating Income,12200000,15500000,20300000,30700000,32600000,44500000,55469000,59892000,37509000,50160000,58802000,92646000,97702000,120304000,81288000,81469000,-52034000,-68106000,36158000,40261000,21480000,-70417000,48085000,72964000,92849000,93968000,87839000,107190000,96988000
