,https://roic.ai/company/PHAR,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , 
1,Revenue,405000,147000,690000,664000,1096000,573000,2999000,10613000,6844000,21186000,10828000,15873000,89620000,135130000,169022000,185694000,167682000
2,COGS,5213000,- -,25311000,- -,- -,91000,3530000,4267000,1112000,3427000,4800000,4683000,12445000,22180000,21355000,20601000,17826000
3,Gross Profit,-4808000,- -,-24621000,- -,- -,482000,-531000,6346000,5732000,17759000,6028000,11190000,77175000,112950000,147667000,165093000,149856000
4,Gross Profit Ratio,-11.8716,- -,-35.6826,- -,- -,0.8412,-0.1771,0.5979,0.8375,0.8382,0.5567,0.7050,0.8611,0.8359,0.8737,0.8891,0.8937
5,Research and Development Exp.,8921000,8410000,19088000,20857000,24525000,21159000,13830000,19350000,10232000,11663000,14180000,15388000,18657000,28882000,28368000,33712000,59333000
6,General and Administrative Exp.,- -,2808000,2824000,3108000,3570000,3313000,3262000,3450000,2518000,3324000,3744000,4642000,5974000,12221000,18913000,11723000,31175000
7,Selling and Marketing Exp.,2309000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1085000,3035000,31422000,34539000,39914000,45164000,50123000
8,"Selling, General and Administrative Exp.",2309000,2808000,2824000,3108000,3570000,3313000,3262000,3450000,2518000,3324000,4829000,7677000,37396000,46760000,58827000,56887000,81298000
9,Other Expenses,2403000,6605000,-22214000,1984000,647000,-555000,843000,-250000,-106000,-105000,-147000,-335000,-790000,-684000,-435000,7755000,-2210000
10,Operating Expenses,13633000,17823000,-302000,25949000,28742000,23917000,17935000,22550000,12644000,14882000,18862000,22730000,55263000,74958000,86760000,98354000,138421000
11,COGS and Expenses,18846000,17823000,25009000,25949000,28742000,24008000,21465000,26817000,13756000,18309000,23662000,27413000,67708000,97138000,108115000,118955000,156247000
12,Interest Income ,688000,2205000,3309000,2022000,426000,- -,- -,- -,- -,180000,119000,5000,3000,18000,1011000,626000,12568000
13,Interest Expense (Gain),9000,1295000,1328000,1345000,8284000,5017000,213000,2595000,3285000,175000,124000,3587000,17738000,14311000,11917000,5202000,5225000
14,Depreciation and Amortization,1042000,1208000,1408000,1421000,- -,- -,- -,- -,- -,- -,- -,756000,3415000,6559000,5177000,7276000,16535000
15,EBITDA,-16808000,-16044000,-33152000,-23439000,-23440000,-55626000,-16891000,-21498000,-11775000,-5592000,-9833000,-13193000,-68246000,21727000,63773000,51069000,41219000
16,EBITDA ratio,-41.5012,-109.1429,-48.0464,-35.2997,-21.3869,-97.0785,-5.6322,-2.0256,-1.7205,-0.2639,-0.9081,-0.8312,-0.7615,0.1608,0.3773,0.2750,0.2458
