,https://roic.ai/company/LAUR,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,440330000,338496000,316651000,484804000,603998000,472806000,648019000,875376000,1145761000,- -,- -,- -,- -,- -,3567117000,3913881000,4414682000,4291659000,4244192000,4377989000,3350224000,3250326000,1024917000,1086701000
2,COGS,359613000,285967000,270619000,413809000,541256000,396634000,529674000,714906000,951283000,- -,- -,- -,- -,- -,3148530000,3418449000,3838179000,3760016000,3615338000,3665134000,2746868000,2671557000,802458000,814490000
3,Gross Profit,80717000,52529000,46032000,70995000,62742000,76172000,118345000,160470000,194478000,- -,- -,- -,- -,- -,418587000,495432000,576503000,531643000,628854000,712855000,603356000,578769000,222459000,272211000
4,Gross Profit Ratio,0.1833,0.1552,0.1454,0.1464,0.1039,0.1611,0.1826,0.1833,0.1697,- -,- -,- -,- -,- -,0.1173,0.1266,0.1306,0.1239,0.1482,0.1628,0.1801,0.1781,0.2171,0.2505
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,22003000,26122000,19530000,21380000,25460000,46079000,- -,- -,- -,- -,- -,110078000,141197000,151215000,194686000,222496000,315471000,299264000,252179000,199790000,204370000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,22003000,26122000,19530000,21380000,25460000,46079000,- -,- -,- -,- -,- -,110078000,141197000,151215000,194686000,222496000,315471000,299264000,252179000,199790000,204370000
9,Other Expenses,20530000,26855000,38489000,345685000,468768000,23050000,5718000,4588000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,20530000,26855000,38489000,367688000,494890000,42580000,27098000,30048000,46079000,- -,- -,- -,- -,- -,110078000,141197000,151215000,194686000,222496000,315471000,299264000,252179000,199790000,204370000
11,COGS and Expenses,380143000,312822000,309108000,781497000,1036146000,439214000,556772000,744954000,997362000,- -,- -,- -,- -,- -,3258608000,3559646000,3989394000,3954702000,3837834000,3980605000,3046132000,2923736000,1002248000,1018860000
12,Interest Income ,- -,- -,- -,- -,- -,- -,20582000,9322000,20025000,- -,- -,- -,- -,- -,19467000,21805000,21822000,13328000,18670000,19669000,11856000,12209000,2169000,4378000
13,Interest Expense (Gain),943000,- -,7322000,9169000,8391000,8844000,7670000,10440000,37064000,- -,- -,- -,- -,- -,307728000,350196000,385754000,398042000,421936000,362904000,235235000,167331000,100894000,46275000
14,Depreciation and Amortization,32323000,46787000,30442000,37968000,31037000,25087000,30317000,50765000,48858000,- -,- -,- -,- -,- -,221235000,242725000,288331000,282946000,264879000,264742000,239998000,316029000,223719000,145256000
15,EBITDA,90557000,30743000,338678000,24011000,-60005000,82996000,107796000,156055000,215653000,- -,- -,- -,- -,- -,395966000,614489000,476734000,482470000,1123663000,652298000,978460000,1502500000,-418787000,529550000
16,EBITDA ratio,0.2057,0.0908,1.0696,0.0495,-0.0993,0.1755,0.1663,0.1783,0.1882,- -,- -,- -,- -,- -,0.1110,0.1570,0.1080,0.1124,0.2648,0.1490,0.2921,0.4623,-0.4086,0.4873
17,Operating Income,56457000,20547000,7543000,24874000,16376000,33592000,91247000,130422000,148399000,- -,- -,- -,- -,- -,250180000,320653000,299500000,336957000,382893000,356787000,290982000,326120000,-329302000,-4647000
