,https://roic.ai/company/WHEN,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,10000,10000,40000,20000,70000,60000,10000,10000,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,98159
2,COGS,- -,- -,30000,70000,40000,20000,60000,110000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,-20000,-60000,- -,- -,10000,-50000,10000,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,-2.0000,-6.0000,- -,- -,0.1429,-0.8333,1.0000,1.0000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,140000,20000,30000,2620000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,489210
6,General and Administrative Exp.,740000,520000,800000,2110000,1000000,- -,- -,- -,- -,- -,836818,17077,384932,- -,- -,- -,- -,- -,106885,- -,67676,65593,152292,523663
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",740000,520000,804033,2106038,1004387,672244,3578588,3245379,5564781,6268127,836818,17077,384932,115415,111539,134905,51817,41266,106885,137562,67676,65593,152292,523663
9,Other Expenses,10000,10000,1222,-3443,- -,- -,291560,529254,21138,1116,295,- -,-435000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,890000,550000,835255,4722595,1004387,672244,3870148,3774633,5585919,6269243,837113,17077,-50068,115415,111539,134905,51817,41266,106885,137562,67676,65593,152292,1012873
11,COGS and Expenses,890000,550000,860000,4790000,1040000,2280000,3930000,3780000,5110000,6200000,840000,20000,-420000,120000,48430000,130000,50000,41270,106890,251340,67680,-539690,152290,1012873
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6,13,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,30,4618,141,17,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,- -,- -,- -,- -,160000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39437
15,EBITDA,-890000,-620000,-860000,-4780000,-850000,-2260000,-3860000,-3720000,-4459970,-1575382,-839859,-20000,420000,-120000,-48430000,-130000,-50000,-41270,-106874,-271307,-67680,539690,-152290,-833356
16,EBITDA ratio,-Infinity,-Infinity,-86.0000,-478.0000,-21.2500,-113.0000,-55.1429,-62.0000,-445.9970,-157.5382,-83.9859,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-8.4899
17,Operating Income,-890000,-550000,-853330,-4778106,-1006786,-669539,-3862384,-3724598,-5578655,-6260549,- -,- -,-50068,-115415,-48428812,-134905,-51817,-41266,-106885,-137562,-67676,-65593,-152292,-914714
18,Operating Income ratio,-Infinity,-Infinity,-85.3330,-477.8106,-25.1697,-33.4770,-55.1769,-62.0766,-557.8655,-626.0549,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-9.3187
19,Total Other Income Expenses (Gains),- -,-70000,-6670,-1894,-3214,-1590461,2384,4598,478655,60549,- -,- -,470068,-4585,-1188,4905,1817,-4,5,-133758,-4,605283,2,41921
20,Income Before Tax,-890000,-620000,-860000,-4780000,-1010000,-2260000,-3860000,-3720000,-5100000,-6200000,-840000,-20000,420000,-120000,-48430000,-130000,-50000,-41270,-106880,-271320,-67680,539690,-152290,-872793
21,Income Before Tax Ratio,-Infinity,-Infinity,-86.0000,-478.0000,-25.2500,-113.0000,-55.1429,-62.0000,-510.0000,-620.0000,-84.0000,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-8.8916
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-890000,-620000,-860000,-4780000,-1010000,-2260000,-3860000,-3720000,-4460000,-1580000,-840000,-20000,420000,-120000,-48430000,-130000,-50000,-41270,-106880,-271320,-67680,539690,-152290,-872793
24,Net Income ratio,-Infinity,-Infinity,-86.0000,-478.0000,-25.2500,-113.0000,-55.1429,-62.0000,-446.0000,-158.0000,-84.0000,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-8.8916
25,EPS,-0.02,-0.01,-0.01,-0.04,-0.01,-0.01,-0.01,-0.01,-0.01,-0.00,-0.00,-0.00,0.00,-0.00,0.01,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,0.00,-0.00,-0.00
26,EPS Diluted,-0.02,-0.01,-0.01,-0.04,-0.01,-0.01,-0.01,-0.01,-0.01,-0.00,-0.00,-0.00,0.00,-0.00,0.01,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,0.00,-0.00,-0.00
27,Weighted Average Shares Outstanding,36100000,47990000,85577000,119468350,205691013,225868300,413423152,655309320,792788133,817347037,880000000,880000000,1810000000,2427028629,4257994016,18087335231,19789407996,19789407996,56035983338,89789407996,89789407996,89789407996,89789407996,60840910336
28,Weighted Average Shares Outstanding Diluted,36100000,47990000,85577000,119468350,205691013,225868300,413423152,655309320,792788133,817347037,880000000,880000000,1810000000,2427028629,4257994016,18087335231,19789407996,19789407996,56035983338,89789407996,89789407996,89789407996,89789407996,60840910336
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/943535/000149315214001783/0001493152-14-001783-index.htm,https://www.sec.gov/Archives/edgar/data/943535/000149315215001941/0001493152-15-001941-index.htm,https://www.sec.gov/Archives/edgar/data/943535/000149315216009016/0001493152-16-009016-index.htm,https://www.sec.gov/Archives/edgar/data/943535/000143774917012067/0001437749-17-012067-index.htm,https://www.sec.gov/Archives/edgar/data/943535/000149315219011000/0001493152-19-011000-index.htm,https://www.sec.gov/Archives/edgar/data/943535/000149315219011184/0001493152-19-011184-index.htm,https://www.sec.gov/Archives/edgar/data/943535/000149315220006335/0001493152-20-006335-index.htm,https://www.sec.gov/Archives/edgar/data/943535/000149315221008940/0001493152-21-008940-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,10000,- -,10000,- -,270000,- -,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,359949
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,10000,- -,10000,- -,270000,- -,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,359949
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,590,- -,- -,38908
35,Inventory,- -,- -,- -,- -,70000,60000,130000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,20000,- -,- -,-10000,- -,- -,- -,40000,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,3000,3000,23000,750,8356
37,Total Current Assets,- -,20000,10000,- -,70000,60000,400000,- -,50000,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,3000,3590,23000,750,407213
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,110000,- -,- -,- -,- -,26054
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,10000,10000,- -,- -,- -,- -,47830000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,2310000,720000,430000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,2310000,720000,430000,10000,10000,- -,- -,- -,- -,47830000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,331335,331335,331335,331335,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,10000,10000,10000,10000,10000,190000,10000,10000,20000,8665,8665,158665,158665,- -,- -,- -,- -,10000,- -,- -,- -,- -,24883
45,Total Non-Current Assets,- -,10000,10000,10000,2320000,730000,620000,20000,20000,20000,340000,340000,490000,48320000,- -,- -,- -,- -,120000,- -,- -,- -,- -,50937
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,30000,20000,10000,2390000,790000,1020000,20000,70000,30000,340000,340000,490000,48320000,- -,- -,- -,- -,120000,3000,3590,23000,750,458150
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,60000,- -,- -,- -,- -,- -,- -,- -,163157,26284
