,https://roic.ai/company/MRTX,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , 
1,Revenue,7710942,7681624,5758274,13749126,15652832,24235826,2884156,2388618,3028404,2010,- -,- -,- -,- -,- -,12926000,3335000,13398000,72092000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,5758274,13749126,- -,24235826,2884156,2388618,3028404,- -,- -,- -,- -,- -,- -,- -,- -,13398,- -
4,Gross Profit Ratio,- -,- -,1.0000,1.0000,- -,1.0000,1.0000,1.0000,1.0000,- -,- -,- -,- -,- -,- -,- -,- -,0.0010,- -
5,Research and Development Exp.,8102755,12277307,14882105,17811074,33127335,29331142,20014325,10872260,8473066,15137260,19797000,26071000,48959000,68487000,58085000,93872000,182866000,299349000,508594000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,5413990,11144000,12699000,15755000,15292000,13450000,21681000,42573000,83412000,136679000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,5413990,11144000,12699000,15755000,15292000,13450000,21681000,42573000,83412000,136679000
9,Other Expenses,- -,- -,4241534,-835076,- -,3700082,5433101,6225004,4338883,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,- -,19123640,16975998,- -,33031224,25447426,17097264,12811949,20551250,30941000,38770000,64714000,83779000,71535000,115553000,225439000,382761000,645273000
11,COGS and Expenses,11833226,16190419,19123640,16975998,38100576,33031224,25447426,17097264,12811949,20551250,30941000,38770000,64714000,83779000,71535000,115553000,225439000,382761000,645273000
12,Interest Income ,- -,- -,780152,2092759,- -,1358258,182409,54991,284035,263362,203000,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,16898,26288,- -,13147,20055,30995,27424,31161,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,826800,1273909,1097342,1281593,1476320,1066557,951199,702888,190010,122634,171000,199000,212000,180000,184000,175000,249000,641000,1781000
15,EBITDA,-3295484,-7816581,-12051185,138079,-20761385,-6412490,-21429663,-13950768,-9309500,-20166260,-30770000,-38571000,-64502000,-83599000,-71351000,-98243000,-212597000,-357426000,-577395000
16,EBITDA ratio,-0.4274,-1.0176,-2.0928,0.0100,-1.3264,-0.2646,-7.4301,-5.8405,-3.0741,-10031.0000,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-7.6004,-63.7472,-26.6776,-8.0091
17,Operating Income,-4122285,-8508795,-13365366,-3226872,-22447743,-8795399,-22563270,-14708647,-9783546,-20549240,-31966000,-39104000,-64714000,-83779000,-71535000,-102627000,-222104000,-369363000,-573181000
18,Operating Income ratio,-0.5346,-1.1077,-2.3211,-0.2347,-1.4341,-0.3629,-7.8232,-6.1578,-3.2306,-10221.5000,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-7.9396,-66.5979,-27.5685,-7.9507
19,Total Other Income Expenses (Gains),- -,-581695,199941,2057070,210037,1303205,162353,23996,- -,229185,-20916000,-4594000,170000,661000,1105000,4209000,8848000,11426000,-5304000
20,Income Before Tax,-4122285,-9090490,-13165424,-1169802,-22237706,-7492194,-22400917,-14684650,- -,-20320055,-52882000,-43698000,-64544000,-83118000,-70430000,-98418000,-213256000,-357937000,-578485000
21,Income Before Tax Ratio,-0.5346,-1.1834,-2.2863,-0.0851,-1.4207,-0.3091,-7.7669,-6.1478,- -,-10107.5000,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-7.6140,-63.9448,-26.7157,-8.0243
22,Income Tax expense (Gain),99665,56707,- -,5274751,- -,-114215,127972,3999,- -,39203,-23000,- -,- -,- -,- -,- -,- -,- -,3299000
23,Net Income,-4221949,-9147197,-13165424,-6444553,-22237706,-7377979,-22528889,-14688650,-9526934,-20359257,-52872000,-43684000,-64507000,-83143000,-70484000,-98418000,-212846000,-358067000,-582475000
24,Net Income ratio,-0.5475,-1.1908,-2.2863,-0.4687,-1.4207,-0.3044,-7.8113,-6.1494,-3.1459,-10127.0000,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-7.6140,-63.8219,-26.7254,-8.0796
