,https://roic.ai/company/IPGP,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,26490000,22180000,33740000,60707000,96385000,143225000,188677000,229076000,185894000,299256000,474482000,562528000,648034000,769832000,901265000,1006173000,1408889000,1459874000,1314581000,1200724000,1460860000
2,COGS,26223000,23277000,- -,42274000,62481000,79931000,103695000,121776000,121626000,152798000,217227000,257801000,308136000,353314000,409388000,453933000,611978000,659606000,708372000,661728000,764462000
3,Gross Profit,267000,-1097000,- -,18433000,33904000,63294000,84982000,107300000,64268000,146458000,257255000,304727000,339898000,416518000,491877000,552240000,796911000,800268000,606209000,538996000,696398000
4,Gross Profit Ratio,0.0101,-0.0495,- -,0.3036,0.3518,0.4419,0.4504,0.4684,0.3457,0.4894,0.5422,0.5417,0.5245,0.5411,0.5458,0.5489,0.5656,0.5482,0.4611,0.4489,0.4767
5,Research and Development Exp.,- -,8383000,- -,4831000,5788000,6544000,9527000,15804000,18543000,19160000,25422000,31401000,41660000,53403000,63334000,78552000,100870000,122769000,129997000,126898000,139573000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,29131000,34300000,20489000,28645000,37442000,39231000,50863000,55338000,57192000,66486000,80668000,102429000,107597000,110005000,125882000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,15157000,19100000,21731000,23845000,26692000,30637000,31868000,38393000,49801000,57815000,77745000,70583000,78180000
8,"Selling, General and Administrative Exp.",- -,33264000,- -,10542000,13834000,20744000,29131000,34300000,35646000,47745000,59173000,63076000,77555000,85975000,89060000,104879000,130469000,160244000,185342000,180588000,204062000
9,Other Expenses,63564000,9474000,- -,- -,- -,- -,- -,- -,1022000,-848000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,63564000,51121000,- -,15373000,19622000,27288000,38658000,50104000,55211000,66057000,84595000,94477000,119215000,139378000,152394000,183431000,231339000,283013000,315339000,307486000,343635000
11,COGS and Expenses,89787000,74398000,- -,57647000,82103000,107219000,142353000,171880000,176837000,218855000,301822000,352278000,427351000,492692000,561782000,637364000,843317000,942619000,1023711000,969214000,1108097000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6270000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,1252000,1188000,681000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,- -,- -,- -,7154000,7583000,9105000,12304000,15834000,19172000,21845000,23962000,26144000,31524000,35612000,42415000,51475000,64568000,80271000,96268000,94554000,96330000
15,EBITDA,-53607000,-48210000,-28210000,7565000,19090000,35343000,57721000,70599000,28328000,101924000,195977000,232619000,249825000,320086000,384159000,418076000,616465000,614524000,344617000,299480000,463361000
16,EBITDA ratio,-2.0237,-2.1736,-0.8361,0.1246,0.1981,0.2468,0.3059,0.3082,0.1524,0.3406,0.4130,0.4135,0.3855,0.4158,0.4262,0.4155,0.4376,0.4209,0.2621,0.2494,0.3172
17,Operating Income,-63297000,-52218000,33740000,3060000,14282000,36006000,46324000,57196000,9057000,80401000,175522000,208888000,218147000,283758000,342043000,364313000,551112000,523405000,233793000,198659000,367883000
18,Operating Income ratio,-2.3895,-2.3543,1.0000,0.0504,0.1482,0.2514,0.2455,0.2497,0.0487,0.2687,0.3699,0.3713,0.3366,0.3686,0.3795,0.3621,0.3912,0.3585,0.1778,0.1654,0.2518
19,Total Other Income Expenses (Gains),9694000,3843000,- -,-2569000,-2349000,-7887000,1286000,-632000,-1288000,-1149000,-938000,327000,154000,716000,-426000,2252000,759000,10990000,14583000,7033000,-1402000
20,Income Before Tax,-53603000,-48375000,- -,491000,11933000,28119000,47610000,56564000,7769000,79252000,174584000,209215000,218301000,284474000,341617000,366565000,551871000,534395000,248376000,205692000,366481000
21,Income Before Tax Ratio,-2.0235,-2.1810,- -,0.0081,0.1238,0.1963,0.2523,0.2469,0.0418,0.2648,0.3679,0.3719,0.3369,0.3695,0.3790,0.3643,0.3917,0.3661,0.1889,0.1713,0.2509
22,Income Tax expense (Gain),-3985000,1175000,- -,-1601000,4080000,-2995000,15522000,18111000,2485000,24900000,53575000,61471000,62521000,84029000,99590000,105849000,204283000,130226000,68115000,45354000,88615000
23,Net Income,-49622000,-49385000,-28210000,2012000,7427000,29233000,29895000,36654000,5419000,53991000,117759000,145004000,155780000,200445000,242154000,260752000,347614000,404027000,180234000,159572000,278416000
24,Net Income ratio,-1.8732,-2.2266,-0.8361,0.0331,0.0771,0.2041,0.1584,0.1600,0.0292,0.1804,0.2482,0.2578,0.2404,0.2604,0.2687,0.2592,0.2467,0.2768,0.1371,0.1329,0.1906
25,EPS,-2.17,-2.13,-0.93,0.01,0.16,0.27,0.69,0.82,0.12,1.16,2.48,2.87,3.02,3.85,4.59,4.91,6.50,7.55,3.40,3.00,5.21
26,EPS Diluted,-2.17,-2.13,-0.93,0.01,0.16,0.26,0.65,0.79,0.12,1.13,2.41,2.81,2.97,3.79,4.53,4.85,6.36,7.38,3.35,2.97,5.16
27,Weighted Average Shares Outstanding,23973000,23185446,38302000,38547000,26232000,27896000,43269000,44507000,45489000,46424000,47365000,50477000,51548000,52104000,52676000,53068000,53495000,53522000,53061000,53186000,53410000
28,Weighted Average Shares Outstanding Diluted,23973000,23185446,38302000,38547000,30167000,33005000,45749000,46223000,46595000,47594000,48685000,51536000,52375000,52824000,53427000,53797000,54699000,54726000,53839000,53785000,53930000
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1111928/000095013508001746/b68195ipe10vk.htm,https://www.sec.gov/Archives/edgar/data/1111928/000095013509001664/0000950135-09-001664-index.html,https://www.sec.gov/Archives/edgar/data/1111928/000095012310024694/0000950123-10-024694-index.html,https://www.sec.gov/Archives/edgar/data/1111928/000095012311025637/b84118e10vk.htm,https://www.sec.gov/Archives/edgar/data/1111928/000119312512081509/0001193125-12-081509-index.html,https://www.sec.gov/Archives/edgar/data/1111928/000119312513084799/0001193125-13-084799-index.html,https://www.sec.gov/Archives/edgar/data/1111928/000111192814000013/ipgp-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1111928/000111192815000040/ipgp-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1111928/000111192816000159/0001111928-16-000159-index.html,https://www.sec.gov/Archives/edgar/data/1111928/000111192817000055/0001111928-17-000055-index.html,https://www.sec.gov/Archives/edgar/data/1111928/000111192818000034/0001111928-18-000034-index.html,https://www.sec.gov/Archives/edgar/data/1111928/000111192819000035/0001111928-19-000035-index.html,https://www.sec.gov/Archives/edgar/data/1111928/000111192820000030/0001111928-20-000030-index.html,https://www.sec.gov/Archives/edgar/data/1111928/000111192821000026/0001111928-21-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1111928/000111192822000025/0001111928-22-000025-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,1379000,- -,2548000,8361000,75667000,37972000,51283000,82920000,147860000,180234000,384053000,448776000,522150000,582532000,623855000,909900000,544358000,680070000,876231000,709105000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,6950000,- -,- -,- -,25451000,- -,- -,- -,106584000,206779000,206257000,500432000,502546000,514835000,805400000
33,Cash and Short-Term Investments,- -,1379000,- -,2548000,8361000,75667000,44922000,51283000,82920000,147860000,205685000,384053000,448776000,522150000,689116000,830634000,1116157000,1044790000,1182616000,1391066000,1514505000
34,Net Receivables,- -,- -,- -,10806000,15434000,22353000,37091000,43810000,32914000,58062000,75755000,96630000,103803000,143109000,150479000,155901000,237278000,255509000,238479000,264321000,262121000
