,https://roic.ai/company/BMIX,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,- -,- -,791780,492129,63610,13323,43253,19716,15393,23446,10232
2,COGS,- -,- -,448830,446606,163149,218245,208840,126217,182168,129943,682370
3,Gross Profit,- -,- -,342950,45523,-99539,-204922,-165587,-106501,-166775,-106497,-672138
4,Gross Profit Ratio,- -,- -,0.4331,0.0925,-1.5648,-15.3811,-3.8283,-5.4018,-10.8345,-4.5422,-65.6898
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,152655,1920511,1901345,1183257,1117699,1217217,1052830,1097569,1175056,1373608
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,152655,1920511,1901345,1183257,1117699,1217217,1052830,1097569,1175056,1373608
9,Other Expenses,- -,- -,855533,216,- -,- -,- -,- -,- -,- -,1906906
10,Operating Expenses,- -,152655,2776044,1901561,1183257,1117699,1217217,1052830,1097569,1175056,3280514
11,COGS and Expenses,- -,152655,3224874,2348167,1346406,1335944,1426057,1179047,1279737,1304999,3962884
12,Interest Income ,- -,- -,470,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,2500,94324,137725,472061,506564,689341,754749,- -,- -
14,Depreciation and Amortization,- -,- -,433,216,56328,87005,90040,75346,63457,47765,44019
15,EBITDA,- -,-152655,-2215940,-3314294,-1623194,-1029352,-1094829,-901513,-1043871,-1498270,-3981446
16,EBITDA ratio,- -,-Infinity,-2.7987,-6.7346,-25.5179,-77.2613,-25.3122,-45.7249,-67.8147,-63.9030,-389.1171
17,Operating Income,- -,-152655,-2435594,-1856038,-1282796,-1322621,-1382804,-1159331,-1264344,-1281553,-3516092
18,Operating Income ratio,- -,-Infinity,-3.0761,-3.7714,-20.1666,-99.2735,-31.9701,-58.8015,-82.1376,-54.6598,-343.6368
19,Total Other Income Expenses (Gains),- -,- -,470,-1544888,-595472,-417008,-508103,-689341,-821537,-264482,-509373
20,Income Before Tax,- -,-152655,-2435124,-3400926,-1878268,-1739629,-1890907,-1848672,-2085881,-1546035,-4025465
21,Income Before Tax Ratio,- -,-Infinity,-3.0755,-6.9106,-29.5279,-130.5734,-43.7174,-93.7651,-135.5084,-65.9402,-393.4192
22,Income Tax expense (Gain),- -,- -,- -,27809,- -,- -,- -,- -,- -,- -,-1253107
23,Net Income,- -,-174463,-2218873,-3436643,-1817247,-1588418,-1691433,-1666200,-1862077,-1546035,-2772358
24,Net Income ratio,- -,-Infinity,-2.8024,-6.9832,-28.5686,-119.2237,-39.1056,-84.5100,-120.9691,-65.9402,-270.9498
25,EPS,- -,-0.71,-15.00,-20.00,-0.38,-0.08,-0.02,-0.01,-0.00,-0.00,-0.00
26,EPS Diluted,- -,-0.71,-15.00,-20.00,-0.38,-0.08,-0.02,-0.01,-0.00,-0.00,-0.00
27,Weighted Average Shares Outstanding,- -,245814,142144,163384,4772392,19351894,76700560,220548469,802114793,1271251526,1271251526
28,Weighted Average Shares Outstanding Diluted,- -,245814,142144,163384,4772392,19351894,76700560,220548469,802114793,1271251526,1271251526
29,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/1540684/000129281413000723/bmixform10_k.htm,https://www.sec.gov/Archives/edgar/data/1540684/000114420414022720/v374482_10k.htm,https://www.sec.gov/Archives/edgar/data/1540684/000107997415000284/brazil10k1232014.htm,https://www.sec.gov/Archives/edgar/data/1540684/000107997416001127/bmix10k12312015.htm,https://www.sec.gov/Archives/edgar/data/1540684/000107997417000301/bmix10k_12312016.htm,https://www.sec.gov/Archives/edgar/data/1540684/000107997418000213/bmix10k_12312017.htm,https://www.sec.gov/Archives/edgar/data/1540684/000107997419000195/bmix10k_12312018.htm,https://www.sec.gov/Archives/edgar/data/1540684/000107997420000156/bmix10k_12312019.htm,https://www.sec.gov/Archives/edgar/data/1540684/000152013821000181/0001520138-21-000181-index.htm,https://www.sec.gov/Archives/edgar/data/1540684/000149315222007760/0001493152-22-007760-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,860000,110286,19776,64364,7139,84107,2407,151088,253598,22776
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,150000,- -
33,Cash and Short-Term Investments,- -,860000,110286,19776,64364,7139,84107,2407,151088,403598,22776
34,Net Receivables,- -,- -,83874,195615,52986,28264,27846,24029,22853,- -,1401
35,Inventory,- -,- -,146172,210427,145079,78911,38875,33188,15054,11676,- -
36,Other Current Assets,- -,3189,- -,112947,- -,7258,4290,3662,4782,-110129,33753
37,Total Current Assets,- -,863189,340332,538765,262429,121572,155118,63286,193777,305145,57930
38,PP&E,- -,- -,430074,522775,361563,421927,365472,243778,172802,89276,53827
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,139653,124245,508865,630089,620805,- -,- -,407467,1302440
41,Intangible Assets,- -,- -,139653,124245,508865,630089,620805,530293,509862,407467,1302440
42,Investments,- -,- -,- -,164600,- -,- -,150000,150000,150000,150000,150000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,800000,- -,- -,- -,- -,- -,- -,- -,-150000,- -
45,Total Non-Current Assets,- -,800000,569727,811620,870428,1052016,1136277,924071,832664,496743,1506267
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,1663189,910059,1350385,1132857,1173588,1291395,987357,1026441,801888,1564197
