,https://roic.ai/company/ACHC,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,62103000,221373000,407461000,713408000,1004601000,1794492000,2810914000,2836316000,3012442000,3107462000,2089929000,2314394000
2,COGS,3699000,167938000,19496000,37569000,48422000,80663000,117425000,114439000,119314000,123061000,1241763000,- -
3,Gross Profit,58404000,53435000,387965000,675839000,956179000,1713829000,2693489000,2721877000,2893128000,2984401000,848166000,- -
4,Gross Profit Ratio,0.9404,0.2414,0.9522,0.9473,0.9518,0.9550,0.9582,0.9597,0.9604,0.9604,0.4058,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,41744000,57740000,266496000,455182000,640095000,1122723000,1800688000,1809158000,1967055000,2040392000,157851000,136739000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",41744000,57740000,266496000,455182000,640095000,1122723000,1800688000,1809158000,1967055000,2040392000,157851000,136739000
9,Other Expenses,7846000,24760000,50759000,97662000,143321000,270296000,447659000,474837000,513330000,539477000,357528000,164600000
10,Operating Expenses,49590000,82500000,317255000,552844000,783416000,1393019000,2248347000,2283995000,2480385000,2579869000,515379000,301339000
11,COGS and Expenses,53289000,250438000,336751000,590413000,831838000,1473682000,2365772000,2398434000,2599699000,2702930000,1757142000,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),738000,9191000,29769000,37250000,48221000,106742000,181325000,176007000,185410000,187094000,158105000,76993000
14,Depreciation and Amortization,976000,4288000,7982000,17090000,32667000,63550000,135103000,143010000,158832000,164044000,95256000,106717000
15,EBITDA,8401000,-26796000,70479000,122894000,206850000,336234000,351350000,556061000,175024000,485927000,-378165000,446829000
16,EBITDA ratio,0.1353,-0.1210,0.1730,0.1723,0.2059,0.1874,0.1250,0.1961,0.0581,0.1564,-0.1809,0.1931
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),-1656000,-9191000,-37881000,-53750000,-46609000,-156057000,-412187000,-201084000,-581697000,-268544000,-148990000,67557000
20,Income Before Tax,7158000,-38256000,32829000,69245000,126154000,164753000,32955000,236798000,-168954000,135988000,183797000,275760000
21,Income Before Tax Ratio,0.1153,-0.1728,0.0806,0.0971,0.1256,0.0918,0.0117,0.0835,-0.0561,0.0438,0.0879,0.1191
22,Income Tax expense (Gain),477000,-5383000,12325000,25975000,42922000,53388000,28779000,37209000,6532000,25866000,40606000,67557000
23,Net Income,6210000,-34892000,20403000,42579000,83040000,112554000,6143000,199835000,-175750000,108923000,-672132000,195562000
24,Net Income ratio,0.1000,-0.1576,0.0501,0.0597,0.0827,0.0627,0.0022,0.0705,-0.0583,0.0351,-0.3216,0.0845
25,EPS,0.35,-1.86,0.53,0.85,1.51,1.75,0.07,2.30,-2.01,1.24,-7.65,2.15
26,EPS Diluted,0.35,-1.86,0.53,0.85,1.50,1.75,0.07,2.30,-2.01,1.24,-7.65,2.10
27,Weighted Average Shares Outstanding,17633000,18757000,38477000,50004000,55063000,68085000,85701000,86948000,87288000,87612000,87875000,88769000
28,Weighted Average Shares Outstanding Diluted,17633000,18757000,38696000,50261000,55327000,68391000,85972000,87060000,87288000,87816000,88595000,90793000
