,https://roic.ai/company/SUWN,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , 
1,Revenue,10887670,12114006,15490013,15243568,22932222,22209912,14492959,9582631,12932178,9802528,12873657,17512057,18015068,19354911,22039809,20850445,26091484,25378835
2,COGS,7749821,8378838,10865917,11520323,16846679,17129874,11931027,8130851,11017190,7745576,10464926,14167851,16041136,16522835,19879899,19267889,21692427,26514559
3,Gross Profit,3137849,3735168,4624096,3723245,6085543,5080038,2561932,1451780,1914988,2056952,2408731,3344206,1973932,2832076,2159910,1582556,4399057,-1135724
4,Gross Profit Ratio,0.2882,0.3083,0.2985,0.2443,0.2654,0.2287,0.1768,0.1515,0.1481,0.2098,0.1871,0.1910,0.1096,0.1463,0.0980,0.0759,0.1686,-0.0448
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1488969,253966,836168,492978,846046,981962,1884718,1119574
6,General and Administrative Exp.,- -,- -,- -,- -,- -,2827771,5920582,4733688,4160616,4591168,3283434,4696527,3195818,3777560,3343755,2637185,1445652,1433927
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,1694900,1106288,570718,- -,965293,- -,- -,- -,- -,- -,- -,1511791,1391587
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,4522671,7026870,5304406,4160616,5556461,3283434,4696527,3195818,3777560,3343755,2637185,2957443,2825514
9,Other Expenses,2164105,2110340,2195955,4402823,6068100,- -,432831,1327828,902068,- -,1217284,1353596,1327803,1819055,1979789,1935165,-36107,- -
10,Operating Expenses,2164105,2110340,2195955,4402823,6068100,4522671,7459701,6632234,5062684,5556461,5989687,6304089,5359789,6089593,6169590,5554312,4806054,3945088
11,COGS and Expenses,9913926,10489178,13061872,15923146,22914779,21652545,19390728,14763085,16753805,13302037,16454613,22123821,23023687,22734713,26352866,24822201,26534588,30459647
12,Interest Income ,- -,- -,- -,87694,80330,52202,53308,48111,85441,- -,3025,2572,983,697,1025,284,726,993
13,Interest Expense (Gain),59228,62054,35338,- -,- -,- -,- -,- -,- -,- -,120144,368775,283028,395654,543052,804060,747296,254403
14,Depreciation and Amortization,510667,291415,304814,644622,1142916,1695200,1916252,1520247,1408890,1846760,2164582,2414909,1375442,1726992,1562764,1093832,1218587,1339581
15,EBITDA,1387918,1695956,2245485,66079,1247177,2503023,-3002269,-3390045,-2986824,-2127380,-781095,-1629114,-3133133,-1775378,-2608979,-3010468,583200,-1644830
16,EBITDA ratio,0.1275,0.1400,0.1450,0.0043,0.0544,0.1127,-0.2072,-0.3538,-0.2310,-0.2170,-0.0607,-0.0930,-0.1739,-0.0917,-0.1184,-0.1444,0.0224,-0.0648
17,Operating Income,973744,1624828,2428141,-679578,17443,557367,-4897769,-5180454,-3821627,-3709009,-3580956,-4611764,-5008619,-3379802,-4313057,-3971756,-443104,-5080812
18,Operating Income ratio,0.0894,0.1341,0.1568,-0.0446,0.0008,0.0251,-0.3379,-0.5406,-0.2955,-0.3784,-0.2782,-0.2633,-0.2780,-0.1746,-0.1957,-0.1905,-0.0170,-0.2002
19,Total Other Income Expenses (Gains),-10879,-2960,68337,101035,86818,135483,-188939,-69620,-574087,-265131,515135,198966,217016,-518222,-401738,-936604,-939579,-168463
20,Income Before Tax,962865,1621868,2496478,-578543,104261,692850,-5086708,-5250074,-4395714,-3974140,-3065821,-4412798,-4791603,-3898024,-4714795,-4908360,-1382683,-5249275
21,Income Before Tax Ratio,0.0884,0.1339,0.1612,-0.0380,0.0045,0.0312,-0.3510,-0.5479,-0.3399,-0.4054,-0.2381,-0.2520,-0.2660,-0.2014,-0.2139,-0.2354,-0.0530,-0.2068
22,Income Tax expense (Gain),352713,513373,-524481,- -,101682,307527,9979,- -,- -,36588,- -,109341,5263,- -,- -,- -,- -,- -
23,Net Income,465310,829114,2429814,-578543,2579,500296,-4928500,-4910292,-4395714,-4010728,-3065821,-4522139,-4796866,-3898024,-4714795,-4908360,-1382683,-3238814
24,Net Income ratio,0.0427,0.0684,0.1569,-0.0380,0.0001,0.0225,-0.3401,-0.5124,-0.3399,-0.4092,-0.2381,-0.2582,-0.2663,-0.2014,-0.2139,-0.2354,-0.0530,-0.1276
25,EPS,0.03,0.02,0.05,-0.01,0.00,0.00,-0.03,-0.03,-0.03,-0.02,-0.02,-0.03,-0.03,-0.02,-0.02,-0.02,-0.01,-0.02
26,EPS Diluted,0.03,0.02,0.05,-0.01,0.00,0.00,-0.03,-0.03,-0.03,-0.02,-0.02,-0.03,-0.03,-0.02,-0.02,-0.02,-0.01,-0.02
