,https://roic.ai/company/KEYS,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,3316000000,3315000000,2888000000,2933000000,2856000000,2918000000,3189000000,3878000000,4303000000,4221000000,4941000000
2,COGS,1392000000,1434000000,1265000000,1313000000,1269000000,1294000000,1487000000,1756000000,1769000000,1688000000,1872000000
3,Gross Profit,1924000000,1881000000,1623000000,1620000000,1587000000,1624000000,1702000000,2122000000,2534000000,2533000000,3069000000
4,Gross Profit Ratio,0.5802,0.5674,0.5620,0.5523,0.5557,0.5565,0.5337,0.5472,0.5889,0.6001,0.6211
5,Research and Development Exp.,381000000,377000000,375000000,361000000,387000000,425000000,498000000,607000000,688000000,715000000,811000000
6,General and Administrative Exp.,- -,- -,- -,790000000,787000000,818000000,1049000000,1185000000,1155000000,1097000000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,790000000,787000000,818000000,1049000000,1185000000,1155000000,1097000000,1195000000
9,Other Expenses,806000000,771000000,752000000,- -,-18000000,-25000000,-84000000,-33000000,-20000000,-44000000,-17000000
10,Operating Expenses,1187000000,1148000000,1127000000,1151000000,1156000000,1218000000,1463000000,1759000000,1823000000,1768000000,1989000000
11,COGS and Expenses,2579000000,2582000000,2392000000,2464000000,2425000000,2512000000,2950000000,3515000000,3592000000,3456000000,3861000000
12,Interest Income ,- -,- -,- -,- -,1000000,3000000,7000000,12000000,23000000,11000000,3000000
13,Interest Expense (Gain),- -,- -,- -,3000000,46000000,47000000,80000000,83000000,80000000,78000000,79000000
14,Depreciation and Amortization,56000000,65000000,77000000,84000000,99000000,134000000,225000000,310000000,308000000,326000000,293000000
15,EBITDA,805000000,811000000,578000000,562000000,533000000,547000000,484000000,-18000000,1103000000,1165000000,1382000000
16,EBITDA ratio,0.2428,0.2446,0.2001,0.1916,0.1866,0.1875,0.1518,-0.0046,0.2563,0.2760,0.2797
17,Operating Income,737000000,733000000,496000000,469000000,431000000,406000000,239000000,363000000,711000000,765000000,1080000000
18,Operating Income ratio,0.2223,0.2211,0.1717,0.1599,0.1509,0.1391,0.0749,0.0936,0.1652,0.1812,0.2186
19,Total Other Income Expenses (Gains),12000000,13000000,5000000,6000000,-43000000,-40000000,-60000000,-774000000,4000000,-4000000,-70000000
20,Income Before Tax,749000000,746000000,501000000,475000000,388000000,366000000,179000000,-411000000,715000000,761000000,1010000000
21,Income Before Tax Ratio,0.2259,0.2250,0.1735,0.1620,0.1359,0.1254,0.0561,-0.1060,0.1662,0.1803,0.2044
