,https://roic.ai/company/EMAN,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,6150000,100000,2557587,5847370,2127660,2578099,3592867,3745000,8169000,17554000,18739000,23822000,30458000,29181000,30560000,27990000,25715000,25142000,21397000,22031000,26235000,26726000,29424000,26046000
2,COGS,- -,- -,-556366,- -,- -,5141448,5966181,10219000,11359000,12628000,10673000,10175000,12018000,13707000,15615000,19564000,18330000,18164000,14955000,16907000,22241000,19998000,23059000,21453000
3,Gross Profit,- -,- -,3113953,- -,- -,-2563349,-2373314,-6474000,-3190000,4926000,8066000,13647000,18440000,15474000,14945000,8426000,7385000,6978000,6442000,5124000,3994000,6728000,6365000,4593000
4,Gross Profit Ratio,- -,- -,1.2175,- -,- -,-0.9943,-0.6606,-1.7287,-0.3905,0.2806,0.4304,0.5729,0.6054,0.5303,0.4890,0.3010,0.2872,0.2775,0.3011,0.2326,0.1522,0.2517,0.2163,0.1763
5,Research and Development Exp.,10250000,- -,9634948,12724161,7254996,18810,897969,4020000,4406000,2949000,2081000,1996000,2370000,3063000,4738000,5023000,4511000,4077000,6362000,5175000,6694000,5048000,5715000,6976000
6,General and Administrative Exp.,3510000,- -,7689341,10226710,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",3510000,- -,7689341,10226710,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7251000,7567000,7579000
9,Other Expenses,- -,- -,21488686,50032701,7479034,5712465,4427694,6316000,8860000,6591000,6254000,6900000,10055000,9136000,8584000,8605000,8125000,6963000,8411000,8682000,8967000,- -,- -,- -
10,Operating Expenses,13760000,- -,38812975,72983572,14734030,5731275,5325663,10336000,13266000,9540000,8335000,8896000,12425000,12199000,13322000,13628000,12636000,11040000,14773000,13857000,15661000,12299000,13282000,14555000
11,COGS and Expenses,13760000,- -,38256609,72983572,14734030,10872723,11291844,20555000,24625000,22168000,19008000,19071000,24443000,25906000,28937000,33192000,30966000,29204000,29728000,30764000,37902000,32297000,36341000,36008000
