,https://roic.ai/company/TTSH,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,- -,- -,182650000,229564000,257192000,292987000,324157000,344600000,357254000,340351000,325057000,370700000
2,COGS,- -,- -,49626000,68755000,78300000,89377000,97261000,108378000,105915000,104232000,103532000,117570000
3,Gross Profit,- -,- -,133024000,160809000,178892000,203610000,226896000,236222000,251339000,236119000,221525000,253130000
4,Gross Profit Ratio,- -,- -,0.7283,0.7005,0.6956,0.6949,0.7000,0.6855,0.7035,0.6938,0.6815,0.6828
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,50341,- -,3897000,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",50341,636726,94716000,127731000,157316000,174384000,193983000,210376000,233201000,237476000,215149000,232520000
9,Other Expenses,- -,- -,3897000,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,- -,98613000,127731000,157316000,174384000,193983000,210376000,233201000,237476000,215149000,232520000
11,COGS and Expenses,50341,636726,148239000,196486000,235616000,263761000,291244000,318754000,339116000,341708000,318681000,350090000
12,Interest Income ,16373,157297,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,1252000,2581000,3141000,2584000,1715000,1857000,2690000,3792000,1874000,656000
14,Depreciation and Amortization,- -,- -,10530000,14316000,19925000,22236000,23042000,26239000,28396000,33546000,31336000,27379000
15,EBITDA,-50341,-636726,-37107000,-6821000,40995000,51592000,56096000,52255000,46686000,32201000,37712000,47989000
16,EBITDA ratio,-Infinity,-Infinity,-0.2032,-0.0297,0.1594,0.1761,0.1731,0.1516,0.1307,0.0946,0.1160,0.1295
17,Operating Income,-50341,-636726,34411000,33078000,21576000,29226000,32913000,25846000,18138000,-1357000,6376000,20610000
18,Operating Income ratio,-Infinity,-Infinity,0.1884,0.1441,0.0839,0.0998,0.1015,0.0750,0.0508,-0.0040,0.0196,0.0556
19,Total Other Income Expenses (Gains),16373,157297,-83300000,-56796000,-3647000,-2454000,-1574000,-1687000,-2538000,-3780000,-1874000,-656000
20,Income Before Tax,-33968,-479429,-48889000,-23718000,17929000,26772000,31339000,24159000,15600000,-5137000,4502000,19954000
21,Income Before Tax Ratio,-Infinity,-Infinity,-0.2677,-0.1033,0.0697,0.0914,0.0967,0.0701,0.0437,-0.0151,0.0138,0.0538
22,Income Tax expense (Gain),- -,- -,-2002000,11942000,7382000,11076000,12876000,13340000,5158000,-674000,-1529000,5180000
23,Net Income,-33968,-479429,-46887000,-35660000,10547000,15696000,18463000,10819000,10442000,-4463000,6031000,14774000
24,Net Income ratio,-Infinity,-Infinity,-0.2567,-0.1553,0.0410,0.0536,0.0570,0.0314,0.0292,-0.0131,0.0186,0.0399
25,EPS,-0.01,-0.03,-1.31,-0.72,0.21,0.31,0.36,0.21,0.20,-0.09,0.12,0.29
26,EPS Diluted,-0.01,-0.03,-1.31,-0.72,0.21,0.31,0.36,0.21,0.20,-0.09,0.12,0.29
27,Weighted Average Shares Outstanding,5617533,14540738,35837609,49600396,51015354,51161059,51415492,51700045,51907619,50624309,49957356,50393980
28,Weighted Average Shares Outstanding Diluted,5617533,14540738,35837609,49600396,51029790,51304982,51877005,51927877,52089160,50624309,50583742,51085463
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1552800/000155280020000005/0001552800-20-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1552800/000155280021000005/0001552800-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1552800/000155280022000004/0001552800-22-000004-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,865355,416255,2987000,1761000,5759000,10330000,6067000,6621000,5557000,9104000,9617000,9358000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,865355,416255,2987000,1761000,5759000,10330000,6067000,6621000,5557000,9104000,9617000,9358000
34,Net Receivables,- -,- -,3538000,10726000,6649000,2701000,4084000,8107000,6632000,6460000,11091000,10125000
35,Inventory,- -,- -,46890000,67756000,68857000,69878000,74295000,85259000,110095000,97620000,74296000,97175000
36,Other Current Assets,204704,82157,18853000,11461000,7268000,4443000,11755000,5572000,8006000,8995000,9650000,10424000
37,Total Current Assets,1070059,498412,72268000,91704000,88533000,87352000,96201000,105559000,130290000,122179000,104654000,127082000
38,PP&E,- -,- -,82080000,125317000,139294000,135115000,141037000,151405000,158356000,268198000,231409000,205386000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,124966373,125123670,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,20865000,23291000,22676000,20846000,21391000,11654000,7225000,7196000,5341000,6953000
44,Other Non-Current Assets,- -,- -,861000,2457000,1687000,2122000,6644000,2107000,1759000,2241000,1286000,1337000
45,Total Non-Current Assets,124966373,125123670,103806000,151065000,163657000,158083000,169072000,165166000,167340000,277635000,238036000,213676000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,126036432,125622082,176074000,242769000,252190000,245435000,265273000,270725000,297630000,399814000,342690000,340758000
48,Accounts Payable,206374,129351,14968000,22867000,13759000,14584000,20321000,30771000,25853000,18181000,15382000,30884000
49,Short-Term Debt,- -,- -,4094000,3870000,3850000,5095000,6286000,8833000,- -,26993000,27223000,28190000
50,Tax Payable,- -,161902,1490000,1783000,2600000,4144000,2811000,2508000,3108000,2851000,5051000,4186000
51,Deferred Revenue,- -,- -,4080000,5301000,5038000,6026000,7742000,8064000,7383000,7727000,12225000,13792000
52,Other Current Liabilities,49849,191951,12737000,7947000,9505000,14402000,25839000,14366000,17280000,16949000,21974000,24847000
53,Total Current Liabilities,256223,321302,35879000,39985000,32152000,40107000,60188000,62034000,50516000,69850000,76804000,97713000
54,Long-Term Debt,- -,- -,69310000,91646000,88525000,51255000,22126000,18182000,53000000,63000000,- -,115261000
55,Deferred Revenue,4375000,- -,18582000,25560000,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,116405200,120300770,97066000,5715000,37818000,38872000,44060000,46635000,47767000,136065000,126824000,5560000
58,Total Non-Current Liabilities,120780200,120300770,184958000,122921000,126343000,90127000,66186000,64817000,100767000,199065000,126824000,120821000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,1654000,1441000,1145000,797000,697000,576000,436000,158718000,149901000,138451000
61,Total Liabilities,121036423,120622072,220837000,162906000,158495000,130234000,126374000,126851000,151283000,268915000,203628000,218534000
