,https://roic.ai/company/VFF,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , 
1,Revenue,43338233,53801789,82356425,113754909,133099000,130524000,144768000,164448000,133942000,137635000,136615000,141934000,155502000,158406000,150000000,144568000,170086000,268020000
2,COGS,39081675,41442594,68316594,95529151,106339000,115759000,123632000,140627000,126505000,120585000,122855000,126256000,142279000,144168000,141116000,151913000,159126000,222841000
3,Gross Profit,4256558,12359195,14039831,18225758,26760000,14765000,21136000,23821000,7437000,17050000,13760000,15678000,13223000,14238000,8884000,-7345000,10960000,45179000
4,Gross Profit Ratio,0.0982,0.2297,0.1705,0.1602,0.2011,0.1131,0.1460,0.1449,0.0555,0.1239,0.1007,0.1105,0.0850,0.0899,0.0592,-0.0508,0.0644,0.1686
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,14003000,12387000,12851000,11450000,12598000,14796000,15058000,21476000,25228000,53917000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,534000,486000,530000,596000,1122000,617000,504000,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,14537000,12873000,13381000,12046000,13720000,15413000,15562000,21476000,25228000,53917000
9,Other Expenses,34220268,8805635,8577560,12473064,14334000,12093000,13164000,14594000,9105000,704000,104000,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,34220268,8805635,8577560,12473064,14334000,12093000,13164000,14594000,23642000,13577000,13485000,12046000,13720000,15413000,15562000,21476000,25228000,53917000
11,COGS and Expenses,73301943,50248229,76894154,108002215,120673000,127852000,136796000,155221000,150147000,134162000,136340000,138302000,155999000,159581000,156678000,173389000,184354000,276758000
12,Interest Income ,- -,- -,- -,- -,68000,- -,- -,17000,2000,3000,- -,- -,- -,- -,- -,1036000,625000,126000
13,Interest Expense (Gain),- -,2469448,1345180,- -,3685000,3159000,2775000,3033000,4331000,3675000,- -,2256000,2514000,- -,- -,2614000,2056000,2835000
14,Depreciation and Amortization,3057915,3558006,4068160,6575370,6456000,5770000,5793000,6010000,7552000,7314000,7885000,8285000,8164000,7586000,7027000,7366000,6825000,12709000
15,EBITDA,-18511780,8470049,8368959,9775451,17075000,9318000,14451000,16774000,24096000,26954000,4516000,11474000,7591000,11546000,-593000,6439000,17699000,2939000
16,EBITDA ratio,-0.4271,0.1574,0.1016,0.0859,0.1283,0.0714,0.0998,0.1020,0.1799,0.1958,0.0331,0.0808,0.0488,0.0729,-0.0040,0.0445,0.1041,0.0110
17,Operating Income,-28304944,3553561,5462271,5752694,12426000,2672000,7972000,- -,15130000,19524000,379000,3632000,-497000,-1175000,-6678000,- -,- -,- -
18,Operating Income ratio,-0.6531,0.0660,0.0663,0.0506,0.0934,0.0205,0.0551,- -,0.1130,0.1419,0.0028,0.0256,-0.0032,-0.0074,-0.0445,- -,- -,- -
19,Total Other Income Expenses (Gains),-1730220,-1823529,-2506652,-2552613,-5492000,-2283000,-2089000,-1496000,-2917000,-3559000,-3748000,-2699000,-2590000,5135000,-942000,11503000,22081000,-103906000
20,Income Before Tax,-30035164,1730032,2955619,3200081,6934000,389000,5883000,7731000,12213000,15965000,-3369000,933000,-3087000,3960000,-7620000,-17318000,7813000,-12343000
