,https://roic.ai/company/TWO-PB,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,- -,- -,2734543,35700000,178925000,296043000,727951000,184534000,620937000,490595000,364631000,182692000,238438000,-1563452000,370160000
2,COGS,- -,- -,- -,- -,5102000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,2734543,35700000,173823000,- -,- -,- -,- -,- -,- -,- -,238438000,1563452000,- -
4,Gross Profit Ratio,- -,- -,1.0000,1.0000,0.9715,- -,- -,- -,- -,- -,- -,- -,1.0000,-1.0000,- -
5,Research and Development Exp.,- -,- -,1347000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,1512532,7567000,24003000,48656000,72970000,48803000,50294000,46434000,40472000,30272000,- -,69461000,35041000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",140999,1059606,1512532,7567000,24003000,15488000,31263000,48803000,50294000,46434000,40472000,30272000,60102000,37723000,35041000
9,Other Expenses,- -,- -,9637465,- -,- -,- -,- -,- -,- -,- -,- -,- -,-45960000,-30486000,- -
10,Operating Expenses,- -,- -,12496997,7567000,24003000,- -,- -,- -,- -,- -,- -,- -,14142000,7237000,- -
11,COGS and Expenses,140999,1059606,12496997,7567000,29105000,- -,- -,- -,- -,- -,- -,- -,14142000,7237000,- -
12,Interest Income ,- -,- -,131510,- -,- -,455046000,555591000,577207000,601937000,633490000,745089000,870032000,994690000,525050000,168597000
13,Interest Expense (Gain),- -,- -,131510,- -,- -,72106000,100407000,107450000,142186000,221895000,350188000,519671000,714329000,281248000,89173000
14,Depreciation and Amortization,- -,- -,528480,- -,- -,1732000,1674000,1616000,1362000,1283000,969000,- -,- -,- -,- -
15,EBITDA,- -,- -,-8402832,35072000,126326000,323525000,765531000,202467000,619268000,588759000,689246000,517204000,846711000,-1384575000,280592000
16,EBITDA ratio,- -,- -,-3.0728,0.9824,0.7060,1.0928,1.0516,1.0972,0.9973,1.2001,1.8903,2.8310,3.5511,0.8856,0.7580
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),1474220,4442222,699632,6939000,-23494000,- -,- -,- -,- -,- -,- -,- -,-2372000,-1880810000,191227581
20,Income Before Tax,1333221,3382616,-9062822,35072000,126326000,245197000,659451000,93401000,475720000,365581000,297757000,-2467000,132382000,-1665823000,191419000
21,Income Before Tax Ratio,Infinity,Infinity,-3.3142,0.9824,0.7060,0.8282,0.9059,0.5061,0.7661,0.7452,0.8166,-0.0135,0.5552,1.0655,0.5171
22,Income Tax expense (Gain),618648,1088083,-318291,-683000,-1106000,-42219000,84411000,-73738000,-16490000,12303000,-10482000,41823000,-2372000,-35688000,4192000
23,Net Income,714573,2294533,-8744531,35755000,127432000,291906000,579039000,167139000,492210000,353278000,348571000,-44290000,134754000,-1630135000,187227000
24,Net Income ratio,Infinity,Infinity,-3.1978,1.0015,0.7122,0.9860,0.7954,0.9057,0.7927,0.7201,0.9560,-0.2424,0.5652,1.0427,0.5058
25,EPS,0.01,0.02,-0.06,0.26,0.94,2.16,4.28,1.23,3.64,2.61,2.58,-0.33,1.00,-12.04,1.38
26,EPS Diluted,0.01,0.02,-0.06,0.26,0.94,2.16,4.28,1.23,3.64,2.61,2.58,-0.33,1.00,-12.04,1.38
27,Weighted Average Shares Outstanding,135352985,135352985,135352985,135352985,135352985,135352985,135352985,135352985,135352985,135352985,135352985,135352985,135352985,135352985,135352985
28,Weighted Average Shares Outstanding Diluted,135352985,135352985,135352985,135352985,135352985,135352985,135352985,135352985,135352985,135352985,135352985,135352985,135352985,135352985,135352985
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1465740/000146574020000037/0001465740-20-000037-index.htm,https://www.sec.gov/Archives/edgar/data/1465740/000146574021000035/0001465740-21-000035-index.htm,https://www.sec.gov/Archives/edgar/data/1465740/000146574022000014/0001465740-22-000014-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,461475,2778143,26104880,163900000,360016000,821108000,1025487000,1005792000,737831000,406883000,419159000,409758000,558136000,1384764000,1153856000
32,Short-Term Investments,- -,- -,494464867,1553928000,7252553000,13666954000,12256727000,14341102000,7825320000,13128857000,21220819000,25552604000,- -,14650922000,2367000
33,Cash and Short-Term Investments,461475,2778143,520569747,1717828000,7612569000,14488062000,13282214000,15346894000,8563151000,13535740000,21639978000,25962362000,558136000,16035686000,1156223000
34,Net Receivables,- -,- -,2579695,5383000,23437000,118795000,77503000,113688000,93018000,168316000,940224000,241215000,- -,193607000,194715000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,1495797,184675,9484632,22548000,172369000,- -,-9959124000,-11172945000,-2405099000,-7419587000,-20132064000,- -,- -,-14844529000,- -
37,Total Current Assets,1957272,2962818,532634074,1745759000,7808375000,- -,3400593000,4287637000,6251070000,6284469000,2448138000,- -,558136000,1384764000,- -
38,PP&E,- -,- -,- -,- -,- -,783000,1427000,2908000,2694000,1915000,1226000,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,514935000,452006000,493688000,693815000,1086717000,1993440000,- -,1596153000,2191578000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,514935000,452006000,493688000,693815000,1086717000,1993440000,- -,1596153000,2191578000
42,Investments,- -,- -,- -,- -,- -,15004654000,13256907000,16341758000,7828320000,13131857000,21253232000,25552604000,31406328000,14650922000,7161703000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,258346625,259132312,5731335,51673000,292009000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,258346625,259132312,5731335,51673000,292009000,- -,13773269000,16796672000,8324702000,13827587000,22341175000,- -,- -,- -,- -
46,Other Assets,- -,- -,- -,- -,- -,16813944000,30947131000,37880981000,22900474000,33939643000,47130488000,30132479000,35363486000,18131157000,12114305000
47,Total Assets,260303897,262095130,538365409,1797432000,8100384000,16813944000,17173862000,21084309000,14575772000,20112056000,24789313000,30132479000,35921622000,19515921000,12114305000
48,Accounts Payable,- -,193555,- -,- -,- -,19060000,20277000,23772000,18723000,29505000,87698000,160005000,- -,21666000,18382000
49,Short-Term Debt,- -,- -,207050239,- -,- -,- -,- -,- -,- -,70000000,20000000,310000000,300000000,283830000,420761000
50,Tax Payable,- -,- -,- -,- -,3898000,- -,757000,1375000,70000,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,696855,- -,3598144,1412762000,6830298000,- -,- -,- -,- -,- -,- -,- -,94502000,90113000,- -
53,Total Current Liabilities,696855,193555,210648383,1412762000,6830298000,- -,- -,- -,- -,99505000,107698000,470005000,394502000,395609000,439143000
54,Long-Term Debt,- -,- -,204842271,- -,- -,- -,639731000,3709663000,5785110000,7037196000,1497851000,1148880000,- -,681792000,821603000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,123646,- -,- -,- -,39414000,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,77503978,77739684,1030342,2222000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,77503978,77739684,205996259,2222000,- -,- -,679145000,3709663000,5785110000,7037196000,1497851000,1148880000,- -,681792000,821603000
59,Other Liabilities,- -,- -,- -,- -,- -,13363367000,13998012000,20725930000,16784321000,23648636000,22608042000,26556865000,30556654000,16713178000,9752812000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
