,https://roic.ai/company/NOAH,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,23446012,57169776,99444430,251134599,453546504,541136876,992496613,1537548083,2119927841,2513572770,2826908000,3289608000,3391812000,3305826000,4293094000
2,COGS,1857558,8388193,17130478,43581301,93052134,112173471,207085467,741952042,1164492379,1300403960,1407372000,1564192000,1610770000,1504012000,2168880000
3,Gross Profit,21588455,48781583,82313953,207553298,360494370,428963405,785411146,795596041,955435462,1213168810,1419536000,1725416000,1781042000,1801814000,2124214000
4,Gross Profit Ratio,0.9208,0.8533,0.8277,0.8265,0.7948,0.7927,0.7913,0.5174,0.4507,0.4826,0.5022,0.5245,0.5251,0.5450,0.4948
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,14614287,21854956,30285939,48368892,85204406,123808292,219081270,152669707,170929513,234488066,248878000,279387000,296492000,277879000,383321000
7,Selling and Marketing Exp.,1237517,16961610,21631421,56300710,121061758,170644082,231521706,148232885,263815409,322667518,320462000,412720000,331346000,271692000,437131000
8,"Selling, General and Administrative Exp.",15851804,38816566,51917359,104669602,206266164,294452375,450602976,300902591,434744922,557155584,569340000,692107000,627838000,549571000,820452000
9,Other Expenses,-507747,-830240,-1574173,-1145699,-3534263,-26808755,-32262718,-61599425,-38085408,-11276849,73162000,106785000,238238000,-6233000,104864000
10,Operating Expenses,15344058,37986326,50343187,103523903,202731901,267643620,418340258,239303166,396659514,545878735,642502000,798892000,866076000,543338000,925316000
11,COGS and Expenses,17201615,46374519,67473665,147105204,295784035,379817091,625425725,981255207,1561151893,1846282695,2049874000,2363084000,2476846000,2047350000,3094196000
12,Interest Income ,39586,308150,393442,1187697,12278495,15303239,20014215,39156993,39698790,39537775,45020000,69841000,89099000,67317000,71866000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,16050359,19288813,24128000,10028000,430000,- -,- -
14,Depreciation and Amortization,397477,1542895,2090027,2588891,6296703,11325939,14968320,22553188,34417668,61320332,81964000,92282000,105432000,98452000,- -
15,EBITDA,7124053,3180166,31362767,110836287,205841418,209853591,425237254,623868376,716177858,882434166,1068100000,1135927000,1155038000,-388313000,1608071000
16,EBITDA ratio,0.3038,0.0556,0.3154,0.4413,0.4538,0.3878,0.4285,0.4058,0.3378,0.3511,0.3778,0.3453,0.3405,-0.1175,0.3746
17,Operating Income,6244397,10795257,31970766,104029395,157762469,161319785,367070888,556292875,558775948,667290075,777034000,926524000,914966000,1258476000,1198898000
18,Operating Income ratio,0.2663,0.1888,0.3215,0.4142,0.3478,0.2981,0.3698,0.3618,0.2636,0.2655,0.2749,0.2817,0.2698,0.3807,0.2793
19,Total Other Income Expenses (Gains),482179,-9157986,-2698026,4384726,41916412,33870689,45689010,48778743,76058379,66255078,91777000,85073000,53009000,-1843795000,99144000
20,Income Before Tax,6726576,1637271,29272740,108414120,199678881,195190474,412759898,605071618,634834327,733545153,868811000,1011597000,967975000,-585319000,1298042000
21,Income Before Tax Ratio,0.2869,0.0286,0.2944,0.4317,0.4403,0.3607,0.4159,0.3935,0.2995,0.2918,0.3073,0.3075,0.2854,-0.1771,0.3024
22,Income Tax expense (Gain),4198704,4381043,4361413,31770840,48893579,56049263,98559453,152171127,129885747,157996588,199085000,222320000,220025000,258460000,293940000
23,Net Income,2527872,-2743772,24911327,76476556,150651136,142478389,311709481,449144061,535824084,643828433,762923000,811297000,829151000,-745225000,1314131000
24,Net Income ratio,0.1078,-0.0480,0.2505,0.3045,0.3322,0.2633,0.3141,0.2921,0.2528,0.2561,0.2699,0.2466,0.2445,-0.2254,0.3061
25,EPS,0.03,-0.08,0.89,2.29,2.70,2.56,5.70,5.83,9.54,11.44,13.62,13.49,13.56,-12.01,19.56
