,https://roic.ai/company/PRTS,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,9473000,17936000,31657000,40658000,59698000,120060000,160957000,153424000,- -,176288000,327072000,304017000,254753000,- -,283508000,303571000,303366000,289467000,280657000,- -,443884000
2,COGS,- -,12275000,- -,21334000,34829000,78573000,107132000,100869000,- -,112415000,220072000,212379000,180620000,- -,205058000,211289000,213706000,210746000,196434000,- -,288518000
3,Gross Profit,- -,5661000,- -,19324000,24869000,41487000,53825000,52555000,- -,63873000,107000000,91638000,74133000,- -,78450000,92282000,89660000,78721000,84223000,- -,155366000
4,Gross Profit Ratio,- -,0.3156,- -,0.4753,0.4166,0.3456,0.3344,0.3425,- -,0.3623,0.3271,0.3014,0.2910,- -,0.2767,0.3040,0.2956,0.2720,0.3001,- -,0.3500
5,Research and Development Exp.,- -,259000,- -,776000,868000,1332000,1987000,- -,- -,- -,7274000,- -,- -,- -,- -,5843000,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,1878000,- -,- -,- -,- -,- -,30992000,- -,-3779000,51125000,-31559000,-23478000,- -,83940000,40882000,45413000,45461000,48032000,- -,- -
7,Selling and Marketing Exp.,- -,1685000,- -,- -,- -,- -,- -,22965000,- -,23419000,55785000,51416000,41045000,- -,- -,43555000,39293000,38081000,44341000,- -,- -
8,"Selling, General and Administrative Exp.",- -,3563000,- -,11115000,17413000,29659000,47695000,53957000,- -,19640000,106910000,19857000,17567000,- -,79077000,84437000,84706000,83542000,92373000,- -,- -
9,Other Expenses,- -,1685000,- -,8000,17000,5092000,8350000,28326000,- -,39984000,3673000,107571000,71333000,- -,5285000,482000,319000,-1215000,100000,- -,155071000
10,Operating Expenses,- -,5507000,- -,11899000,18298000,36083000,58032000,82283000,- -,59624000,117857000,127428000,88900000,- -,84362000,90762000,85025000,82327000,92473000,- -,155071000
11,COGS and Expenses,- -,17782000,- -,33233000,53127000,114656000,165164000,183152000,- -,172039000,337929000,339807000,269520000,- -,289420000,302051000,298731000,293073000,288907000,- -,443589000
12,Interest Income ,- -,- -,- -,- -,- -,95000,1677000,962000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),44000,- -,- -,44000,106000,1605000,540000,- -,- -,- -,1018000,785000,972000,- -,1101000,1238000,1655000,1598000,1897000,- -,1714000
14,Depreciation and Amortization,- -,- -,- -,456000,1993000,6878000,9819000,8632000,- -,5571000,16368000,16393000,12556000,- -,9345000,7992000,6716000,5987000,6352000,- -,7759000
15,EBITDA,230000,218000,3771000,7961000,8755000,12529000,7300000,-20096000,- -,10011000,737000,-19737000,-2063000,- -,3705000,9762000,10846000,2368000,-1862000,- -,8267000
16,EBITDA ratio,0.0243,0.0122,0.1191,0.1958,0.1467,0.1044,0.0454,-0.1310,- -,0.0568,0.0023,-0.0649,-0.0081,- -,0.0131,0.0322,0.0358,0.0082,-0.0066,- -,0.0186
17,Operating Income,231000,154000,31657000,7425000,6571000,5404000,-4207000,-29728000,- -,4249000,-15995000,-35790000,-14767000,- -,-5912000,390000,4635000,-5006000,-8250000,- -,295000
