,https://roic.ai/company/CANG,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,434279994,1052203719,1091414277,1440068825,2052431752,3921716406
2,COGS,170044374,386053922,430059037,539267417,1098120749,2958009872
3,Gross Profit,264235620,666149797,661355240,900801408,954311003,963706534
4,Gross Profit Ratio,0.6084,0.6331,0.6060,0.6255,0.4650,0.2457
5,Research and Development Exp.,4999844,19418576,46709014,57405921,62596195,70278081
6,General and Administrative Exp.,34550094,101276675,151075936,236551077,265691411,276179441
7,Selling and Marketing Exp.,39536654,114145319,167244419,192811348,195893662,239333085
8,"Selling, General and Administrative Exp.",74086748,215421994,318320355,429362425,461585073,515512526
9,Other Expenses,743874,-54149213,19606319,53967163,75944220,401165543
10,Operating Expenses,79830466,180691357,384635688,540735509,600125488,986956150
11,COGS and Expenses,249874840,566745279,814694725,1080002926,1698246237,3944966022
12,Interest Income ,4099155,16164309,61465449,96004567,72806814,50370800
13,Interest Expense (Gain),449690,12993624,19010616,13457818,2758629,14481195
14,Depreciation and Amortization,1501400,2971273,7190216,10466942,9544137,- -
15,EBITDA,183871386,476377708,417975451,497799145,3751674263,26789489
16,EBITDA ratio,0.4234,0.4527,0.3830,0.3457,1.8279,0.0068
17,Operating Income,184405154,470019977,276719552,323296349,318296924,-23249616
18,Operating Income ratio,0.4246,0.4467,0.2535,0.2245,0.1551,-0.0059
19,Total Other Income Expenses (Gains),2090220,-1559545,119287337,164522884,3424976787,35557910
20,Income Before Tax,186495374,468460432,396006889,487819233,3743273711,12308294
21,Income Before Tax Ratio,0.4294,0.4452,0.3628,0.3387,1.8238,0.0031
22,Income Tax expense (Gain),53014312,119403000,89082554,82960493,369853650,20852646
23,Net Income,128905984,341009811,302692065,390913892,3369517847,-8544352
24,Net Income ratio,0.2968,0.3241,0.2773,0.2715,1.6417,-0.0022
25,EPS,0.87,2.30,2.03,5.18,44.86,-0.12
26,EPS Diluted,0.87,2.30,2.03,5.16,44.34,-0.12
27,Weighted Average Shares Outstanding,147949166,147949166,149461746,75604338,75121189,72473226
28,Weighted Average Shares Outstanding Diluted,147949166,147949166,149461746,75820915,75977773,72473226
29,SEC Link,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,44989215,803270815,2912901189,2002314688,1426899576,1434806922
