,https://roic.ai/company/DNA,2020,2021
0,INCOME STATEMENT, , 
1,Revenue,76657000,313837000
2,COGS,15611000,109673000
3,Gross Profit,61046000,204164000
4,Gross Profit Ratio,0.7964,0.6505
5,Research and Development Exp.,159767000,1149662000
6,General and Administrative Exp.,38306000,862952000
7,Selling and Marketing Exp.,- -,- -
8,"Selling, General and Administrative Exp.",38306000,862952000
9,Other Expenses,- -,129690000
10,Operating Expenses,198073000,2142304000
11,COGS and Expenses,213684000,2251977000
12,Interest Income ,2582000,837000
13,Interest Expense (Gain),2385000,2373000
14,Depreciation and Amortization,13864000,29076000
15,EBITDA,-108471000,-1800078000
16,EBITDA ratio,-1.4150,-5.7357
17,Operating Income,-137027000,-1828467000
18,Operating Income ratio,-1.7875,-5.8262
19,Total Other Income Expenses (Gains),12193000,-9655000
20,Income Before Tax,-124834000,-1838122000
21,Income Before Tax Ratio,-1.6285,-5.8569
22,Income Tax expense (Gain),1889000,-1480000
23,Net Income,-126609000,-1830047000
24,Net Income ratio,-1.6516,-5.8312
25,EPS,-0.09,-1.23
26,EPS Diluted,-0.09,-1.23
27,Weighted Average Shares Outstanding,1486730084,1486730084
28,Weighted Average Shares Outstanding Diluted,1486730084,1486730084
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1830214/000095017022004821/0000950170-22-004821-index.htm
30,BALANCE SHEET, , 
31,Cash and Cash Equivalents,380801000,1550004000
32,Short-Term Investments,- -,- -
33,Cash and Short-Term Investments,380801000,1550004000
34,Net Receivables,24174000,131544000
35,Inventory,2736000,3362000
36,Other Current Assets,18831000,38135000
37,Total Current Assets,426542000,1723045000
38,PP&E,121435000,145770000
39,Goodwill,1857000,21312000
40,Intangible Assets,3294000,21642000
41,Intangible Assets,5151000,42954000
42,Investments,103124000,115231000
43,Tax Assets,- -,- -
44,Other Non-Current Assets,18901000,43990000
45,Total Non-Current Assets,248611000,347945000
46,Other Assets,- -,- -
47,Total Assets,675153000,2070990000
48,Accounts Payable,13893000,8189000
49,Short-Term Debt,485000,- -
50,Tax Payable,- -,- -
51,Deferred Revenue,28823000,33240000
52,Other Current Liabilities,30020000,93332000
53,Total Current Liabilities,73221000,134761000
54,Long-Term Debt,16518000,- -
55,Deferred Revenue,99652000,155991000
56,Deferred Tax Liabilities,- -,- -
57,Other Non-Current Liabilities,15710000,212859000
58,Total Non-Current Liabilities,131880000,368850000
59,Other Liabilities,- -,- -
60,Capital Lease Obligations,17003000,- -
61,Total Liabilities,205101000,503611000
62,Preferred Stock,- -,- -
63,Common Stock,129000,161000
64,Retained Earnings,-467878000,-2297925000
65,Other Comprehensive Income/Loss,- -,-1715000
66,Other Total Stockholders Equity,929125000,3804844000
67,Total Stockholders Equity,461376000,1505365000
68,Total Liabilities And Stockholders Equity,666477000,2008976000
69,Minority Interest,8676000,62014000
70,Total Liabilities & Equity,675153000,2070990000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1830214/000095017022004821/0000950170-22-004821-index.htm
72,CASH FLOW STATEMENT, , 
73,Net Income,-126609000,-1830047000
74,Depreciation and Amortization,13864000,29076000
75,Deferred Income Tax,- -,- -
76,Stock Based Compensation,476000,1606020000
77,Change in Working Capital,-26515000,1234963000
78,Accounts Receivable,-14228000,-114094000
79,Inventory,-2736000,-626000
80,Accounts Payable,7019000,-2247000
81,Other Working Capital,353321000,1588284000
82,Other Non-Cash Items,2954000,-1293830000
83,Cash Provided by Operating Activities,-135830000,-253818000
84,CAPEX,-57821000,-56521000
85,Acquisitions Net,- -,-12040000
86,Purchases of Investments,- -,-5000000
87,Sales/Maturities of Investments,- -,- -
88,Other Investing Activites,-9300000,304000
89,Cash Used for Investing Activites,-67121000,-73257000
90,Debt Repayment,-748000,-10586000
91,Common Stock Issued,- -,167000
92,Common Stock Repurchased,- -,-24998000
93,Dividends Paid,- -,- -
94,Other Financing Activites,91066000,1569562000
95,Cash Used/Provided by Financing Activities,90318000,1534145000
96,Effect of Forex Changes on Cash,- -,-19000
97,Net Change In Cash,-112633000,1207051000
98,Cash at the End of Period,385877000,1592928000
99,Cash at the Beginning of Period,498510000,385877000
100,Free Cash Flow,-193651000,-310339000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1830214/000095017022004821/0000950170-22-004821-index.htm
102,false,,
