,https://roic.ai/company/LISMF,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,8300,22160,105275,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,-8300,-22160,-105275,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,-Infinity,-Infinity,-Infinity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,1211898,735634,554085,2282929,908604,632558,497532,487606,1111160,404413,4309199,1330819,1389526
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,180000
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,1211898,735634,554085,2282929,908604,632558,497532,487606,1111160,404413,4309199,1330819,1569526
9,Other Expenses,- -,-70767,-46989,455271,1755526,3053702,1082876,401802,491859,1583117,1167607,626082,335522,98424,488985,51759,3238288,373972,5044
10,Operating Expenses,- -,- -,-46989,455271,1755526,3053702,2294774,1137436,1045944,3866046,2076211,1258640,833054,586030,1600145,456172,7547487,1704791,1574570
11,COGS and Expenses,8300,22160,58286,455271,1755526,3053702,2294774,1137436,1045944,3866046,2076211,1258640,833054,586030,1600145,456172,7547487,1704791,1574570
12,Interest Income ,- -,- -,148,- -,43050,143214,55381,2138,5263,24695,9285,665,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,368468
14,Depreciation and Amortization,- -,- -,- -,195,46215,136632,183800,172970,110437,141950,145800,98008,58949,- -,- -,- -,- -,- -,- -
15,EBITDA,-8300,548272,6448,-406960,-1709311,-2741599,-1344648,-88389,-935507,-3724096,-1422558,-1002515,-494699,-587500,-1611092,-3806172,-7337532,-1717603,-1574570
16,EBITDA ratio,-Infinity,Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,-8300,-592592,-123020,-503387,-1755526,-3229173,-2294774,-1137436,-1045944,-3866046,-2076211,-1258640,-833054,-586030,-1600145,-456172,-7547487,-1704791,-1574570
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),-12309,-641199,-66524,-48116,-2604,-190334,-766326,-876077,29943,-1077,-498568,-157452,-279406,1470,10947,3350000,-209955,12812,-1411710
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2574779,-1416092,-1112460,-584560,-1589198,2893828,-7757442,-1691979,-2986280
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,327000,- -,- -,- -
23,Net Income,-20609,-663359,-189396,-556452,-1715080,-3100822,-3005719,-1998077,-1010738,-3842428,-2574779,-1416092,-1112460,-584560,-1589198,2566828,-7757442,-1691979,-2986280
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-5.76,-259.20,-72.00,-93.60,-79.20,-93.60,-72.00,-43.20,-14.40,-28.80,-14.40,-8.16,-2.40,-0.72,-0.96,27.60,-1.44,-0.27,-0.14
26,EPS Diluted,-5.76,-259.20,-72.00,-93.60,-79.20,-93.60,-72.00,-43.20,-14.40,-28.80,-14.40,-8.16,-2.40,-0.72,-0.96,27.60,-1.44,-0.27,-0.14
27,Weighted Average Shares Outstanding,2568,2568,2568,5994,20864,32063,40562,44388,71856,140129,153560,174906,458982,881833,1643081,93214,5368135,6352058,27791736
28,Weighted Average Shares Outstanding Diluted,2568,2568,2568,5994,20864,32063,40562,44388,71856,140129,153560,174906,458982,881833,1643081,93214,5368135,6352058,27791736
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,4653,8089,120489,703122,2183934,3071160,522005,393961,3513394,2294863,260020,1771,4250,28142,1168176,2199797,191452,1644,46387
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3600000,- -,- -,- -
33,Cash and Short-Term Investments,4653,8089,120489,703122,2183934,3071160,522005,393961,3513394,2294863,260020,1771,4250,28142,1168176,5799797,191452,1644,46387
34,Net Receivables,- -,89500,3399,15631,63513,113764,41318,12029,20640,65110,32343,1971,866,10770,44887,- -,112652,19567,50675
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,29383,1053,- -,7658,4927,9460,2474,2474,945,7545,34438,4141,- -,116458,839095,- -,21458,1844,53
37,Total Current Assets,34036,98642,123888,726411,2252374,3194384,565797,408464,3534979,2367518,326801,7883,5116,155370,2052158,5799797,325562,23055,97115
38,PP&E,570308,1,25001,257818,1358536,1887248,2333351,1307249,1249848,1697157,1095164,942147,588275,683275,26367,649335,1640823,3145589,5123839
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,157500,- -,- -,- -,21391,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,727808,1,25001,257818,1379927,1887248,2333351,1307249,1249848,1697157,1095164,942147,588275,683275,26367,649335,1640823,3145589,5123839
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,761844,98643,148889,984229,3632301,5081632,2899148,1715713,4784827,4064675,1421965,950030,593391,838645,2078525,6449132,1966385,3168644,5220954
48,Accounts Payable,24495,18340,80932,95203,108850,135417,- -,- -,- -,- -,- -,433013,228600,92882,117847,139710,280051,481730,880375
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,83411,250000,1885614,528156
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,6313,43363,10700,- -,- -,148652,200776,371609,250308,182377,56339,252000,90669,380496,- -,24999,25000,25001
53,Total Current Liabilities,24495,24653,124295,105903,108850,135417,148652,200776,371609,250308,182377,489352,480600,183551,498343,223121,555050,2392344,1433532
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,327000,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,332996,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,332996,- -,327000,- -,- -,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,24495,24653,124295,105903,108850,135417,148652,200776,371609,250308,182377,489352,480600,516547,498343,550121,555050,2392344,1433532
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3315685,34902691,35956239,41399301
64,Retained Earnings,-4256142,-4919501,-5108897,-5665349,-7380429,-10481251,-13486970,-15485047,-16495785,-20338213,-22912992,-24329084,-25441544,-26026104,-27615302,2544328,-41131399,-42823378,-45809658
65,Other Comprehensive Income/Loss,- -,- -,- -,40000,330000,- -,- -,- -,- -,- -,4128108,4134874,4309401,4465283,4715203,38998,7640043,7643439,8197779
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,737349,73990,24594,878326,3523451,4946215,2750496,1514937,4413218,3814367,1239588,460678,112791,322098,1580182,5899011,1411335,776300,3787422
68,Total Liabilities And Stockholders Equity,761844,98643,148889,984229,3632301,5081632,2899148,1715713,4784827,4064675,1421965,950030,593391,838645,2078525,6449132,1966385,3168644,5220954
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,761844,98643,148889,984229,3632301,5081632,2899148,1715713,4784827,4064675,1421965,950030,593391,838645,2078525,6449132,1966385,3168644,5220954
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , 
73,Net Income,-20609,-663359,-189396,-556452,-1715080,-3100822,-3005719,-1998077,-1010738,-3842428,-2574779,-1416092,-1112460,-584560,-1589198,2566828,-7757442,-1691979,-2986280
74,Depreciation and Amortization,- -,- -,- -,195,46215,136632,183800,172970,110437,141950,145800,98008,58949,- -,- -,- -,- -,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,327000,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,208818,42960,1334997,- -,- -,147861,120867,264592,- -,1186078,- -,505698
77,Change in Working Capital,-1351,-8155,60246,-5619,-88103,28382,92667,81413,39054,-59104,-50627,311305,257719,-81820,64244,164710,-109388,929110,1150623
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-38542,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,164710,- -,- -,- -
81,Other Working Capital,-1351,-8155,60246,-5619,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,12309,641199,69234,261458,377104,817766,766326,876077,- -,- -,480917,142675,286530,- -,- -,-3349585,86815,- -,1097502
83,Cash Provided by Operating Activities,-9651,-30315,-59916,-300418,-1379864,-2118042,-1962926,-658799,-818287,-2424585,-1998689,-864104,-361401,-545513,-1260362,-291047,-6593937,-762869,-232457
84,CAPEX,-125,-125,-89734,-161128,-485334,-866273,-586229,-22945,-53036,-332458,-24724,-87666,-27268,-30000,-44294,- -,-649126,-1328516,-1449500
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-649126,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,10191,70000,85000,- -,-21391,- -,- -,- -,100774,-195575,- -,- -,- -,- -,- -,120000,649126,- -,- -
89,Cash Used for Investing Activites,10066,69875,-4734,-161128,-506725,-866273,-586229,-22945,47738,-528033,-24724,-87666,-27268,-30000,-44294,120000,-649126,-1328516,-1449500
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,140000,- -,3569938,3889041,- -,- -,4174245,1814530,- -,653382,415560,- -,- -,2258350,4523212,396944,1726700
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-46300,-284263,-80443,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
