,https://roic.ai/company/ADES,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , 
1,Revenue,5700000,5863000,8417000,11028000,15488000,19248000,16193000,20061000,22281000,53316000,212523000,13286000,16923000,62739000,50622000,35692000,23945000,70086000,61577000,100294000
2,COGS,- -,3113000,5020000,6741000,9582000,13231000,10904000,13870000,8613000,28964000,192555000,13668000,11620000,47552000,39817000,31885000,6253000,49443000,44613000,65576000
3,Gross Profit,- -,2750000,3397000,4287000,5906000,6017000,5289000,6191000,13668000,24352000,19968000,-382000,5303000,15187000,10805000,3807000,17692000,20643000,16964000,34718000
4,Gross Profit Ratio,- -,0.4690,0.4036,0.3887,0.3813,0.3126,0.3266,0.3086,0.6134,0.4567,0.0940,-0.0288,0.3134,0.2421,0.2134,0.1067,0.7389,0.2945,0.2755,0.3462
5,Research and Development Exp.,- -,170000,815000,977000,1464000,1201000,784000,709000,911000,2289000,2968000,3237000,1521000,5362000,-648000,157000,- -,- -,- -,- -
6,General and Administrative Exp.,- -,2130000,2046000,2502000,4170000,5214000,9168000,16745000,32790000,17468000,20151000,26991000,43731000,49606000,26572000,16675000,23369000,28165000,24434000,13320000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,2130000,2046000,2502000,4170000,5214000,9168000,16745000,32790000,17468000,20151000,26991000,43731000,49606000,26572000,16675000,23369000,28165000,24434000,13320000
9,Other Expenses,- -,130000,153000,157000,284000,379000,488000,577000,917000,1568000,5277000,1648000,1865000,2019000,979000,789000,723000,7371000,8537000,82122000
10,Operating Expenses,- -,2430000,3014000,3636000,5918000,6794000,10440000,18031000,34618000,21325000,28396000,31876000,47117000,56987000,26903000,17621000,24092000,35536000,32971000,95442000
11,COGS and Expenses,- -,5543000,8034000,10377000,15500000,20025000,21344000,31901000,43231000,50289000,220951000,45544000,58737000,104539000,66720000,49506000,30345000,84979000,77584000,161018000
12,Interest Income ,- -,- -,- -,- -,- -,- -,439000,34000,2494000,2218000,- -,109000,74000,24000,268000,54000,239000,- -,127000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,1584000,1461000,1338000,5725000,8402000,5066000,3024000,2151000,7174000,3920000,-1490000
14,Depreciation and Amortization,- -,130000,153000,157000,284000,379000,488000,577000,917000,1568000,5277000,1648000,1865000,2019000,979000,789000,723000,- -,28175000,7933000
15,EBITDA,470000,446000,551000,1156000,769000,622000,-5125000,-13740000,-23117000,-30067000,-6333000,-12538000,9273000,-19700000,42785000,55838000,48751000,54710000,18304000,82516000
16,EBITDA ratio,0.0825,0.0761,0.0655,0.1048,0.0497,0.0323,-0.3165,-0.6849,-1.0375,-0.5639,-0.0298,-0.9437,0.5480,-0.3140,0.8452,1.5644,2.0360,0.7806,0.2973,0.8227
17,Operating Income,- -,320000,383000,651000,-12000,-777000,-6740000,-11840000,-20950000,3027000,-8428000,-32258000,-41814000,-41800000,-16098000,-13814000,-6400000,-14893000,-40981000,4852000
18,Operating Income ratio,- -,0.0546,0.0455,0.0590,-0.0008,-0.0404,-0.4162,-0.5902,-0.9403,0.0568,-0.0397,-2.4280,-2.4708,-0.6663,-0.3180,-0.3870,-0.2673,-0.2125,-0.6655,0.0484
19,Total Other Income Expenses (Gains),- -,-4000,15000,348000,497000,1020000,1127000,-3209000,529000,-28265000,-2697000,16734000,43497000,11679000,52838000,65839000,52277000,62429000,27190000,71221000
20,Income Before Tax,- -,316000,398000,999000,485000,243000,-5613000,-15049000,-20421000,-25238000,-11125000,-15524000,1683000,-30121000,36740000,52025000,45877000,47536000,-13791000,76073000
21,Income Before Tax Ratio,- -,0.0539,0.0473,0.0906,0.0313,0.0126,-0.3466,-0.7502,-0.9165,-0.4734,-0.0523,-1.1684,0.0995,-0.4801,0.7258,1.4576,1.9159,0.6783,-0.2240,0.7585
22,Income Tax expense (Gain),- -,-93000,62000,336000,108000,-4000,-1507000,-5546000,-8564000,-13368000,- -,463000,296000,20000,-60938000,24152000,10423000,11999000,6511000,15672000
23,Net Income,470000,409000,336000,663000,377000,247000,-4106000,-8771000,-15470000,-19851000,-13071000,-15987000,1387000,-30141000,97678000,27873000,35454000,35537000,-20302000,60401000
24,Net Income ratio,0.0825,0.0698,0.0399,0.0601,0.0243,0.0128,-0.2536,-0.4372,-0.6943,-0.3723,-0.0615,-1.2033,0.0820,-0.4804,1.9296,0.7809,1.4806,0.5070,-0.3297,0.6022
25,EPS,0.07,0.06,0.04,0.07,0.04,0.03,-0.34,-0.63,-1.04,-1.24,-0.66,-0.78,0.06,-1.37,4.40,1.30,1.78,1.96,-1.12,3.31
26,EPS Diluted,0.07,0.06,0.04,0.06,0.03,0.03,-0.34,-0.63,-1.04,-1.24,-0.66,-0.78,0.06,-1.37,4.34,1.29,1.76,1.93,-1.12,3.27
27,Weighted Average Shares Outstanding,6714286,6824000,8252000,9932000,11248000,11298000,12200000,13946000,14786000,16040000,20026000,20103000,21554000,21773000,21931000,21367000,19901000,18154000,18044000,18258000
28,Weighted Average Shares Outstanding Diluted,6714286,6824000,8386000,10274000,11458000,11474000,12200000,13946000,14786000,16040000,20026000,20103000,22079000,21773000,22234000,21413000,20033000,18372000,18044000,18461000
