,https://roic.ai/company/DFCO,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,30600000,34400000,17300000,2547000,3452000,25254000,4190000,13526000,19476000,70380000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,72155,1178154,3406684
2,COGS,15500000,21800000,13300000,1868000,2742000,23202000,2299000,10302000,16530000,63929000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,74996,625916,2471966
3,Gross Profit,15100000,12600000,4000000,679000,710000,2052000,1891000,3224000,2946000,6451000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2841,552238,934718
4,Gross Profit Ratio,0.4935,0.3663,0.2312,0.2666,0.2057,0.0813,0.4513,0.2384,0.1513,0.0917,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-0.0394,0.4687,0.2744
5,Research and Development Exp.,4200000,2500000,2200000,2054000,250000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50050,471963,520510
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,721847,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",9400000,10300000,13700000,7780000,8720000,12442000,7586000,4196000,5578000,11190000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,91983,721847,2769122,8984359
9,Other Expenses,900000,700000,4800000,3329000,- -,- -,- -,- -,1348000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,14500000,13500000,20700000,13163000,8970000,12442000,7586000,4196000,6926000,11190000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,771897,3241085,9504869
11,COGS and Expenses,30000000,35300000,34000000,15031000,11712000,35644000,9885000,14498000,23456000,75119000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,91983,846893,3867001,11976835
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8769,6278
13,Interest Expense (Gain),100000,- -,- -,- -,- -,3298000,- -,1930000,1709000,2697000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,945238,853175,1041732,670272
14,Depreciation and Amortization,900000,700000,4800000,3329000,806000,972000,1074000,1175000,510000,1344000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46602,141388
15,EBITDA,1600000,-9500000,-20000000,-10869000,-9082000,-9418000,-5781000,3207000,-1999000,6705000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-91983,1219025,-1378044,903093
16,EBITDA ratio,0.0523,-0.2762,-1.1561,-4.2674,-2.6309,-0.3729,-1.3797,0.2371,-0.1026,0.0953,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-Infinity,16.8945,-1.1697,0.2651
17,Operating Income,600000,-900000,-16700000,-12484000,-8260000,-10390000,-5695000,-972000,-3980000,-4739000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2689097,-8570151
18,Operating Income ratio,0.0196,-0.0262,-0.9653,-4.9015,-2.3928,-0.4114,-1.3592,-0.0719,-0.2044,-0.0673,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2.2825,-2.5157
19,Total Other Income Expenses (Gains),- -,-9000000,-8100000,139000,-1628000,-3298000,-1160000,-1923000,-297000,7766000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-945238,1140588,211540,8571372
20,Income Before Tax,600000,- -,-24800000,- -,-9888000,-13688000,-6855000,-2895000,-4277000,3027000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1037221,365850,-2477557,1221
21,Income Before Tax Ratio,0.0196,- -,-1.4335,- -,-2.8644,-0.5420,-1.6360,-0.2140,-0.2196,0.0430,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-Infinity,5.0703,-2.1029,0.0004
22,Income Tax expense (Gain),-200000,- -,300000,- -,- -,- -,- -,- -,- -,40000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,800000,-10200000,-25100000,-14198000,-9888000,-13688000,-6855000,102000,-4218000,2624000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1037221,365850,-2466378,91433
