,https://roic.ai/company/YTEN,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , 
1,Revenue,1989000,2383225,3678204,2781001,4590000,1683000,1555000,1425000,448000,1425000,42316000,5394000,2800000,2594000,1159000,944000,556000,806000,799000,614000
2,COGS,- -,- -,5426601,5980339,- -,- -,- -,24471000,23673000,24445000,1426000,3026000,1482000,660000,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,-1748397,-3199338,4590000,- -,- -,-23046000,-23225000,-23020000,40890000,2368000,1318000,1934000,- -,- -,- -,- -,799000,614000
4,Gross Profit Ratio,- -,- -,-0.4753,-1.1504,1.0000,- -,- -,-16.1726,-51.8415,-16.1544,0.9663,0.4390,0.4707,0.7456,- -,- -,- -,- -,1.0000,1.0000
5,Research and Development Exp.,- -,- -,- -,- -,11235000,19901000,24667000,- -,- -,- -,23177000,19127000,17342000,16572000,5670000,4597000,4759000,4848000,5361000,6201000
6,General and Administrative Exp.,- -,- -,- -,- -,10879000,15598000,15780000,15683000,15714000,15841000,14110000,13743000,10805000,9105000,5737000,5630000,5071000,4554000,5047000,6105000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",2644000,- -,3251800,3825303,10879000,15598000,15780000,15683000,15714000,15841000,14110000,13743000,10805000,9105000,5737000,5630000,5071000,4554000,5047000,6105000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,- -,3251800,3825303,22114000,35499000,40447000,15683000,15714000,15841000,37287000,32870000,28147000,25677000,11407000,10227000,9830000,9402000,10408000,12306000
11,COGS and Expenses,7053000,- -,8678401,9805642,22114000,35499000,40447000,40154000,39387000,40286000,38713000,35896000,29629000,26337000,11407000,10227000,9830000,9402000,10408000,12306000
12,Interest Income ,- -,- -,- -,109356,1467000,- -,- -,- -,- -,76000,- -,- -,- -,- -,- -,- -,- -,96000,- -,- -
13,Interest Expense (Gain),- -,- -,- -,10142,5000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13018000,- -,- -
14,Depreciation and Amortization,- -,- -,265253,314565,964000,1451000,3731000,2734000,1647000,1507000,1298000,928000,507000,265000,515000,206000,196000,203000,182000,220000
15,EBITDA,-5188000,-6640066,-4789258,-7300720,-15093000,-26424000,-32274000,-35223000,-37156000,-37278000,4928000,-29578000,-29027000,-23416000,-8186000,-9190000,-8974000,11000,-9968000,-10775000
16,EBITDA ratio,-2.6083,-2.7862,-1.3021,-2.6252,-3.2882,-15.7005,-20.7550,-24.7179,-82.9375,-26.1600,0.1165,-5.4835,-10.3668,-9.0270,-7.0630,-9.7352,-16.1403,0.0136,-12.4756,-17.5489
17,Operating Income,-5064000,- -,-5000197,-7024641,-17524000,-33816000,-38892000,-38729000,-38939000,-38861000,3603000,-30502000,-26829000,-23743000,-10248000,-9283000,-9274000,-8596000,-9609000,-11692000
18,Operating Income ratio,-2.5460,- -,-1.3594,-2.5259,-3.8179,-20.0927,-25.0109,-27.1782,-86.9174,-27.2709,0.0851,-5.6548,-9.5818,-9.1530,-8.8421,-9.8337,-16.6799,-10.6650,-12.0263,-19.0423
19,Total Other Income Expenses (Gains),- -,- -,- -,-700000,- -,- -,- -,- -,- -,- -,27000,-4000,61000,62000,-38000,-113000,104000,-4614000,-541000,697000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3630000,-30506000,-26768000,-23681000,-10286000,-9396000,-9170000,-13210000,-10150000,-10995000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0858,-5.6555,-9.5600,-9.1291,-8.8749,-9.9534,-16.4928,-16.3896,-12.7034,-17.9072
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1097000,- -,- -,-254000,56000,36000
23,Net Income,-5188000,-6640066,-5054511,-7625427,-16062000,-27875000,-36005000,-37957000,-38803000,-38785000,3630000,-30506000,-29534000,-23681000,-7604000,-9396000,-9170000,-12956000,-10206000,-11031000
24,Net Income ratio,-2.6083,-2.7862,-1.3742,-2.7420,-3.4993,-16.5627,-23.1543,-26.6365,-86.6138,-27.2175,0.0858,-5.6555,-10.5479,-9.1291,-6.5608,-9.9534,-16.4928,-16.0744,-12.7735,-17.9658
