,https://roic.ai/company/TAC,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,1575300000,1685699786,1655899381,1029399595,2802500000,4927099650,1723899906,2508599768,2838299736,2838499826,2796500466,2774699573,3109519184,2770000000,2819000000,2663000000,2262000000,2292000000,2623000000,2267000000,2397000000,2307000000,2249000000,2347000000,2101000000,2721000000
2,COGS,- -,351499643,366600619,205399306,1858299340,1288699459,703599308,1067400490,1231299496,1201800209,1186199907,1230700169,1493443419,1228000000,1202000000,947000000,809000000,926000000,1092000000,1008000000,963000000,1016000000,1100000000,1086000000,968000000,1232000000
3,Gross Profit,- -,1334200143,1289298762,824000289,944200660,3638400191,1020300598,1441199278,1607000240,1636699617,1610300559,1543999404,1616075765,1542000000,1617000000,1716000000,1453000000,1366000000,1531000000,1259000000,1434000000,1291000000,1149000000,1261000000,1133000000,1489000000
4,Gross Profit Ratio,- -,0.7915,0.7786,0.8005,0.3369,0.7384,0.5919,0.5745,0.5662,0.5766,0.5758,0.5565,0.5197,0.5567,0.5736,0.6444,0.6424,0.5960,0.5837,0.5554,0.5982,0.5596,0.5109,0.5373,0.5393,0.5472
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,493000000,516000000,542000000,242000000,489000000,517000000,515000000,475000000,472000000,511000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,493000000,516000000,542000000,242000000,489000000,517000000,515000000,475000000,472000000,511000000
9,Other Expenses,- -,753299500,582599071,508699363,535299940,3259500159,822700661,905300786,1128899688,1195499477,1453701072,1002899990,1085478388,1164000000,1120000000,1071000000,554000000,570000000,571000000,870000000,458000000,637000000,425000000,593000000,706000000,601000000
10,Operating Expenses,- -,753299500,582599071,508699363,535299940,3259500159,822700661,905300786,1128899688,1195499477,1453701072,1002899990,1085478388,1164000000,1120000000,1071000000,1047000000,1086000000,1113000000,1112000000,947000000,1154000000,940000000,1068000000,1178000000,1112000000
11,COGS and Expenses,- -,1104799143,949199690,714098669,2393599280,4548199618,1526299969,1972701276,2360199184,2397299686,2639900979,2233600159,2578921807,2392000000,2322000000,2018000000,1856000000,2012000000,2205000000,2120000000,1910000000,2170000000,2040000000,2154000000,2146000000,2344000000
12,Interest Income ,- -,- -,32199690,- -,- -,- -,- -,25700116,10299976,8699849,13300326,31700268,46138902,6000000,- -,8000000,18000000,46000000,49000000,58000000,66000000,61000000,19000000,19000000,17000000,36000000
13,Interest Expense (Gain),- -,- -,182399381,- -,91400720,88099331,82700661,183900554,232399808,197299686,181799860,165000497,155415250,150000000,178000000,215000000,223000000,238000000,236000000,230000000,208000000,209000000,200000000,189000000,199000000,215000000
14,Depreciation and Amortization,- -,- -,284800310,325500579,321700660,325899395,314800126,378099961,411799856,400900105,437800559,415099811,450461389,493000000,490000000,532000000,564000000,585000000,595000000,605000000,664000000,708000000,710000000,709000000,798000000,719000000
15,EBITDA,181000000,362600429,880599072,622601274,834202160,731598216,626400692,897600154,864499640,844399349,538699907,909300824,864497328,839000000,888000000,1158000000,307000000,782000000,1020000000,962000000,1079000000,821000000,706000000,997000000,660000000,442000000
16,EBITDA ratio,0.1149,0.2151,0.5318,0.6048,0.2977,0.1485,0.3634,0.3578,0.3046,0.2975,0.1926,0.3277,0.2780,0.3029,0.3150,0.4348,0.1357,0.3412,0.3889,0.4243,0.4501,0.3559,0.3139,0.4248,0.3141,0.1624
17,Operating Income,- -,580900643,706699690,315300926,408900720,378900032,197599937,535898493,478100552,441200140,156599487,541099414,530597377,378000000,497000000,662000000,42000000,297000000,442000000,148000000,478000000,138000000,160000000,335000000,-99000000,-239000000
18,Operating Income ratio,- -,0.3446,0.4268,0.3063,0.1459,0.0769,0.1146,0.2136,0.1684,0.1554,0.0560,0.1950,0.1706,0.1365,0.1763,0.2486,0.0186,0.1296,0.1685,0.0653,0.1994,0.0598,0.0711,0.1427,-0.0471,-0.0878
