,https://roic.ai/company/YEWB,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,5961039,6727524,7439648,7726576,29573808,51348082,40539690,37596942,27883649,27307687
2,COGS,1125965,1279057,2407400,2136597,22540592,48113504,35477713,26872694,27109518,47561344
3,Gross Profit,4835074,5448467,5032248,5589979,7033216,3234578,5061977,10724248,774131,-20253657
4,Gross Profit Ratio,0.8111,0.8099,0.6764,0.7235,0.2378,0.0630,0.1249,0.2852,0.0278,-0.7417
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,733815,3219362,1110717,1282508,1864654,1078392,1650690,2083672,1451018,988974
7,Selling and Marketing Exp.,54593,24603,23794,21521,28624,34828,86633,- -,- -,- -
8,"Selling, General and Administrative Exp.",788408,3243965,1134511,1304029,1893278,1113220,1737323,2083672,1451018,988974
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,-30658
10,Operating Expenses,788408,3243965,1134511,1304029,1893278,1113220,1737323,2083672,1451018,958316
11,COGS and Expenses,1914373,4523022,3541911,3440626,24433870,49226724,37215036,28956366,28560536,48519660
12,Interest Income ,2643,2194,647,179,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,140844,225023,294117,390380,481852
14,Depreciation and Amortization,470917,563831,561516,682809,7742509,8931290,3746762,11041606,1827045,56272
15,EBITDA,4511228,2770098,4461246,4966986,13043585,11097034,7185433,11506465,3214145,1974238
16,EBITDA ratio,0.7568,0.4118,0.5997,0.6428,0.4411,0.2161,0.1772,0.3060,0.1153,0.0723
17,Operating Income,4046666,2204502,3897737,4285950,5139938,2121358,3324654,718597,1011519,2568699
18,Operating Income ratio,0.6789,0.3277,0.5239,0.5547,0.1738,0.0413,0.0820,0.0191,0.0363,0.0941
19,Total Other Income Expenses (Gains),-6355,1765,1993,-1773,161138,-96458,-111006,-547855,-14799,-1075049
20,Income Before Tax,4040311,2206267,3899730,4284177,5301076,2024900,3213648,170742,996720,1493650
21,Income Before Tax Ratio,0.6778,0.3279,0.5242,0.5545,0.1792,0.0394,0.0793,0.0045,0.0357,0.0547
22,Income Tax expense (Gain),- -,- -,- -,- -,16488,18009,614,1493183,11214,-28768
23,Net Income,4040311,2206267,3899730,4284177,5284588,2006891,3213034,-1322441,985506,1464882
24,Net Income ratio,0.6778,0.3279,0.5242,0.5545,0.1787,0.0391,0.0793,-0.0352,0.0353,0.0536
25,EPS,0.10,0.05,0.08,0.08,0.10,0.04,0.06,-0.03,0.02,0.03
26,EPS Diluted,0.08,0.05,0.08,0.07,0.10,0.04,0.06,-0.03,0.02,0.03
27,Weighted Average Shares Outstanding,40500000,47819672,50000000,50948973,52069863,51875000,51875000,51965411,51760616,51700000
28,Weighted Average Shares Outstanding Diluted,50000000,47819672,50000000,62795716,52113807,51875000,53934497,51965411,51760616,51700000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1548240/000121390014001859/0001213900-14-001859-index.htm,https://www.sec.gov/Archives/edgar/data/1548240/000121390015002328/0001213900-15-002328-index.htm,https://www.sec.gov/Archives/edgar/data/1548240/000121390016012043/0001213900-16-012043-index.html,https://www.sec.gov/Archives/edgar/data/1548240/000121390017003143/0001213900-17-003143-index.html,https://www.sec.gov/Archives/edgar/data/1548240/000121390018003854/0001213900-18-003854-index.html,https://www.sec.gov/Archives/edgar/data/1548240/000121390019007971/0001213900-19-007971-index.htm,https://www.sec.gov/Archives/edgar/data/1548240/000121390020012320/0001213900-20-012320-index.htm,https://www.sec.gov/Archives/edgar/data/1548240/000149315221007242/0001493152-21-007242-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,732371,386821,1159611,487940,681608,278991,859830,521670,742294,563792
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,732371,386821,1159611,487940,681608,278991,859830,521670,742294,563792
34,Net Receivables,- -,1007584,796696,1262696,11046721,23065737,31900211,5582664,8234709,217689
35,Inventory,710844,991234,1089087,1443078,4665549,10296792,2579190,6204954,2637389,14608
36,Other Current Assets,433,60395,36728,22578,474055,151778,94721,79848,56969,9193295
37,Total Current Assets,1443648,2446034,3082122,3216292,16867933,33793298,35433952,12389136,11671361,9989384
38,PP&E,784222,- -,- -,- -,- -,- -,- -,- -,- -,489195
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,20953562,20305821,13906379,4558234,6369938,34960152,40081021,27726
41,Intangible Assets,15166197,15328318,20953562,20305821,13906379,4558234,6369938,34960152,40081021,27726
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,7508030,10268133,11278224,11519795,13037025,7843729,11126205,2342778,2454335,- -
45,Total Non-Current Assets,23458449,25596451,32231786,31825616,26943404,12401963,17496143,37302930,42535356,516921
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,24902097,28042485,35313908,35041908,43811337,46195261,52930095,49692066,54206717,10506305
48,Accounts Payable,1360611,990,118892,55295,11345,2700148,510520,268359,148347,423881
49,Short-Term Debt,- -,- -,- -,- -,3688354,2880309,6099876,5758517,8593621,9045375
50,Tax Payable,500,5722,10232,10547,14261,16520,5574,189617,116440,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,21440,50071,1172928
52,Other Current Liabilities,1336889,252696,4878690,85014,941502,1917728,788192,1013676,1689269,-117074
53,Total Current Liabilities,2697500,253686,4997582,140309,4641201,7498185,7398588,7061992,10481308,10525110
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,292409
55,Deferred Revenue,- -,- -,- -,- -,- -,120973,359646,340294,892375,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,1202741,1439339,2146575
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,120973,359646,1543035,2331714,2438984
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,403249,357885
61,Total Liabilities,2697500,253686,4997582,140309,4641201,7619158,7758234,8605027,12813022,12964094
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,40500,50000,50000,52125,51875,51875,51875,52075,51700,51700
64,Retained Earnings,11469172,13182032,16664138,20444667,25067733,27074624,30287658,28965217,29950723,31415605
65,Other Comprehensive Income/Loss,3485955,4160390,5544023,5847151,4427970,1795580,4468916,2116253,1571444,4370532
66,Other Total Stockholders Equity,7208970,10396377,8058165,8557656,9622558,9654024,10363412,9953494,9819828,9644731
67,Total Stockholders Equity,22204597,27788799,30316326,34901599,39170136,38576103,45171861,41087039,41393695,45482568
68,Total Liabilities And Stockholders Equity,24902097,28042485,35313908,35041908,43811337,46195261,52930095,49692066,54206717,58446662
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,-47940357
70,Total Liabilities & Equity,24902097,28042485,35313908,35041908,43811337,46195261,52930095,49692066,54206717,10506305
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1548240/000121390014001859/0001213900-14-001859-index.htm,https://www.sec.gov/Archives/edgar/data/1548240/000121390015002328/0001213900-15-002328-index.htm,https://www.sec.gov/Archives/edgar/data/1548240/000121390016012043/0001213900-16-012043-index.html,https://www.sec.gov/Archives/edgar/data/1548240/000121390017003143/0001213900-17-003143-index.html,https://www.sec.gov/Archives/edgar/data/1548240/000121390018003854/0001213900-18-003854-index.html,https://www.sec.gov/Archives/edgar/data/1548240/000121390019007971/0001213900-19-007971-index.htm,https://www.sec.gov/Archives/edgar/data/1548240/000121390020012320/0001213900-20-012320-index.htm,https://www.sec.gov/Archives/edgar/data/1548240/000149315221007242/0001493152-21-007242-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,4040311,2206267,3899730,4284177,5284588,2006891,3213034,-1322441,985506,1464882
74,Depreciation and Amortization,470917,563831,561516,682809,7742509,8931290,3746762,11041606,1827045,56272
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,2246907,- -,166222,967744,31466,709388,1067548,284461,- -
77,Change in Working Capital,-150781,3446200,-4107808,4991443,9150749,14068381,1740251,-22708220,-4137091,-1725779
78,Accounts Receivable,- -,-722170,323160,-506814,-3112659,-11345374,-8554121,18511207,-1688838,7560527
79,Inventory,606202,-2090046,-222738,-842558,-5737554,-4080175,850356,-6076549,3588572,733052
80,Accounts Payable,-511018,-1369280,-1008,- -,11844,2807954,-2932840,-235608,-119757,-113722
